"Origem","Destino","Nat","Tipo","Materia","NomeNovo"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Civel\Cautelar 2007 2 - 2007.doc","C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Direito Processual Civil\A Funcao Tutela Cautelar Leonardo Greco.doc","02 - Estudos e concursos","","Direito Processual Civil","A Funcao Tutela Cautelar Leonardo Greco.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Eleitoral\eleicoes 2014 gab MLF.doc","C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Direito Eleitoral\Relatorio Recursos TSE Localizados 2014.doc","02 - Estudos e concursos","","Direito Eleitoral","Relatorio Recursos TSE Localizados 2014.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 021959-2.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Sentenca Usucapiao 1999.38.00.021959-2 Marciano x Leite 1999.doc","01 - Juridico","Acordaos e decisoes","Civel","Sentenca Usucapiao 1999.38.00.021959-2 Marciano x Leite 1999.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\2529.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Pareceres e notas tecnicas\Administrativo\Parecer Tecnico 2.529 2013 GCAL ECT x Jose Paulo 2013.doc","01 - Juridico","Pareceres e notas tecnicas","Administrativo","Parecer Tecnico 2.529 2013 GCAL ECT x Jose Paulo 2013.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\041794-9.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Ambiental\Sentenca Acao Ordinaria 1998.38.00.041794-9 Ironbras x IBAMA 1998.doc","01 - Juridico","Acordaos e decisoes","Ambiental","Sentenca Acao Ordinaria 1998.38.00.041794-9 Ironbras x IBAMA 1998.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 012915-7.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\Sentenca MS 2008.38.00.012915-7 Tarcilio Rezende x OMB 2008.doc","01 - Juridico","Acordaos e decisoes","Administrativo","Sentenca MS 2008.38.00.012915-7 Tarcilio Rezende x OMB 2008.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Civel\Jair Inacio da Silva 0231.05.049447-6.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Penal\Decisao Execucao Penal Jair Inicio Silva Ribeirao Neves 2008.doc","01 - Juridico","Acordaos e decisoes","Penal","Decisao Execucao Penal Jair Inicio Silva Ribeirao Neves 2008.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Sagrada Familia - execucao fiscal.doc","C:\Users\mauri\HD_Mau\03 - Administrativo\Outros\Edital Leilao JF BH Processo 0024.05.601.977-1 2011.doc","03 - Administrativo","","Outros","Edital Leilao JF BH Processo 0024.05.601.977-1 2011.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 004492-0.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\Minuta Sentenca Embargos Execucao 2005.38.00.004492-0 UFMG 2005.doc","01 - Juridico","Acordaos e decisoes","Administrativo","Minuta Sentenca Embargos Execucao 2005.38.00.004492-0 UFMG 2005.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\023250-0.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Empresarial\Sentenca Acao Ordinaria 2009.38.00.023250-0 ECT x Municipio Ipiauau 2009.doc","01 - Juridico","Acordaos e decisoes","Empresarial","Sentenca Acao Ordinaria 2009.38.00.023250-0 ECT x Municipio Ipiauau 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Marajinho 16.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Outros\Intimacao Protesto Marajinho Agroindustrial Brazopolis 2014.pdf","03 - Administrativo","","Outros","Intimacao Protesto Marajinho Agroindustrial Brazopolis 2014.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 2040.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Pareceres e notas tecnicas\Trabalhista\Parecer Tecnico 2040 2013 ECT Execucao Sentenca Angelo Manago.doc","01 - Juridico","Pareceres e notas tecnicas","Trabalhista","Parecer Tecnico 2040 2013 ECT Execucao Sentenca Angelo Manago.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\48132-23.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Administrativo\Mandado Seguranca 48132 23 2010 UFMG Maria Carmo Maltez Miraglia.doc","01 - Juridico","Recursos","Administrativo","Mandado Seguranca 48132 23 2010 UFMG Maria Carmo Maltez Miraglia.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 020079-9.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Tributario\Mandado Seguranca 2008 38 00 020079 9 CND Teixeira Empreendimentos.doc","01 - Juridico","Recursos","Tributario","Mandado Seguranca 2008 38 00 020079 9 CND Teixeira Empreendimentos.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Civel\Francisco Jose Moreira 0508080068994.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Penal\Inquerito Policial 0508 08 006899 4 Porto Firme Prefeito Francisco Jose Moreira.doc","01 - Juridico","Peticoes","Penal","Inquerito Policial 0508 08 006899 4 Porto Firme Prefeito Francisco Jose Moreira.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\258939.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Trabalhista\Apelacao ACF Delfim Carlos Ltda Correios Rio Janeiro.doc","01 - Juridico","Acordaos e decisoes","Trabalhista","Apelacao ACF Delfim Carlos Ltda Correios Rio Janeiro.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 008384-0.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Acao Imissao Posse 2006 38 00 008384 0 Caixa Ronaldo Moreira.doc","01 - Juridico","Acordaos e decisoes","Civel","Acao Imissao Posse 2006 38 00 008384 0 Caixa Ronaldo Moreira.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 009206-6.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\Acao Ordinaria 2009 38 00 009206 6 Luiz Eduardo Marques Dumont.doc","01 - Juridico","Acordaos e decisoes","Administrativo","Acao Ordinaria 2009 38 00 009206 6 Luiz Eduardo Marques Dumont.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\R032.doc","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Outros\Registro Protesto Duplicata DMI 000132 15 01 2014.doc","04 - Pessoal e financeiro","","Outros","Registro Protesto Duplicata DMI 000132 15 01 2014.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Lucinei Avelar - 25-11-2009.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Trabalhista\Peticao Reclamacao 0258 2008 108 03 00 4 Lucinei Avelar Equipe Vigilancia.pdf","01 - Juridico","Peticoes","Trabalhista","Peticao Reclamacao 0258 2008 108 03 00 4 Lucinei Avelar Equipe Vigilancia.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento A6D8A3CC.doc","C:\Users\mauri\HD_Mau\03 - Administrativo\Outros\Lista Contatos Foro Trabalhista Belo Horizonte 2013.doc","03 - Administrativo","","Outros","Lista Contatos Foro Trabalhista Belo Horizonte 2013.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Maria Zenaide recuperado.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Trabalhista\Acao Ordinaria Cobranca ECT Maria Zenaide Baumgratz Almeida.doc","01 - Juridico","Peticoes","Trabalhista","Acao Ordinaria Cobranca ECT Maria Zenaide Baumgratz Almeida.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\043437-7.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Acao Ordinaria 2002 38 00 043437 7 SFH Caixa Carlos Alberto Tavares.doc","01 - Juridico","Acordaos e decisoes","Civel","Acao Ordinaria 2002 38 00 043437 7 SFH Caixa Carlos Alberto Tavares.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 011868-9.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\Acao Ordinaria 2008 38 00 011868 9 Dano Erario Daniel Costa Ferreira.doc","01 - Juridico","Acordaos e decisoes","Administrativo","Acao Ordinaria 2008 38 00 011868 9 Dano Erario Daniel Costa Ferreira.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 017838-6.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Acao Ordinaria 2008 38 00 017838 6 SFH Caixa Evandro Soares Luz.doc","01 - Juridico","Acordaos e decisoes","Civel","Acao Ordinaria 2008 38 00 017838 6 SFH Caixa Evandro Soares Luz.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 007362-8.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\Acao Ordinaria 2009 38 00 007362 8 Multas ANP Posto Ipe Ltda.doc","01 - Juridico","Acordaos e decisoes","Administrativo","Acao Ordinaria 2009 38 00 007362 8 Multas ANP Posto Ipe Ltda.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Ouro Preto - perto do campus UFMG.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Trabalhista\Edital Praca 00205 11 TRT 3 Regiao Lorismar Candido Oliveira.doc","01 - Juridico","Outros processuais","Trabalhista","Edital Praca 00205 11 TRT 3 Regiao Lorismar Candido Oliveira.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 017726-0.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Acao Ordinaria 2007 38 00 017726 0 Caixa Maria Natercia Pereira Leite.doc","01 - Juridico","Acordaos e decisoes","Civel","Acao Ordinaria 2007 38 00 017726 0 Caixa Maria Natercia Pereira Leite.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\024454-5.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Acao Ordinaria SFH 2005 38 00 024454 5 Caixa Renato Cruz Teodoro.doc","01 - Juridico","Acordaos e decisoes","Civel","Acao Ordinaria SFH 2005 38 00 024454 5 Caixa Renato Cruz Teodoro.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 007262-6.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Administrativo\Mandado de Seguranca Individual Exame da Ordem OAB 2010.38.00.007262-6 Maria Janete Pereira Crisostomo Presidente Comissao Exame Ordem Advogados Brasil.doc","01 - Juridico","Recursos","Administrativo","Mandado de Seguranca Individual Exame da Ordem OAB 2010.38.00.007262-6 Maria Janete Pereira Crisostomo Presidente Comissao Exame Ordem Advogados Brasil.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\50592-80.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Administrativo\Mandado de Seguranca Individual Exame Ordem OAB 50592-80.2010.4.01.3800 Henrique Antonio Moreira Presidente Ordem Advogados Brasil.doc","01 - Juridico","Recursos","Administrativo","Mandado de Seguranca Individual Exame Ordem OAB 50592-80.2010.4.01.3800 Henrique Antonio Moreira Presidente Ordem Advogados Brasil.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Grajau 2 - execucao fiscal.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Administrativo\Edital de Leilao Processo 0024.06.948.454-1 Fazenda Publica Municipal Anamir Modesto Valadares 2011.doc","01 - Juridico","Peticoes","Administrativo","Edital de Leilao Processo 0024.06.948.454-1 Fazenda Publica Municipal Anamir Modesto Valadares 2011.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Augusto de Lima.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Trabalhista\Edital de Praca 00023-11 Justica do Trabalho TRT 3 Regiao Jair Alves Silva HMF Comercio.doc","01 - Juridico","Peticoes","Trabalhista","Edital de Praca 00023-11 Justica do Trabalho TRT 3 Regiao Jair Alves Silva HMF Comercio.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Audiencia publica 12-11-15.pdf","C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Outros\Tribunal Superior Eleitoral audiencia publica eleicoes 2016 seguranca sistemas eleitorais.pdf","02 - Estudos e concursos","","Outros","Tribunal Superior Eleitoral audiencia publica eleicoes 2016 seguranca sistemas eleitorais.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 015076-3.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Civel\Acao Monitoria Linha Credito 2008.38.00.015076-3 Caixa Economica Federal Magno Braz Fonseca.doc","01 - Juridico","Peticoes","Civel","Acao Monitoria Linha Credito 2008.38.00.015076-3 Caixa Economica Federal Magno Braz Fonseca.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 004862-4.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Tributario\Embargos Execucao Tributario IRPF Licenca Premio 2008.38.00.004862-4 Uniao Mary Carla Silva Ribeiro.doc","01 - Juridico","Recursos","Tributario","Embargos Execucao Tributario IRPF Licenca Premio 2008.38.00.004862-4 Uniao Mary Carla Silva Ribeiro.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Estrutura completa.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Portarias e resolucoes\Estrutura ICP-Brasil Autoridades Certificacao.pdf","03 - Administrativo","","Portarias e resolucoes","Estrutura ICP-Brasil Autoridades Certificacao.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 019277-7.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Previdenciario\Embargos Execucao Renda Mensal Inicial Revisao Beneficios 2006.38.00.019277-7 INSS Jose Alfredo dos Santos.doc","01 - Juridico","Recursos","Previdenciario","Embargos Execucao Renda Mensal Inicial Revisao Beneficios 2006.38.00.019277-7 INSS Jose Alfredo dos Santos.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Verdade 116.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Administrativo\A Busca da Verdade Paridade de Armas Jurisdicao Administrativa Leonardo Greco Contraditorio Processo.doc","01 - Juridico","Peticoes","Administrativo","A Busca da Verdade Paridade de Armas Jurisdicao Administrativa Leonardo Greco Contraditorio Processo.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Eleitoral\34954-07.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Administrativo\Procedimento Sumario Administrativo 34954-07.2010.4.01.3800 Empresa Brasileira Correios Telegrafos ECT Ivanildo Martins Ferreira.doc","01 - Juridico","Peticoes","Administrativo","Procedimento Sumario Administrativo 34954-07.2010.4.01.3800 Empresa Brasileira Correios Telegrafos ECT Ivanildo Martins Ferreira.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 018390-8.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Administrativo\Mandado de Seguranca Individual 2006.38.00.018390-8 Control Elevadores LTDA Reitor UFMG Concorrencia.doc","01 - Juridico","Recursos","Administrativo","Mandado de Seguranca Individual 2006.38.00.018390-8 Control Elevadores LTDA Reitor UFMG Concorrencia.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 016466-7.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Civel\Embargos Execucao 2002.38.00.016466-7 Caixa Economica Federal Percival Costa Amaral.doc","01 - Juridico","Recursos","Civel","Embargos Execucao 2002.38.00.016466-7 Caixa Economica Federal Percival Costa Amaral.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Juramento exercito.docx","C:\Users\mauri\HD_Mau\03 - Administrativo\Portarias e resolucoes\Regulamento Disciplinar Policia Militar Espirito Santo Juramento Exercito Brasileiro.docx","03 - Administrativo","","Portarias e resolucoes","Regulamento Disciplinar Policia Militar Espirito Santo Juramento Exercito Brasileiro.docx"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Uzelac 71 99.pdf","C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Outros\Civil Justice between Efficiency Quality Ius Commune CEPE.pdf","02 - Estudos e concursos","","Outros","Civil Justice between Efficiency Quality Ius Commune CEPE.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\024278-9.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Civel\Medida Cautelar Exibicao 2007.38.00.024278-9 Mara Sandra Batista Caixa Economica Federal EMGEA Financiamento Habitacao.doc","01 - Juridico","Peticoes","Civel","Medida Cautelar Exibicao 2007.38.00.024278-9 Mara Sandra Batista Caixa Economica Federal EMGEA Financiamento Habitacao.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\anistia.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Trabalhista\ATA 00621-13.2012.5.10.0021 - Reclamacao trabalhista Gilberto Pereira da Silva contra ECT Postalis 2012.doc","01 - Juridico","Peticoes","Trabalhista","ATA 00621-13.2012.5.10.0021 - Reclamacao trabalhista Gilberto Pereira da Silva contra ECT Postalis 2012.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 009870-4.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Tributario\MS 2009.38.00.009870-4 - Mandado de Seguranca Viashopping Empreendimentos Receita Federal Belo Horizonte 2009.doc","01 - Juridico","Recursos","Tributario","MS 2009.38.00.009870-4 - Mandado de Seguranca Viashopping Empreendimentos Receita Federal Belo Horizonte 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\024479-0.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Tributario\Cautelar 2008.38.00.024479-0 - Diamed Latino America medida cautelar Uniao Federal 2008.doc","01 - Juridico","Recursos","Tributario","Cautelar 2008.38.00.024479-0 - Diamed Latino America medida cautelar Uniao Federal 2008.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\024364-6.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Tributario\Acao 2005.38.00.024364-6 - Fernando Marcio Campolina Silva Uniao Federal IRPF 2005.doc","01 - Juridico","Peticoes","Tributario","Acao 2005.38.00.024364-6 - Fernando Marcio Campolina Silva Uniao Federal IRPF 2005.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Heliana Delfina Figueira.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Trabalhista\Laudo - Reclamacao trabalhista Heliana Delfina Figueira Trevoservis Leonardo Paula Moreira perito.pdf","01 - Juridico","Peticoes","Trabalhista","Laudo - Reclamacao trabalhista Heliana Delfina Figueira Trevoservis Leonardo Paula Moreira perito.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\023282-1.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Tributario\Acao 2005.38.00.023282-1 - Ramontec Montagens Industriais Simples 1997.doc","01 - Juridico","Peticoes","Tributario","Acao 2005.38.00.023282-1 - Ramontec Montagens Industriais Simples 1997.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\portador - Roberto Pereira dos Santos.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Civel\Protesto - Roberto Pereira Santos Industria Tintas Preluna Construminas.doc","01 - Juridico","Outros processuais","Civel","Protesto - Roberto Pereira Santos Industria Tintas Preluna Construminas.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\3866.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Pareceres e notas tecnicas\Trabalhista\Parecer 36402-2011-004-09-00-0 - Daniel Heimbert Muller ECT Sindicato Trabalhadores Parana.doc","01 - Juridico","Pareceres e notas tecnicas","Trabalhista","Parecer 36402-2011-004-09-00-0 - Daniel Heimbert Muller ECT Sindicato Trabalhadores Parana.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 04-01-2016.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Outros\Log cartorio Brazopolis Febraban C3410401.161 Itau 2016.pdf","03 - Administrativo","","Outros","Log cartorio Brazopolis Febraban C3410401.161 Itau 2016.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Eleitoral\eleicoes 2012.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Eleitoral\Lista TSE - Recurso Abuso Poder Economico Pedro Felicio Estrada Birigui SP 2012.doc","01 - Juridico","Recursos","Eleitoral","Lista TSE - Recurso Abuso Poder Economico Pedro Felicio Estrada Birigui SP 2012.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Vila Bella 2 parte 2 OK.doc","C:\Users\mauri\HD_Mau\03 - Administrativo\Outros\Recomendacoes seguranca condominio cadastramento empregados domesticos.doc","03 - Administrativo","","Outros","Recomendacoes seguranca condominio cadastramento empregados domesticos.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\C012804.txt","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Civel\Protesto - Serasa Brazopolis Lucineia Maria Azevedo Maria Nazare Marcelino Patricia Cobra 2014.txt","01 - Juridico","Outros processuais","Civel","Protesto - Serasa Brazopolis Lucineia Maria Azevedo Maria Nazare Marcelino Patricia Cobra 2014.txt"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Av Bernardo Vasconcelos.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Civel\Edital 0024.03.111.866-4 - Leilao Condominio Jardim Orquídeas Jefferson Mendonca Alice Nogueira Belo Horizonte.doc","01 - Juridico","Outros processuais","Civel","Edital 0024.03.111.866-4 - Leilao Condominio Jardim Orquídeas Jefferson Mendonca Alice Nogueira Belo Horizonte.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 007820-1.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Tributario\Embargos 2007.38.00.007820-1 - David Goncalves Leticia Caram Jove Silmar Guerra Uniao Federal.doc","01 - Juridico","Recursos","Tributario","Embargos 2007.38.00.007820-1 - David Goncalves Leticia Caram Jove Silmar Guerra Uniao Federal.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Solange Epifania.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Trabalhista\Resumo calculo - Solange Dores Epifania Garra Empreendimentos Ouro Preto 2010.pdf","01 - Juridico","Peticoes","Trabalhista","Resumo calculo - Solange Dores Epifania Garra Empreendimentos Ouro Preto 2010.pdf"
