tipo_registro,youtube_link,data_sessao,classe_processo,numero_processo,origem,eleicao,tribunal,tema,punchline,votacao,resultado,pedido_vista,relator,partes,advogados,analise_do_conteudo_juridico,raciocinio_juridico,fundamentacao_normativa,precedentes_citados,resoluções_citadas,composicao
Julgamento 1,https://youtu.be/z1LApuNNpu0?list=PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0,10/10/2024,Lista Tríplice,0612870-82,Cuiabá/MT,,TRE-MT,Julgamento da Lista Tríplice nº 0612870-82/MT,A simples existência de ação de cobrança não invalida a idoneidade; lista tríplice aprovada unanimemente.,Unânime,Aprovada,,Min. Nunes Marques,"Vinícius Segato, Jorge da Cunha, Rafael de Freitas Arantes, Armando Biancardini Candia",,"Trata-se de exame de idoneidade moral de um dos indicados da lista tríplice enviada pelo TRE-MT para preenchimento de vaga de juiz titular. A controvérsia decorreu da existência de certidão positiva relativa a cumprimento de sentença contra o indicado Armando Biancardini Candia, referente a cobrança de honorários advocatícios (natureza cível/patrimonial). O relator analisou a natureza da ação, as circunstâncias fáticas (parte significativa do débito já quitada antes da indicação) e aplicou precedente do TSE, concluindo que a pendência judicial, nas condições apresentadas, não atinge a idoneidade moral exigida para a magistratura eleitoral. Em razão disso, o Tribunal aprovou formalmente a lista tríplice, que será encaminhada ao Chefe do Poder Executivo para providências de nomeação.","Tese vencedora: o Min. Relator Nunes Marques sustentou que a ação apontada na certidão é de natureza cível (cobrança de honorários de sucumbência) e que, diante da quitação parcial/majoritária do débito e das circunstâncias do caso, tal pendência não evidencia comprometimento da idoneidade moral exigida para a função de juiz eleitoral. Aplicou-se o precedente do TSE (Lista Tríplice 0600325-48/2022), que prevê análise casuística das ações judiciais, afastando a aplicação automática de impedimento por mera existência de processo. Tese divergente: não houve voto divergente registrado. Conclusão do colegiado: acolhimento integral do voto do relator e aprovação da lista tríplice. Ministros vencedores: Min. Cármen Lúcia, Min. Nunes Marques (relator), Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares. Não houve ministros vencidos; decisão unânime.","Resolução TSE nº 23.517/2017 (Art. 4º, §2º), Código Eleitoral (Lei nº 4.737/1965, Art. 23, inciso I)",Lista Tríplice 0600325-48/2022: entendimento de que a mera existência de ação judicial não afasta a idoneidade moral,Resolução nº 23.517/2017,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 2,https://youtu.be/z1LApuNNpu0?list=PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0&t=1200,10/10/2024,Lista Tríplice,0600384-02,Natal/RN,,TRE-RN,Julgamento da Lista Tríplice nº 0600384-02/RN,Lista tríplice aprovada por verificação técnica; encaminhamento unânime ao Executivo.,Unânime,Aprovada,,Min. Nunes Marques,"Daniel Cabral, Maris Maia, Tales de Lima Góes Filho, Jeanne Gonçalves da Silva Barbosa",,"Trata-se de verificação formal dos requisitos dos indicados na lista tríplice para vaga no TRE-RN. A Assessoria Consultiva do TSE conferiu a documentação apresentada e validou o preenchimento dos requisitos objetivos legais. Não houve impugnações no prazo processual, o que reforçou a regularidade da lista. O exame foi sumário e técnico, sem apreciação de conduta individual dos indicados, resultando no encaminhamento da lista aprovada ao Poder Executivo para nomeação.","Tese vencedora: análise técnica e formal da documentação que comprovou o atendimento de todos os requisitos legais pelos indicados, e ausência de impugnações, justificando a aprovação e o encaminhamento da lista tríplice. Não houve tese divergente registrada no julgamento; o relator proferiu voto conciso pela aprovação. Conclusão do colegiado: aprovação e encaminhamento da lista ao Presidente da República. Ministros vencedores: Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares, Min. Jorge da Cunha, Min. Rafael de Freitas Arantes, Min. Armando Biancardini Candia — decisão unânime. Não há ministros vencidos.","Código Eleitoral (Lei nº 4.737/1965): Artigo 23, inciso XI (cit. no vídeo como Art. 23, inciso 11) e menção ao procedimento regido pelo Artigo 25 do mesmo diploma legal",Não mencionado no vídeo,,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 3,https://youtu.be/z1LApuNNpu0?list=PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0&t=1299,10/10/2024,Lista Tríplice,0613058-75,Boa Vista/RR,,TRE-RR,Aferição de idoneidade moral dos indicados,"Idoneidade exigida: conduta e gravidade definiram exclusão, ponderação manteve nome.",Unânime,Parcialmente acolhido - com efeitos modificativos,,Min. Floriano de Azevedo Marques,"Alan Kardec Lopes Mendonça Filho, Thiago Amorim dos Santos, André Luiz Galdino",,"Julgamento administrativo sobre idoneidade moral de indicados em lista tríplice para provimento de cargo. Dois dos indicados foram analisados separadamente: André Luiz Galdino, alcançado por execução fiscal de baixo valor (IPTU) quitada posteriormente, e Thiago Amorim dos Santos, réu em ação civil pública por dano ambiental (supressão ilegal de vegetação) com conduta processual omissa. O Tribunal ponderou a natureza e gravidade das imputações e a postura dos indicados, aplicando precedentes do TSE e normas constitucionais e eleitorais para aferir se os fatos maculam a idoneidade exigida para integrar a lista tríplice.","Tese vencedora: distinção factual entre os dois indicados e aplicação diferenciada de precedentes. Para André Luiz Galdino, o relator aplicou juízo de ponderação com base no precedente flexibilizador (Min. Tarcísio Vieira): trata-se de execução fiscal única, de baixo valor (R$ 4.166,00), quitada posteriormente, não sendo suficientemente grave para macular sua idoneidade — proposta de manutenção do nome acolhida. Para Thiago Amorim dos Santos, a tese vencedora assentou-se na gravidade da imputação (dano ambiental com repercussões penais segundo a legislação ambiental) e, sobretudo, na postura omissa do indicado, que permaneceu inerte nos autos e perante a Justiça Eleitoral; tal comportamento foi considerado incompatível com os requisitos de responsabilidade e probidade, justificando sua exclusão da lista. Não houve tese vencedora divergente registrada no relatório; o plenário aprovou por unanimidade a solução proposta pelo relator. Ministros vencedores: todos os presentes (voto unânime a favor da manutenção de Alan Kardec Lopes Mendonça Filho e André Luiz Galdino e da exclusão de Thiago Amorim dos Santos). Ministros vencidos: nenhum (decisão unânime).","Constituição Federal, art. 120, §1º, III; Código Eleitoral (Lei nº 4.737/1965), art. 25, §3º; Resolução TSE nº 23.517/2017; Lei dos Crimes Ambientais (quando invocada para contextualizar a gravidade das imputações ambientais).","Precedentes de relatoria do Min. Jorge Mussi (entendendo que débitos fiscais não quitados podem macular idoneidade) e do Min. Tarcísio Vieira (Lista Tríplice 0600471, ponderando que execução fiscal isolada de baixo valor não impede indicação).",Resolução TSE nº 23.517/2017,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André RamosTavares"
Julgamento 4,https://youtu.be/z1LApuNNpu0?list=PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0&t=1812,10/10/2024,AgRg-RO,0602008-11,Porto Velho/RO,2022,TRE-RO,"Abuso de poder político e econômico em AIJE: servidores, disparos e programas sociais",Voto-vista afasta abuso por insuficiência probatória; julgamento suspenso por pedido de vista.,Suspenso,Suspenso por vista,Min. Isabel Gallotti,Min. Raul Araújo,"Daniel Pereira, Marcos José Rocha dos Santos, Sérgio Gonçalves da Silva",,"AIJE por abuso de poder político e econômico nas eleições de 2022, com três linhas de acusação: (i) assédio/coação de servidores públicos para participação em atos de campanha; (ii) custeio de publicidade com recursos públicos, incluindo disparos em massa/telemarketing; (iii) uso eleitoreiro de programas sociais e aumento de repasses voluntários a municípios (programas ""Tchau, Poeira"" e ""Prato Fácil""). O voto-vista concentrou-se na análise fático-probatória: considerou voluntária a participação de servidores e ocorrida fora do expediente; entendeu ausentes nos autos provas sobre a extensão e gravidade dos disparos em massa; e aceitou justificativas fáticas para o aumento dos investimentos nos programas sociais em 2022, afastando finalidade eleitoreira. Em razão de pedido de vista da Min. Isabel Gallotti, o julgamento foi suspenso para novo exame dos autos.","Tese vencedora (do voto-vista): improcedência das imputações por insuficiência probatória quanto à gravidade e ao impacto eleitoral das condutas. O Min. André Ramos Tavares, em voto-vista, acompanhou integralmente o relator Min. Raul Araújo, concluindo que: (a) o suposto assédio a servidores não configurou coação nem uso da máquina pública porque as testemunhas e provas indicaram participação voluntária e fora do expediente; (b) os disparos/telemarketing, ainda que eventualmente objeto de outra punição, não demonstraram nos autos alcance ou efetivo impacto eleitoral suficiente para presumir abuso de poder; (c) o aumento de repasses e gastos com programas sociais em 2022 foi explicado por circunstâncias fáticas (dificuldades técnicas superadas e reversão de desinteresse empresarial), afastando a finalidade eleitoral. Tese divergente: não houve voto divergente formalizado no ato, mas a Min. Isabel Gallotti requereu vista para aprofundar a análise, indicando dúvida sobre a conclusão agregada; por isso não houve decisão colegiada final. Ministros que se posicionaram pro tempore: Min. André Ramos Tavares e Min. Raul Araújo (favoráveis a negar provimento ao agravo); Min. Isabel Gallotti (pediu vista). Outros ministros consultados (Min. Nunes Marques, Min. André Mendonça, Min. Floriano de Azevedo Marques e a Presidência Min. Cármen Lúcia) concordaram em aguardar o novo voto, de modo que não houve pronúncia colegiada definitiva.",,Não mencionado no vídeo,,"MIn. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 1,https://youtu.be/gcnDc_8gJhk?list=PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0&t=1103,10/15/2024,AREspe,0000042-17,Conceição do Araguaia/PA,2016,TRE-PA,Uso de documento falso em registro de candidatura e tipicidade do art. 353,O uso de documento falso consuma o crime eleitoral; a existência de documento alternativo não afasta a tipicidade.,Unânime,Provido,Min. Nunes Marques,Min. Antônio Carlos Ferreira,Jair Lopes Martins,Dr. Yuri Pompeu Braga Gonçalves,"A controvérsia versou sobre a configuração do crime previsto no art. 353 do Código Eleitoral diante da apresentação de diplomas de escolaridade falsos em processo de registro de candidatura, mesmo com a existência de outro documento válido (CNH) que comprovava alfabetização e afastava a inelegibilidade por analfabetismo. O relator entendeu que o uso do documento falso atinge a fé pública eleitoral e que o crime é formal, consumando-se com o mero uso doloso do documento, independentemente da obtenção de proveito ou de prejuízo concreto. O TSE rechaçou a tese do TRE-PA de atipicidade por ausência de potencialidade lesiva, determinando o retorno dos autos ao juízo de origem para prosseguimento da análise de mérito da ação penal.","Tese vencedora: o Tribunal consolidou a tese de que o crime previsto no art. 353 do Código Eleitoral é formal e se consuma com o mero uso doloso de documento falso, pois tutela a fé pública eleitoral. Argumentos centrais: (i) a ofensa ao bem jurídico se dá com o próprio ato de apresentação do documento inidôneo; (ii) a existência de documento válido (CNH) para provar alfabetização não elimina a tipicidade, pois se trata de esferas jurídicas distintas; (iii) aplicação do enunciado de súmula que impede reexame de fatos e provas apenas para fixar falsidade do documento com base no laudo pericial já produzido. Tese divergente: sustentada pelo TRE-PA, que alegava ausência de potencialidade lesiva e consequente atipicidade da conduta, tese rechaçada pelo TSE. Resultado do colegiado: provimento do agravo e parcial provimento do recurso especial para retorno dos autos à origem. Ministros vencedores: Min. Antônio Carlos Ferreira (relator) e demais ministros que acompanharam (Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares, Min. Edilene Lôbo). Não houve voto vencido; decisão por unanimidade.","Constituição Federal, Art. 14, § 4º, Código Eleitoral, Art. 353",Precedentes do TSE e do STJ sobre a natureza formal do crime de uso de documento falso (não especificados),"Enunciado de Súmula do TSE nº 55, Enunciado de Súmula do TSE nº 24","Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 2,https://youtu.be/gcnDc_8gJhk?list=PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0&t=2022,10/15/2024,TutCautAnt,0613339-31,Castanhal/PA,2020,TRE-PA,Fidelidade partidária e titularidade do mandato proporcional em retotalização,Mandato proporcional pertence ao partido; desfiliação pré-possse afasta a proteção do art. 22-A.,Suspenso,Suspenso por vista,Min. Nunes Marques,Min. Antônio Carlos Ferreira,"José Roberto Lopes do Nascimento, Podemos (Pode)",,"Questão sobre aplicação das regras de fidelidade partidária e titularidade do mandato proporcional em situação de retotalização de votos. O caso envolveu candidato que se desfilia durante a janela partidária e, após retotalização, sua antiga legenda passa a ter direito a vaga. O relator entendeu que as hipóteses de justa causa do art. 22-A da Lei nº 9.096/1995 aplicam-se apenas ao titular do mandato a partir da posse, não alcançando candidatos/suplentes que se desfilaram antes da definição da vaga; assim, a vaga pertence ao partido e a ausência de filiação no momento da retotalização impede a proteção pelas exceções legalmente previstas.","Tese do relator: indeferimento da tutela de urgência por ausência de fumus boni iuris, baseado em três pilares: (i) o mandato proporcional pertence ao partido, não ao candidato; (ii) o requerente tinha se desfiliado antes da retotalização e, portanto, não era titular de mandato no momento decisório; (iii) as hipóteses de justa causa do art. 22-A são taxativas e voltadas aos detentores de mandato (posse). Divergência/contribuições: não houve julgamento colegiado definitivo na sessão; o Ministro relator negou a tutela de urgência e o julgamento foi suspenso por pedido de vista. Ministros mencionados: Min. Antônio Carlos Ferreira (relator). Não há vencedores/vencidos por ausência de deliberação final.","Lei nº 9.096/1995, Art. 22, Art. 22-A, Resolução-TSE nº 22.610","STF - Mandado de Segurança nº 26.604, STF - ADI nº 4086",Resolução-TSE nº 22.610,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 3,https://youtu.be/gcnDc_8gJhk?list=PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0&t=2535,10/15/2024,AgRg-RO,0602007-26,Porto Velho/RO,2022,TRE-RO,Abuso de poder político e econômico por revogação de unidade de conservação,Ausência de nexo causal eleitoral e de materialidade afasta a configuração de abuso de poder.,Unânime,Desprovido,Min. André Ramos Tavares,Min. Raul Araújo,"Partido Liberal (estadual), Marcos José dos Santos, Sérgio Gonçalves da Silva",,"AIJE que imputava abuso de poder político e econômico em razão da revogação, por decreto estadual, da criação de unidade de conservação na véspera das eleições, supostamente para favorecer especulação imobiliária em benefício dos investigados. O voto-vista analisou elementos de materialidade e nexo causal eleitoral, concluindo que não havia demonstração de gravidade capaz de afetar a normalidade do pleito, nem benefício eleitoral direto ou materialidade concreta do ato, razão pela qual acompanhou o relator pela improcedência da ação.",Tese vencedora: improcedência da AIJE por ausência de demonstração da gravidade e do nexo causal eleitoral necessários para condenação por abuso de poder. Argumentos do voto-vista (Min. André Ramos Tavares): (i) impacto eleitoral restrito conforme acórdão de origem; (ii) ausência de benefício eleitoral mensurável (candidato investigado teve desempenho inferior na área); (iii) carência de materialidade efetiva (a estação ecológica não foi implementada por falta de dotação orçamentária). Divergência: não houve voto vencido; o Ministro Antônio Carlos Ferreira absteve-se de votar para preservar quórum da sessão originária. Resultado do colegiado: negar provimento ao agravo por unanimidade dos ministros aptos a votar (Min. Raul Araújo relator original; Min. André Ramos Tavares voto-vista; Min. Cármen Lúcia; Min. Nunes Marques; Min. André Mendonça; Min. Isabel Gallotti; Min. Floriano de Azevedo Marques). Ministro Antônio Carlos Ferreira ausente do voto para preservação de quórum.,"Lei Complementar nº 64/1990, Art. 22",,,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 1,https://youtu.be/VqIAEE8aYtc?list=PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0&t=1147,10/17/2024,AREspe,0600562-40,Icó/CE,2020,TRE-CE,Abuso de poder econômico e captação ilícita de sufrágio envolvendo grupo familiar,Responsabilidade indireta comprovada: ciência e protagonismo na campanha bastam para condenação.,Por maioria,Desprovido,,Min. Floriano de Azevedo Marques,"Francisco Evandro de Araújo Filho, Francisco Evandro de Araújo",,"Controle de mérito sobre condenação por abuso de poder econômico e captação ilícita de sufrágio em eleição municipal (vereador). O caso investigou um esquema sistemático de oferta de benesses (consultas médicas, passagens, reparo automotivo, exames) e violência política (disparos contra residência de adversário) envolvendo membros de um grupo familiar. A controvérsia central foi a suficiência do conjunto probatório para atribuir ciência e responsabilidade ao candidato beneficiado (filho) e ao pai, diante de indícios indiretos, destruição de prova e depoimentos testemunhais.","Tese vencedora (Min. André Mendonça e maioria): condenação de ambos (pai e filho) com base na valoração global do conjunto probatório, que inclui o contexto de violência política (disparos), indícios de ocultação/destruição de provas (celular 'molhado'), depoimentos que indicam protagonismo do filho na campanha e interpretação das conversas apreendidas como demonstrativas de ciência inequívoca. O relator original (Min. Floriano de Azevedo Marques) votou pela manutenção de condenação apenas do pai, por entender insuficiente a prova direta contra o filho, destacando autonomia comportamental do filho e ausência de prova robusta de conivência. Votaram com a divergência vencedora os Ministros André Mendonça (voto-vista e redator do acórdão), Nunes Marques, Isabel Gallotti, Antônio Carlos Ferreira, André Ramos Tavares e a Presidente Min. Cármen Lúcia. Conclusão do colegiado: por maioria (6 a 1) negou-se provimento ao agravo, mantendo-se o acórdão regional e as condenações de ambos; relator vencido foi Min. Floriano de Azevedo Marques.","Código Eleitoral (Art. 301), Súmula nº 24 do TSE","TSE, Respe Eleitoral 57611 (Ceará), Rel. Min. Tarcísio Vieira",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 2,https://youtu.be/VqIAEE8aYtc?list=PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0&t=3737,10/17/2024,AREspe,0600001-71,Cururupu/MA,2020,TRE-MA,Fraude à cota de gênero e candidaturas fictícias em eleições proporcionais,Cota de gênero não pode ser formalidade: candidaturas fictícias anulam votos e cassam mandatos.,Unânime,Provido,,Min. André Mendonça,"Genes Luiz Rabello Pestana, Partido dos Trabalhadores (PT) - Diretório Municipal, Alex Sandro Silva Rabello, Valdemira Ribeiro Vale",,"Reexame jurídico de decisão regional sobre fraude à cota de gênero em eleição proporcional municipal. O recurso discutiu a existência de candidaturas fictícias e a aplicação dos critérios objetivos consolidados pelo TSE (votação ínfima/zerada, ausência de gastos, falta de atos de campanha, prestação de contas irrelevante) para caracterizar fraude à cota. O relator reclassificou juridicamente os fatos registrados no acórdão regional, concluindo que a exclusão de duas candidaturas como fictícias reduzia o percentual feminino abaixo do mínimo legal, acarretando a nulidade dos votos do partido e as consequências dele derivadas.","Tese vencedora (unânime): aplicação dos critérios objetivos consolidados pelo TSE para identificar candidaturas fictícias (votação zerada/ínfima, ausência de gastos e de atos de campanha, prestação de contas irrelevante), que, quando comprovados em mais de uma candidatura, resultam em violação do percentual mínimo de 30% exigido por Lei 9.504/1997. O relator (Min. André Mendonça) promoveu o reenquadramento jurídico dos fatos já apurados pelo TRE-MA, concluindo que a exclusão de duas candidaturas reduziria a participação feminina para 21,42%, caracterizando fraude. O colegiado acompanhou integralmente o relator por unanimidade, provendo o agravo, julgando a AIME procedente e determinando a nulidade dos votos do PT no pleito proporcional de Cururupu/MA, cassação do DRAP, cassação dos diplomas e recálculo dos quocientes. Ministros vencedores: todos os presentes (decisão unânime); não houve divergência.","Lei das Eleições (Lei 9.504/1997), Súmula nº 73 do TSE, Súmulas nº 24 e 30 do TSE",Jurisprudência consolidada do TSE sobre critérios objetivos para caracterização de candidatura fictícia e fraude à cota de gênero,,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 1,https://youtu.be/-sCwzKfLVrw?list=PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0&t=1194,10/22/2024,Lista Tríplice,0600240-91,Goiânia/GO,,TRE-GO,Homologação de lista tríplice para provimento de cargo de juiz eleitoral,Regularidade formal confirmada: lista tríplice aprovada sem óbices.,Unânime,Aprovada,,Min. Antônio Carlos Ferreira,"Ademir Teixeira Perez Júnior, Davi Carneiro Metre, José Carlos Bittencourt Garcia",,"Verificação formal dos requisitos objetivos para composição da lista tríplice destinada ao provimento de cargo de juiz titular na classe de advogado, incluindo análise da documentação comprobatória de militância profissional e idoneidade, e confirmação da ausência de impugnações após publicação de edital.","Tese vencedora: controle formal do TSE sobre a regularidade dos indicados para lista tríplice, baseado no parecer técnico favorável e na ausência de impugnações após edital, o que demonstra cumprimento dos requisitos legais. Não houve tese divergente; o relator (Min. Antônio Carlos Ferreira) destacou o caráter estritamente formal do exame, sem adentrar preferências do tribunal de origem. Decisão tomada por unanimidade (Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Ramos Tavares) aprovando a lista e determinando encaminhamento ao Poder Executivo.","Artigo 25, parágrafo terceiro, do Código Eleitoral, Resolução-TSE nº 23.517",,Resolução-TSE nº 23.517,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 2,https://youtu.be/-sCwzKfLVrw?list=PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0&t=1316,10/22/2024,Lista Tríplice,0600133-63,Macapá/AP,,TRE-AP,Homologação de lista tríplice para juiz substituto,Rito formal respeitado: lista tríplice validada sem contestações.,Unânime,Aprovada,,Min. Antônio Carlos Ferreira,"Nasson de Sagaleno, Edivan Silva dos Santos, Orlando Souto Vasconcelos",,"Validação formal da lista tríplice para provimento de cargo de juiz substituto na classe de advogado, com conferência dos requisitos objetivos dos indicados e verificação da inexistência de impugnações após a publicação do edital.","Tese vencedora: atuação controladora do TSE limitada à verificação documental e formal dos requisitos legais, apoiada no parecer favorável da assessoria técnica e na ausência de impugnações, não se adentrando no mérito da indicação pelo tribunal de origem. Decisão unânime acompanhando o relator (Min. Antônio Carlos Ferreira).","Artigo 25, parágrafo terceiro, do Código Eleitoral, Resolução-TSE nº 23.517",,Resolução-TSE nº 23.517,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 3,https://youtu.be/-sCwzKfLVrw?list=PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0&t=1413,10/22/2024,PA,0601133-79,Manaus/AM,2024,TRE-AM,Requisição de Força Federal para garantir segurança do pleito,Força Federal autorizada para assegurar a normalidade do segundo turno.,Unânime,Aprovada,,Min. Cármen Lúcia,,,Pedido administrativo de requisição de Força Federal para garantir segurança e normalidade do 2º turno das Eleições de 2024 em Manaus; análise da necessidade fática e do risco à ordem pública para autorizar atuação das Forças Federais no dia da votação.,"Tese vencedora: a autoridade do TSE para deferir requisição de Força Federal em situações excepcionais de risco à ordem pública, com base na demonstração concreta de necessidade pelos TREs. A relatora (Min. Cármen Lúcia) concluiu pelo deferimento, entendimento acolhido por todo o Plenário, que reconheceu risco fático concreto nas localidades indicadas. Decisão unânime autorizando atuação das Forças Federais em Manaus.",,,,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 4,https://youtu.be/-sCwzKfLVrw?list=PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0&t=1413,10/22/2024,PA,0613591-34,Caucaia/CE,2024,TRE-CE,Autorização de Força Federal para localidades do Ceará no 2º turno,Segurança eleitoral reforçada: Força Federal liberada para municípios em risco.,Unânime,Aprovada,,Min. Cármen Lúcia,,,Pedido de requisição de Força Federal formulado pelo TRE-CE para atuação em Fortaleza e Caucaia no 2º turno das Eleições de 2024; exame da presença de risco à ordem pública e insuficiência das forças locais para assegurar a regularidade do pleito.,"Tese vencedora: deferimento da requisição por reconhecimento do risco concreto à segurança e à ordem pública, justificando medida excepcional; relatora (Min. Cármen Lúcia) votou pelo deferimento, aprovado por unanimidade pelo Plenário. Não houve divergência.",,,,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 5,https://youtu.be/-sCwzKfLVrw?list=PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0&t=1581,10/22/2024,ED-RO,0602962-04,Fortaleza/CE,2022,TRE-CE,Cabimento de embargos com efeitos infringentes e análise da gravidade quantitativa do abuso de poder,"Omissão suprida, mandato preservado: efeitos infringentes acolhidos por ausência de gravidade quantitativa.",Unânime,Provido,,Min. André Mendonça,"Herbert Freitas Reis Cavalcante Mota, Eduardo Henrique Maia Bismarck, Audir Cavalcante Mota Dias, Aldic Mota, Eduardo Bismarck",,Embargos de declaração opostos contra acórdão do TSE que havia cassado mandatos por abuso de poder político e econômico decorrente do uso das redes sociais da Prefeitura de Baturité para promoção de candidatos. Controvérsia sobre omissão do acórdão anterior na análise da gravidade quantificada da conduta na circunscrição correta (estadual) e repercussão efetiva das oito postagens impugnadas.,"Tese vencedora: acolhimento dos embargos de declaração com efeitos infringentes diante de omissão relevante sobre a análise da gravidade quantitativa na circunscrição correta (estadual). O relator (Min. André Mendonça) destacou que as oito postagens tiveram alcance ínfimo frente ao eleitorado estadual (6,8 milhões), a distância temporal em relação à eleição e a comparação com precedente análogo (RE nº 060029-66) justificavam a revisão da cassação. Vários ministros que haviam votado pela cassação retificaram seus votos (Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques e outros), a Presidente (Min. Cármen Lúcia) também justificou o caráter excepcional dos efeitos infringentes. Conclusão: por unanimidade, acolheram-se os embargos com efeitos modificativos, negando provimento ao recurso do Ministério Público e restabelecendo os mandatos. Ministros vencedores: Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Cármen Lúcia, Min. Nunes Marques, Min. Ramos Tavares. Não houve vencidos na decisão final (unânime).",Princípio in dubio pro sufrágio,"Precedente relatado pelo Min. André Ramos Tavares, Recurso Ordinário em Embargos nº 060029-66 (Rel. Min. Raul Araújo), precedentes sobre in dubio pro sufragio (Min. Tarcísio Vieira, Min. Ricardo Lewandowski)",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
