"Rel","Nivel","Cat","Arq","NSub","Full"
"03 - Financeiro\NFe e outros","2","03 - Financeiro","1","6","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\NFe e outros"
"03 - Financeiro\SEGUROS","2","03 - Financeiro","7","11","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\SEGUROS"
"03 - Financeiro\VIVARA","2","03 - Financeiro","2","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\VIVARA"
"03 - Financeiro\BRB\Ana Carolina","3","03 - Financeiro","9","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\BRB\Ana Carolina"
"03 - Financeiro\BRB\Apto Itajubá","3","03 - Financeiro","3","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\BRB\Apto Itajubá"
"03 - Financeiro\BRB\Maurício","3","03 - Financeiro","7","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\BRB\Maurício"
"03 - Financeiro\CONSÓRCIO\Automóvel","3","03 - Financeiro","4","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONSÓRCIO\Automóvel"
"03 - Financeiro\CONSÓRCIO\Imóvel","3","03 - Financeiro","3","1","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONSÓRCIO\Imóvel"
"03 - Financeiro\CONSÓRCIO\Imóvel\Estudo","4","03 - Financeiro","9","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONSÓRCIO\Imóvel\Estudo"
"03 - Financeiro\CONTAS\CAROL","3","03 - Financeiro","12","1","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\CAROL"
"03 - Financeiro\CONTAS\CSVs","3","03 - Financeiro","0","9","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\CSVs"
"03 - Financeiro\CONTAS\Exportações Mobills","3","03 - Financeiro","10","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\Exportações Mobills"
"03 - Financeiro\CONTAS\FATURAS","3","03 - Financeiro","38","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\FATURAS"
"03 - Financeiro\CONTAS\MATHEUS","3","03 - Financeiro","6","1","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\MATHEUS"
"03 - Financeiro\CONTAS\CAROL\Legado","4","03 - Financeiro","101","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\CAROL\Legado"
"03 - Financeiro\CONTAS\CSVs\AGO_2025","4","03 - Financeiro","7","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\CSVs\AGO_2025"
"03 - Financeiro\CONTAS\CSVs\DEZ_2025","4","03 - Financeiro","6","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\CSVs\DEZ_2025"
"03 - Financeiro\CONTAS\CSVs\JAN_2026","4","03 - Financeiro","5","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\CSVs\JAN_2026"
"03 - Financeiro\CONTAS\CSVs\JUL_2025","4","03 - Financeiro","6","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\CSVs\JUL_2025"
"03 - Financeiro\CONTAS\CSVs\JUN_2025","4","03 - Financeiro","6","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\CSVs\JUN_2025"
"03 - Financeiro\CONTAS\CSVs\MAI_2025","4","03 - Financeiro","7","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\CSVs\MAI_2025"
"03 - Financeiro\CONTAS\CSVs\NOV_2025","4","03 - Financeiro","5","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\CSVs\NOV_2025"
"03 - Financeiro\CONTAS\CSVs\OUT_2025","4","03 - Financeiro","8","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\CSVs\OUT_2025"
"03 - Financeiro\CONTAS\CSVs\SET_2025","4","03 - Financeiro","6","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\CSVs\SET_2025"
"03 - Financeiro\CONTAS\MATHEUS\Legado","4","03 - Financeiro","96","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\CONTAS\MATHEUS\Legado"
"03 - Financeiro\IRPF\2023","3","03 - Financeiro","21","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\IRPF\2023"
"03 - Financeiro\IRPF\2024","3","03 - Financeiro","14","1","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\IRPF\2024"
"03 - Financeiro\IRPF\2025","3","03 - Financeiro","19","2","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\IRPF\2025"
"03 - Financeiro\IRPF\2024\CAROL","4","03 - Financeiro","13","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\IRPF\2024\CAROL"
"03 - Financeiro\IRPF\2025\Carol","4","03 - Financeiro","15","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\IRPF\2025\Carol"
"03 - Financeiro\IRPF\2025\Devolução TSE","4","03 - Financeiro","3","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\IRPF\2025\Devolução TSE"
"03 - Financeiro\NFe e outros\01 - Eletrônicos e informática","3","03 - Financeiro","11","2","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\NFe e outros\01 - Eletrônicos e informática"
"03 - Financeiro\NFe e outros\02 - Eletrodomésticos","3","03 - Financeiro","5","2","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\NFe e outros\02 - Eletrodomésticos"
"03 - Financeiro\NFe e outros\03 - Móveis e decoração","3","03 - Financeiro","3","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\NFe e outros\03 - Móveis e decoração"
"03 - Financeiro\NFe e outros\04 - Roupas e acessórios","3","03 - Financeiro","6","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\NFe e outros\04 - Roupas e acessórios"
"03 - Financeiro\NFe e outros\05 - Saúde","3","03 - Financeiro","0","1","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\NFe e outros\05 - Saúde"
"03 - Financeiro\NFe e outros\06 - Serviços e diversos","3","03 - Financeiro","3","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\NFe e outros\06 - Serviços e diversos"
"03 - Financeiro\NFe e outros\01 - Eletrônicos e informática\Notebooks Samsung","4","03 - Financeiro","3","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\NFe e outros\01 - Eletrônicos e informática\Notebooks Samsung"
"03 - Financeiro\NFe e outros\01 - Eletrônicos e informática\Relógio Polar Pacer","4","03 - Financeiro","9","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\NFe e outros\01 - Eletrônicos e informática\Relógio Polar Pacer"
"03 - Financeiro\NFe e outros\02 - Eletrodomésticos\Lava e seca antiga (doada em 2023)","4","03 - Financeiro","2","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\NFe e outros\02 - Eletrodomésticos\Lava e seca antiga (doada em 2023)"
"03 - Financeiro\NFe e outros\02 - Eletrodomésticos\Lava e Seca Samsung WD13T (atual)","4","03 - Financeiro","2","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\NFe e outros\02 - Eletrodomésticos\Lava e Seca Samsung WD13T (atual)"
"03 - Financeiro\NFe e outros\05 - Saúde\Consultas obstétricas (pré-natal 2026)","4","03 - Financeiro","10","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\NFe e outros\05 - Saúde\Consultas obstétricas (pré-natal 2026)"
"03 - Financeiro\SEGUROS\Aluguel de veículos (Visa)","3","03 - Financeiro","1","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\SEGUROS\Aluguel de veículos (Visa)"
"03 - Financeiro\SEGUROS\Auto (Itaú)","3","03 - Financeiro","8","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\SEGUROS\Auto (Itaú)"
"03 - Financeiro\SEGUROS\Cobertura Adicional de Risco (Icatu)","3","03 - Financeiro","9","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\SEGUROS\Cobertura Adicional de Risco (Icatu)"
"03 - Financeiro\SEGUROS\Compra de produtos","3","03 - Financeiro","6","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\SEGUROS\Compra de produtos"
"03 - Financeiro\SEGUROS\Previdência (Funpresp)","3","03 - Financeiro","10","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\SEGUROS\Previdência (Funpresp)"
"03 - Financeiro\SEGUROS\Previdência (LegisPrev)","3","03 - Financeiro","14","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\SEGUROS\Previdência (LegisPrev)"
"03 - Financeiro\SEGUROS\Residencial (Itaú)","3","03 - Financeiro","7","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\SEGUROS\Residencial (Itaú)"
"03 - Financeiro\SEGUROS\Saúde (Unimed)","3","03 - Financeiro","2","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\SEGUROS\Saúde (Unimed)"
"03 - Financeiro\SEGUROS\SEGURO BB (antigo)","3","03 - Financeiro","13","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\SEGUROS\SEGURO BB (antigo)"
"03 - Financeiro\SEGUROS\Viagens (Visa)","3","03 - Financeiro","4","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\SEGUROS\Viagens (Visa)"
"03 - Financeiro\SEGUROS\Vida (Prudential)","3","03 - Financeiro","4","0","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\SEGUROS\Vida (Prudential)"
"04 - Imóveis\APTO 216 NORTE","2","04 - Imóveis","87","4","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 216 NORTE"
"04 - Imóveis\APTO 409 SUL","2","04 - Imóveis","116","3","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 409 SUL"
"04 - Imóveis\APTO SQSW 105","2","04 - Imóveis","18","1","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO SQSW 105"
"04 - Imóveis\IMÓVEL CEF","2","04 - Imóveis","3","0","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\IMÓVEL CEF"
"04 - Imóveis\MYKONOS","2","04 - Imóveis","114","0","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\MYKONOS"
"04 - Imóveis\POUPEX","2","04 - Imóveis","21","0","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\POUPEX"
"04 - Imóveis\REURB","2","04 - Imóveis","5","0","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\REURB"
"04 - Imóveis\APTO 216 NORTE\Armário da cozinha","3","04 - Imóveis","3","0","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 216 NORTE\Armário da cozinha"
"04 - Imóveis\APTO 216 NORTE\IPTU 2016","3","04 - Imóveis","14","0","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 216 NORTE\IPTU 2016"
"04 - Imóveis\APTO 216 NORTE\IPTU 2017","3","04 - Imóveis","6","0","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 216 NORTE\IPTU 2017"
"04 - Imóveis\APTO 216 NORTE\IPTU 2018","3","04 - Imóveis","2","0","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 216 NORTE\IPTU 2018"
"04 - Imóveis\APTO 409 SUL\Aluguéis","3","04 - Imóveis","44","0","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 409 SUL\Aluguéis"
"04 - Imóveis\APTO 409 SUL\Condomínio","3","04 - Imóveis","18","0","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 409 SUL\Condomínio"
"04 - Imóveis\APTO 409 SUL\IPTU","3","04 - Imóveis","5","0","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 409 SUL\IPTU"
"04 - Imóveis\APTO SQSW 105\NFe's elétrica","3","04 - Imóveis","26","0","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO SQSW 105\NFe's elétrica"
"05 - Jurídico e trabalho\Cadeiras TSE","2","05 - Jurídico e trabalho","4","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Cadeiras TSE"
"05 - Jurídico e trabalho\CONLE","2","05 - Jurídico e trabalho","2","5","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE"
"05 - Jurídico e trabalho\GUILLON","2","05 - Jurídico e trabalho","0","3","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\GUILLON"
"05 - Jurídico e trabalho\INVENTÁRIO","2","05 - Jurídico e trabalho","19","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\INVENTÁRIO"
"05 - Jurídico e trabalho\LE","2","05 - Jurídico e trabalho","4","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\LE"
"05 - Jurídico e trabalho\PROBLEMA AEED","2","05 - Jurídico e trabalho","7","2","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\PROBLEMA AEED"
"05 - Jurídico e trabalho\PROCESSOS","2","05 - Jurídico e trabalho","0","2","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\PROCESSOS"
"05 - Jurídico e trabalho\Propaganda eleitoral","2","05 - Jurídico e trabalho","1","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\Propaganda eleitoral"
"05 - Jurídico e trabalho\TCE_MS","2","05 - Jurídico e trabalho","3","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TCE_MS"
"05 - Jurídico e trabalho\TOTALIZAÇÃO","2","05 - Jurídico e trabalho","25","1","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TOTALIZAÇÃO"
"05 - Jurídico e trabalho\TSE","2","05 - Jurídico e trabalho","50","27","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE"
"05 - Jurídico e trabalho\CONLE\Curso de formação","3","05 - Jurídico e trabalho","18","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\Curso de formação"
"05 - Jurídico e trabalho\CONLE\PROMPTs CONLE","3","05 - Jurídico e trabalho","21","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\PROMPTs CONLE"
"05 - Jurídico e trabalho\CONLE\REDES SOCIAIS","3","05 - Jurídico e trabalho","17","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\REDES SOCIAIS"
"05 - Jurídico e trabalho\CONLE\SESSÕES PLENÁRIAS","3","05 - Jurídico e trabalho","11","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\SESSÕES PLENÁRIAS"
"05 - Jurídico e trabalho\CONLE\STs","3","05 - Jurídico e trabalho","29","7","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\STs"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111","4","05 - Jurídico e trabalho","1","2","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111"
"05 - Jurídico e trabalho\CONLE\STs\INFO TÉCNICA","4","05 - Jurídico e trabalho","10","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\STs\INFO TÉCNICA"
"05 - Jurídico e trabalho\CONLE\STs\PARECERES","4","05 - Jurídico e trabalho","4","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\STs\PARECERES"
"05 - Jurídico e trabalho\CONLE\STs\PROMPTS da Conle","4","05 - Jurídico e trabalho","18","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\STs\PROMPTS da Conle"
"05 - Jurídico e trabalho\CONLE\STs\PROPOSIÇÕES","4","05 - Jurídico e trabalho","12","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\STs\PROPOSIÇÕES"
"05 - Jurídico e trabalho\CONLE\STs\Resoluções","4","05 - Jurídico e trabalho","33","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\STs\Resoluções"
"05 - Jurídico e trabalho\CONLE\STs\TVR","4","05 - Jurídico e trabalho","18","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\STs\TVR"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\dados","5","05 - Jurídico e trabalho","2","3","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\dados"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\scripts","5","05 - Jurídico e trabalho","3","1","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\scripts"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\dados\brutos_TSE","6","05 - Jurídico e trabalho","3","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\dados\brutos_TSE"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\dados\entrada","6","05 - Jurídico e trabalho","2","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\dados\entrada"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\dados\resultados","6","05 - Jurídico e trabalho","3","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\dados\resultados"
"05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\scripts\tse_fundos","6","05 - Jurídico e trabalho","9","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\CONLE\STs\FEFC e FP - Comparativos com a EC111\scripts\tse_fundos"
"05 - Jurídico e trabalho\GUILLON\JACIR GARCIA E CECÍLIA MARIA DE SOUZA","3","05 - Jurídico e trabalho","4","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\GUILLON\JACIR GARCIA E CECÍLIA MARIA DE SOUZA"
"05 - Jurídico e trabalho\GUILLON\JOSE ANTONIO DE SOUZA","3","05 - Jurídico e trabalho","8","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\GUILLON\JOSE ANTONIO DE SOUZA"
"05 - Jurídico e trabalho\GUILLON\KAMILLA","3","05 - Jurídico e trabalho","11","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\GUILLON\KAMILLA"
"05 - Jurídico e trabalho\PROBLEMA AEED\Cancelar acesso_arquivos","3","05 - Jurídico e trabalho","11","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\PROBLEMA AEED\Cancelar acesso_arquivos"
"05 - Jurídico e trabalho\PROBLEMA AEED\RES TSE  GSTI - chamado 322643 respondido_arquivos","3","05 - Jurídico e trabalho","9","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\PROBLEMA AEED\RES TSE  GSTI - chamado 322643 respondido_arquivos"
"05 - Jurídico e trabalho\PROCESSOS\Azul","3","05 - Jurídico e trabalho","14","1","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\PROCESSOS\Azul"
"05 - Jurídico e trabalho\PROCESSOS\Unidas","3","05 - Jurídico e trabalho","7","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\PROCESSOS\Unidas"
"05 - Jurídico e trabalho\PROCESSOS\Azul\Elementos para citação","4","05 - Jurídico e trabalho","3","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\PROCESSOS\Azul\Elementos para citação"
"05 - Jurídico e trabalho\TOTALIZAÇÃO\relatoriosPF-TSE","3","05 - Jurídico e trabalho","0","3","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TOTALIZAÇÃO\relatoriosPF-TSE"
"05 - Jurídico e trabalho\TOTALIZAÇÃO\relatoriosPF-TSE\lacra2016","4","05 - Jurídico e trabalho","2","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TOTALIZAÇÃO\relatoriosPF-TSE\lacra2016"
"05 - Jurídico e trabalho\TOTALIZAÇÃO\relatoriosPF-TSE\lacra2018","4","05 - Jurídico e trabalho","4","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TOTALIZAÇÃO\relatoriosPF-TSE\lacra2018"
"05 - Jurídico e trabalho\TOTALIZAÇÃO\relatoriosPF-TSE\tps2019","4","05 - Jurídico e trabalho","2","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TOTALIZAÇÃO\relatoriosPF-TSE\tps2019"
"05 - Jurídico e trabalho\TSE\13.23%","3","05 - Jurídico e trabalho","28","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\13.23%"
"05 - Jurídico e trabalho\TSE\ACERTO DE CONTAS","3","05 - Jurídico e trabalho","3","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ACERTO DE CONTAS"
"05 - Jurídico e trabalho\TSE\AGEL","3","05 - Jurídico e trabalho","15","10","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL"
"05 - Jurídico e trabalho\TSE\Arquivos de Chat do Microsoft Copilot","3","05 - Jurídico e trabalho","1","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Arquivos de Chat do Microsoft Copilot"
"05 - Jurídico e trabalho\TSE\Arquivos de Chat do Microsoft Teams","3","05 - Jurídico e trabalho","8","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Arquivos de Chat do Microsoft Teams"
"05 - Jurídico e trabalho\TSE\ATESTADOS","3","05 - Jurídico e trabalho","7","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ATESTADOS"
"05 - Jurídico e trabalho\TSE\Certificados","3","05 - Jurídico e trabalho","0","2","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Certificados"
"05 - Jurídico e trabalho\TSE\CONSULTAS POPULARES","3","05 - Jurídico e trabalho","30","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\CONSULTAS POPULARES"
"05 - Jurídico e trabalho\TSE\CURSOS","3","05 - Jurídico e trabalho","0","7","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\CURSOS"
"05 - Jurídico e trabalho\TSE\FC's","3","05 - Jurídico e trabalho","5","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\FC's"
"05 - Jurídico e trabalho\TSE\Imagens","3","05 - Jurídico e trabalho","0","1","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Imagens"
"05 - Jurídico e trabalho\TSE\LEGISLAÇÃO TOTAL","3","05 - Jurídico e trabalho","38","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\LEGISLAÇÃO TOTAL"
