"ID","Path","CNJ","Ext","NomeAtual"
"15","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Leia-me.txt","",".txt","Leia-me.txt"
"16","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\59648-40.doc","",".doc","59648-40.doc"
"17","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\eAG7ev1nYOjyGdIAGJAEpg 5.txt","",".txt","eAG7ev1nYOjyGdIAGJAEpg 5.txt"
"18","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 016858-4.doc","",".doc","documento 016858-4.doc"
"19","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\EE - Iria Mayer.doc","",".doc","EE - Iria Mayer.doc"
"20","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\C013103.txt","",".txt","C013103.txt"
"21","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Civel\Cautelar 2007 2 - 2007.doc","",".doc","Cautelar 2007 2 - 2007.doc"
"22","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Eleitoral\eleicoes 2014 gab MLF.doc","",".doc","eleicoes 2014 gab MLF.doc"
"23","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 021959-2.doc","",".doc","documento 021959-2.doc"
"24","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\2529.doc","",".doc","2529.doc"
"25","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\041794-9.doc","",".doc","041794-9.doc"
"26","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\24-03-2014.pdf","",".pdf","24-03-2014.pdf"
"27","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 012915-7.doc","",".doc","documento 012915-7.doc"
"28","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Civel\Jair Inacio da Silva 0231.05.049447-6.doc","",".doc","Jair Inacio da Silva 0231.05.049447-6.doc"
"29","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Sagrada Familia - execucao fiscal.doc","",".doc","Apartamento Sagrada Familia - execucao fiscal.doc"
"30","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\mensagem Carol.docx","",".docx","mensagem Carol.docx"
"31","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\mensagem natal para Carol.docx","",".docx","mensagem natal para Carol.docx"
"32","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\IBM UMS.txt","",".txt","IBM UMS.txt"
"33","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\INTLSISL.txt","",".txt","INTLSISL.txt"
"34","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 004492-0.doc","",".doc","documento 004492-0.doc"
"35","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\023250-0.doc","",".doc","023250-0.doc"
"36","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 20-03-2014.pdf","",".pdf","documento 20-03-2014.pdf"
"37","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Patria Minas.doc","",".doc","Patria Minas.doc"
"38","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Marajinho 16.pdf","",".pdf","Marajinho 16.pdf"
"39","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\80135234 amp-mg.jusbrasil.com.txt","",".txt","80135234 amp-mg.jusbrasil.com.txt"
"40","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\SNIDPMS.txt","",".txt","SNIDPMS.txt"
"41","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 2040.doc","",".doc","documento 2040.doc"
"42","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie ww3.lfg.com.txt","",".txt","cookie ww3.lfg.com.txt"
"43","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\48132-23.doc","",".doc","48132-23.doc"
"44","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 020079-9.doc","",".doc","documento 020079-9.doc"
"45","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Civel\Francisco Jose Moreira 0508080068994.doc","",".doc","Francisco Jose Moreira 0508080068994.doc"
"46","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\258939.doc","",".doc","258939.doc"
"47","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie sac0205 (2).txt","",".txt","cookie sac0205 (2).txt"
"48","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 008384-0.doc","",".doc","documento 008384-0.doc"
"49","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 009206-6.doc","",".doc","documento 009206-6.doc"
"50","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 11-03-2015.pdf","",".pdf","documento 11-03-2015.pdf"
"51","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\R032.doc","",".doc","R032.doc"
"52","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Lucinei Avelar - 25-11-2009.pdf","",".pdf","Lucinei Avelar - 25-11-2009.pdf"
"53","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Automatiza 01.doc","",".doc","Automatiza 01.doc"
"54","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Texto - Geraldo Luis.docx","",".docx","Texto - Geraldo Luis.docx"
"55","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento A6D8A3CC.doc","",".doc","documento A6D8A3CC.doc"
"56","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie questionmarket.txt","",".txt","cookie questionmarket.txt"
"57","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\23-10-2015.pdf","",".pdf","23-10-2015.pdf"
"58","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Maria Zenaide recuperado.doc","",".doc","Maria Zenaide recuperado.doc"
"59","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\043437-7.doc","",".doc","043437-7.doc"
"60","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 011868-9.doc","",".doc","documento 011868-9.doc"
"61","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\TPFUEL.txt","",".txt","TPFUEL.txt"
"62","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 10-10-2016.pdf","",".pdf","documento 10-10-2016.pdf"
"63","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 017838-6.doc","",".doc","documento 017838-6.doc"
"64","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 007362-8.doc","",".doc","documento 007362-8.doc"
"65","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\TSCOMP4.txt","",".txt","TSCOMP4.txt"
"66","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Erro - CNS requer utilizacao do Plug-in Java 1.5.pdf","",".pdf","Erro - CNS requer utilizacao do Plug-in Java 1.5.pdf"
"67","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie turn [2].txt","",".txt","cookie turn [2].txt"
"68","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Exame de Consciencia.docx","",".docx","Exame de Consciencia.docx"
"69","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie ox-d.sambaads.txt","",".txt","cookie ox-d.sambaads.txt"
"70","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 010102.txt","",".txt","documento 010102.txt"
"71","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Ouro Preto - perto do campus UFMG.doc","",".doc","Apartamento Ouro Preto - perto do campus UFMG.doc"
"72","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\IBMIR.txt","",".txt","IBMIR.txt"
"73","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\CLDVD.txt","",".txt","CLDVD.txt"
"74","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\80135234 detel.mg.gov.txt","",".txt","80135234 detel.mg.gov.txt"
"75","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 017726-0.doc","",".doc","documento 017726-0.doc"
"76","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Atualizar Garmin.pdf","",".pdf","Atualizar Garmin.pdf"
"77","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 011306.txt","",".txt","documento 011306.txt"
"78","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\SNDAP05140506141024.txt","",".txt","SNDAP05140506141024.txt"
"79","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\KODK4800.txt","",".txt","KODK4800.txt"
"80","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\024454-5.doc","",".doc","024454-5.doc"
"81","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 19-10-2015.pdf","",".pdf","documento 19-10-2015.pdf"
"82","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\SWOFF.txt","",".txt","SWOFF.txt"
"83","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 007262-6.doc","",".doc","documento 007262-6.doc"
"84","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\50592-80.doc","",".doc","50592-80.doc"
"85","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\80135234 chango.txt","",".txt","80135234 chango.txt"
"86","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 12-08-2014.pdf","",".pdf","documento 12-08-2014.pdf"
"87","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 16-03-2015.pdf","",".pdf","documento 16-03-2015.pdf"
"88","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\80135234 blogdopco.com.txt","",".txt","80135234 blogdopco.com.txt"
"89","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Grajau 2 - execucao fiscal.doc","",".doc","Apartamento Grajau 2 - execucao fiscal.doc"
"90","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Augusto de Lima.doc","",".doc","Apartamento Augusto de Lima.doc"
"91","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\28-10-2015.pdf","",".pdf","28-10-2015.pdf"
"92","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Audiencia publica 12-11-15.pdf","",".pdf","Audiencia publica 12-11-15.pdf"
"93","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\melhores series de TV.doc","",".doc","melhores series de TV.doc"
"94","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Jane Inocencio.pdf","",".pdf","Jane Inocencio.pdf"
"95","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 015076-3.doc","",".doc","documento 015076-3.doc"
"96","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 004862-4.doc","",".doc","documento 004862-4.doc"
"97","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Parte I.pdf","",".pdf","Parte I.pdf"
"98","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\R3412805.141.txt","",".txt","R3412805.141.txt"
"99","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\HPPS.txt","",".txt","HPPS.txt"
"100","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Estrutura completa.pdf","",".pdf","Estrutura completa.pdf"
"101","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 019277-7.doc","",".doc","documento 019277-7.doc"
"102","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\80135234 bt.uol.com.txt","",".txt","80135234 bt.uol.com.txt"
"103","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Verdade 116.doc","",".doc","Verdade 116.doc"
"104","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\despedida.doc","",".doc","despedida.doc"
"105","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Eleitoral\34954-07.doc","",".doc","34954-07.doc"
"106","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie LG.txt","",".txt","cookie LG.txt"
"107","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\VIDAPPLT.txt","",".txt","VIDAPPLT.txt"
"108","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Deixando inicializacao do PC mais rapido.doc","",".doc","Deixando inicializacao do PC mais rapido.doc"
"109","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie buscainfo [2].txt","",".txt","cookie buscainfo [2].txt"
"110","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\SSCNTRL.txt","",".txt","SSCNTRL.txt"
"111","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\HPSPARNT.txt","",".txt","HPSPARNT.txt"
"112","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 018390-8.doc","",".doc","documento 018390-8.doc"
"113","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 016466-7.doc","",".doc","documento 016466-7.doc"
"114","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie Wikipedia [2].txt","",".txt","cookie Wikipedia [2].txt"
"115","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Juramento exercito.docx","",".docx","Juramento exercito.docx"
"116","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Uzelac 71 99.pdf","",".pdf","Uzelac 71 99.pdf"
"117","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\80135234 buscape.com.txt","",".txt","80135234 buscape.com.txt"
"118","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie atdmt [2].txt","",".txt","cookie atdmt [2].txt"
"119","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\024278-9.doc","",".doc","024278-9.doc"
"120","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie zenite blog.txt","",".txt","cookie zenite blog.txt"
"121","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 16.pdf","",".pdf","documento 16.pdf"
"122","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\80135234 creditoecobranca.txt","",".txt","80135234 creditoecobranca.txt"
"123","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\anistia.doc","",".doc","anistia.doc"
"124","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 009870-4.doc","",".doc","documento 009870-4.doc"
"125","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Harvard visita CMRJ.doc","",".doc","Harvard visita CMRJ.doc"
"126","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\024479-0.doc","",".doc","024479-0.doc"
"127","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\UNSUPMSG.txt","",".txt","UNSUPMSG.txt"
"128","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\024364-6.doc","",".doc","024364-6.doc"
"129","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\license.txt","",".txt","license.txt"
"130","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Heliana Delfina Figueira.pdf","",".pdf","Heliana Delfina Figueira.pdf"
"131","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\023282-1.doc","",".doc","023282-1.doc"
"132","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\portador - Roberto Pereira dos Santos.doc","",".doc","portador - Roberto Pereira dos Santos.doc"
"133","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie www.microsoft.txt","",".txt","cookie www.microsoft.txt"
"134","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\3866.doc","",".doc","3866.doc"
"135","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie google.txt","",".txt","cookie google.txt"
"136","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 04-01-2016.pdf","",".pdf","documento 04-01-2016.pdf"
"137","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Eleitoral\eleicoes 2012.doc","",".doc","eleicoes 2012.doc"
"138","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\MACDRIVE.txt","",".txt","MACDRIVE.txt"
"139","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Trabalhista\DOC 11 - registro eletronico de caixa.pdf","",".pdf","DOC 11 - registro eletronico de caixa.pdf"
"140","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\rsoplog.txt","",".txt","rsoplog.txt"
"141","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Vila Bella 2 parte 2 OK.doc","",".doc","Vila Bella 2 parte 2 OK.doc"
"142","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\HP4050P6.txt","",".txt","HP4050P6.txt"
"143","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\C012804.txt","",".txt","C012804.txt"
"144","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Av Bernardo Vasconcelos.doc","",".doc","Apartamento Av Bernardo Vasconcelos.doc"
"145","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 007820-1.doc","",".doc","documento 007820-1.doc"
"146","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Tutorial WinAVI.pdf","",".pdf","Tutorial WinAVI.pdf"
"147","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Solange Epifania.pdf","",".pdf","Solange Epifania.pdf"
"148","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie tribalfusion [2].txt","",".txt","cookie tribalfusion [2].txt"
"149","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\HPAIO1.txt","",".txt","HPAIO1.txt"
"150","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\VISN6100.txt","",".txt","VISN6100.txt"
"151","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\PORTADOR - Edimar Marcio Ribeiro.doc","",".doc","PORTADOR - Edimar Marcio Ribeiro.doc"
"152","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie gwallet [2].txt","",".txt","cookie gwallet [2].txt"
"153","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Samuel Mariano.docx","",".docx","Samuel Mariano.docx"
"154","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\VGAMODE.txt","",".txt","VGAMODE.txt"
"155","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\recanto de paz.pdf","",".pdf","recanto de paz.pdf"
"156","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\http www.camara 2.gov.pdf","",".pdf","http www.camara 2.gov.pdf"
"157","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 2008.doc","",".doc","documento 2008.doc"
"158","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 07-10-2016 - PROT 13758 (2).pdf","",".pdf","documento 07-10-2016 - PROT 13758 (2).pdf"
"159","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Mensagens basicas E-bay.doc","",".doc","Mensagens basicas E-bay.doc"
"160","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\JU de Marco - dez09.doc","",".doc","JU de Marco - dez09.doc"
"161","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\CSREM32.txt","",".txt","CSREM32.txt"
"162","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\quebrando senha de PDF.doc","",".doc","quebrando senha de PDF.doc"
"163","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\REVIU CORSIN1 13-05-10 CDD Floresta.doc","",".doc","REVIU CORSIN1 13-05-10 CDD Floresta.doc"
"164","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento digitalizado - 20-03-2014.pdf","",".pdf","documento digitalizado - 20-03-2014.pdf"
"165","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\80135234 cnon.predicta.txt","",".txt","80135234 cnon.predicta.txt"
"166","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\23-06-2014.pdf","",".pdf","23-06-2014.pdf"
"167","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\ZIPMAGIC.txt","",".txt","ZIPMAGIC.txt"
"168","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\27-01-2015.pdf","",".pdf","27-01-2015.pdf"
"169","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Consertar painel de visualizacao do Windows Explorer.txt","",".txt","Consertar painel de visualizacao do Windows Explorer.txt"
"170","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\texto 6347024.rtf","",".rtf","texto 6347024.rtf"
"171","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\27-08-2015.pdf","",".pdf","27-08-2015.pdf"
"172","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\3761.doc","",".doc","3761.doc"
"173","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 013816-9.doc","",".doc","documento 013816-9.doc"
"174","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 14-01-2016.pdf","",".pdf","documento 14-01-2016.pdf"
"175","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\dig001001.pdf","",".pdf","dig001001.pdf"
"176","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 005730-0.doc","",".doc","documento 005730-0.doc"
"177","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\MINPW20.txt","",".txt","MINPW20.txt"
"178","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\C012507.txt","",".txt","C012507.txt"
"179","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Andreia Rita dos Santos.pdf","",".pdf","Andreia Rita dos Santos.pdf"
"180","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\DIRECTCD.txt","",".txt","DIRECTCD.txt"
"181","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie O Globo.txt","",".txt","cookie O Globo.txt"
"182","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\80135234 c1.atdmt.txt","",".txt","80135234 c1.atdmt.txt"
"183","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Rua Pium-i.doc","",".doc","Apartamento Rua Pium-i.doc"
"184","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Texto Ada - 21-08-2013.pdf","",".pdf","Texto Ada - 21-08-2013.pdf"
"185","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\XEROX6.txt","",".txt","XEROX6.txt"
"186","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Trabalhista\EXPURGOS Rosalina.pdf","",".pdf","EXPURGOS Rosalina.pdf"
"187","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\80135234 fastclick.txt","",".txt","80135234 fastclick.txt"
"188","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 007196-6.doc","",".doc","documento 007196-6.doc"
"189","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\80135234 almg.gov.txt","",".txt","80135234 almg.gov.txt"
"190","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento 600 m2 desconhecido.doc","",".doc","Apartamento 600 m2 desconhecido.doc"
"191","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 020908-2.doc","",".doc","documento 020908-2.doc"
"192","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\PUMACSM.txt","",".txt","PUMACSM.txt"
"193","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 10-04-2020.pdf","",".pdf","documento 10-04-2020.pdf"
"194","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\24.pdf","",".pdf","24.pdf"
"195","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\024722-6.doc","",".doc","024722-6.doc"
"196","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\cookie getclicky.txt","",".txt","cookie getclicky.txt"
"197","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Parte 7.pdf","",".pdf","Parte 7.pdf"
"198","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\PORTADOR - Reale Advogados e Associados 01.doc","",".doc","PORTADOR - Reale Advogados e Associados 01.doc"
"199","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Criticas Aline.docx","",".docx","Criticas Aline.docx"
"200","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 004784-0.doc","",".doc","documento 004784-0.doc"
