relpath	size	sha1	paginas	len_norm	sha1_norm	ano_zip	data_pasta	data_nome	n_nome	data_texto	n_texto	id_pasta	n_atas_sup	n_atas_reg	n_atas_incertas	atas	flags
BEs 1933\ABRIL\07\99225\00000006.pdf	1231134	bd583d9209bbc3d615494a94679cbbad935b018e	17	66404	fd2c5f4c31aecd3ab0623c975bc5936aea011f65	1933	1933-04-07			1933-04-07	75	99225	2	0	0	superior:ordinaria:25:1933-03-31:2;superior:ordinaria::1933-03-31:2	
BEs 1933\ABRIL\08\99226\00000007.pdf	1744717	508afb8784cdeebdbabc5a762f0d671050c71c4c	25	95745	b498e74696e038ae135d29457461ab200eec29f3	1933	1933-04-08			1933-04-08	76	99226	0	0	0		
BEs 1933\ABRIL\10\99230\00000008.pdf	1194654	35499574498bd9c12fed95107626d9f305aca41f	17	64358	19116b8b76a94841ec46854ad64648ae5eac8d22	1933	1933-04-10			1933-04-10	77	99230	0	0	0		
BEs 1933\ABRIL\11\99232\00000009.pdf	1081969	5a4a861062079f970f7d022700fb1c0f086ecdb2	15	57836	a15662a82169f214e8b5e36e0d5e2ad7977c8599	1933	1933-04-11			1933-04-11	78	99232	1	0	0	superior:ordinaria:26:1933-04-04:2	
BEs 1933\ABRIL\12\99233\00000010.pdf	1207095	3787947218faa96dc0676122a763d64c96d5456f	17	64467	24c3451add86917ae4e95877bf79cca9f4ede187	1933	1933-04-12			1933-04-12	79	99233	0	0	0		
BEs 1933\ABRIL\13\99234\00000011.pdf	1005993	9dc5d902f3d27ceba8c0adfbf67eddff5e795135	16	45724	b1b8b119e7453b82b2553db0fdf340b828933adf	1933	1933-04-13			1933-04-13	80	99234	0	0	0		
BEs 1933\ABRIL\15\99235\00000012.pdf	1217930	f7a9a51b655ff9c8695a6570a8557d5faa2b1df8	17	65025	958bbf0890dd74fdb6300db4d6cbbd823e0308a4	1933	1933-04-15			1933-04-15		99235	0	0	0		
BEs 1933\ABRIL\17\99236\00000013.pdf	1153932	73e7c7cafe21e204891c3cc729a4426af71378ce	16	61711	43ba3af65dbd4a45c7ddfcfada4a1fcb0520da19	1933	1933-04-17			1933-04-17	82	99236	0	0	0		
BEs 1933\ABRIL\18\99238\00000014.pdf	1213526	a80c71990b37077f28c780159eec1daa312b1a42	17	65780	6f1ac8ce31dd82f61aa3654361e45b3abdab389c	1933	1933-04-18			1933-04-18	83	99238	0	0	0		
BEs 1933\ABRIL\19\99240\00000015.pdf	1195948	a63cfe94fecf4d8e59a79d95b00742c4259578ad	17	64769	50dacc7cad0607e44ea7e6847e2f535887c5375c	1933	1933-04-19			1933-04-19	84	99240	0	0	0		
BEs 1933\ABRIL\20\99242\00000016.pdf	1005382	e73f9a9468add00ac79dcd7d45086d161f5ef181	16	45623	c9a34435b605145b0b04da6996b4f4406108282d	1933	1933-04-20			1933-04-20	85	99242	0	0	0		
BEs 1933\ABRIL\22\99245\00000017.pdf	1750181	530689055512cd2cb31e1b95c457d05a89f674c1	25	95715	3b05f99726a005312b9e1a2ace2abbf50aadf466	1933	1933-04-22			1933-04-22	86	99245	0	0	0		
BEs 1933\ABRIL\24\99246\00000018.pdf	1761117	b718542d988e9b99c4b6541ee9ac3de9833d8284	25	96650	dbaca30321cc59014372439864ab715406ee484d	1933	1933-04-24				87	99246	0	0	0		
BEs 1933\ABRIL\25\99247\00000019.pdf	1633632	634650eab28db8a17b81d12bb0772fd9ad9d0911	23	88394	bf79b445cfe5dfcd2c97f9eb74528aa94b42ff8b	1933	1933-04-25			1933-04-25	88	99247	0	0	0		
BEs 1933\ABRIL\26\99248\00000020.pdf	858470	4809970a66fc595bf649d596ded885ef817f7b04	12	46045	6ce8d36852522c4b24cd5fec99343e7f80b9168d	1933	1933-04-26			1933-04-26	89	99248	2	0	0	superior:::1932-10-28:2;superior::36:1932-10-31:3	
BEs 1933\ABRIL\27\99249\00000021.pdf	7956546	7ecd07a2fde8ec38f965710daae8c74248aa887d	93	461039	c2700a27d6281a1b11920f4e590d6407e6366d07	1933	1933-04-27			1933-04-27	90	99249	0	0	0		
BEs 1933\ABRIL\28\99251\00000022.pdf	23823238	5244b60cac50991451a6b8ca9f532b680669266d	270	1280146	61fd9801443477f5e3992f2ae8851c720386d42f	1933	1933-04-28			1933-04-27		99251	0	0	0		data_divergente
BEs 1933\ABRIL\29\99257\00000023.pdf	682340	1f15a1dbe27d90fe005dacf45818f13816780103	9	31065	b4e5245b664ceb9bfae838884b89414596101531	1933	1933-04-29			1933-04-29	92	99257	0	0	0		
BEs 1933\ABRIL\30\99259\00000024.pdf	679264	6bf66230c89d9262f8195cc42a3cb5bf6940aff4	8	36061	371d5c7f08357094710a25b282ff87521c0d6430	1933	1933-04-30			1933-04-30		99259	0	0	0		
BEs 1933\AGOSTO\02\99495\00000001.pdf	1766424	ba74722d364297bb95dd3ba8e445f466147bfad7	16	104665	6591aee621579fba2ceafef7ad778187f92f192b	1933	1933-08-02			1933-08-02		99495	5	0	0	superior:ordinaria:58:1933-07-25:2;superior:extraordinaria:23::14;superior:ordinaria:54::14;superior:ordinaria:::14;superior::24::15	
BEs 1933\AGOSTO\02\99495\00000005 (igual).pdf	1800968	1dbb248424d4106d63e491c78bebd87f3a1e07e5	16	104698	18c394d2a20996c749be964298ba7790e1aedd47	1933	1933-08-02			1933-08-02	119	99495	4	4	0	superior:ordinaria:58:1933-07-25:2;superior:ordinaria::1933-07-25:2;superior:extraordinaria:23:1933-05-26:14;superior:extraordinaria::1933-05-26:14;regional:ordinaria:54:1933-05-27:14;regional:ordinaria::1933-05-27:14;regional:extraordinaria:24::15;regional:extraordinaria:::15	
BEs 1933\AGOSTO\05\99501\00000002.pdf	1402734	02b2bc9cb0cac9a3cf82da0e3b15b0380872c3d0	13	72188	ecacc7992aa0678f1423ae15801cd9560d16f3f9	1933	1933-08-05			1933-08-05	120	99501	1	0	0	superior:ordinaria:59:1933-07-28:3	
BEs 1933\AGOSTO\05\99501\00000006 (igual).pdf	1453411	af135a07155e7bf09f9f5f06945c669bde3296bf	13	72261	b566c6079d79cf212236c7b71441e3c7ebc21c9d	1933	1933-08-05			1933-08-05	120	99501	1	0	0	superior:ordinaria:59:1933-07-28:3	
BEs 1933\AGOSTO\09\99507\00000003.pdf	851278	4ed46a7e602ec32c073363b038c6ba20ebf28916	9	45375	73729663878383df236a242f22659b12baeb6243	1933	1933-08-09			1933-08-09	121	99507	2	0	0	superior:ordinaria::1933-08-11:2;superior:ordinaria:60:1933-08-01:2	
BEs 1933\AGOSTO\09\99507\00000007 (igual).pdf	858679	ad2e858f74c819b0f9a6911b01611fc8d47aa1ac	9	45436	e640386505766d2e21ae8caeb9db018ad8ae1c1d	1933	1933-08-09			1933-08-09	121	99507	3	0	0	superior:::1933-08-11:2;superior:ordinaria:60::2;superior:ordinaria:::2	
BEs 1933\AGOSTO\12\99508\00000004.pdf	987797	345b6f3cdf134f11c5fd7a62902a7a4389dc8f80	9	54434	7f39cb11ef81686d04991aab1348c363fe1f43fd	1933	1933-08-12			1933-08-12		99508	2	0	0	superior:extraordinaria:4:1933-08-05:2;superior:ordinaria:::5	
BEs 1933\AGOSTO\12\99508\00000008 (igual).pdf	1000968	23b544415deeb71c6807a276025265f305064f69	9	54445	23509c005bf4070d77aa61c749bf1f9ea3197930	1933	1933-08-12			1933-08-12		99508	3	0	0	superior:ordinaria::1933-08-15:2;superior:extraordinaria:4:1933-08-05:2;superior:ordinaria::1933-05-27:5	
BEs 1933\AGOSTO\16\99512\00000005.pdf	817078	de8328a544d132dda215ddca991a5ed50060ef41	9	41603	c0c082cbb783bb51cc5c16ad617ba99d4e292e09	1933	1933-08-16			1933-08-16	123	99512	4	0	0	superior:ordinaria::1933-08-18:2;superior:ordinaria::1933-08-04:2;superior:ordinaria::1933-08-08:3;superior:ordinaria:63:1933-08-11:3	
BEs 1933\AGOSTO\16\99512\00000009 (igual).pdf	837829	4d5c23edb6d4ae72fa61c2947592dbe152da4de0	9	41668	698797a1f8926602c3f12b222f028a529e516868	1933	1933-08-16			1933-08-16	123	99512	4	0	0	superior:ordinaria::1933-08-18:2;superior::61:1933-08-04:2;superior:ordinaria:62:1933-08-08:3;superior:ordinaria:03:1933-08-11:3	
BEs 1933\AGOSTO\19\99518\00000006.pdf	2841816	fa54b999fda0f35e4d69221af34da2bea7d92a4b	27	151602	317cbcccfdc0fe7d1ee1d02b4aee1d0a02fe2171	1933	1933-08-19			1933-08-19	124	99518	6	0	0	superior:ordinaria::1933-08-22:2;superior:ordinaria:64:1933-08-15:2;superior:ordinaria:65:1933-08-18:2;superior:ordinaria:115::20;superior:ordinaria:::20;superior:ordinaria::1933-06-17:25	
BEs 1933\AGOSTO\19\99518\00000010 (igual).pdf	2901984	cdf602d2c264f7bba0cfcb65e7888832dfa891ea	27	151642	928f2efe7680c0e29bdd32a1d18b4f951bb2c136	1933	1933-08-19			1933-08-19	124	99518	5	0	0	superior:ordinaria::1933-08-22:2;superior:ordinaria::1933-08-15:2;superior:ordinaria:65:1933-08-18:2;superior:ordinaria:115::20;superior:ordinaria::1933-06-17:25	
BEs 1933\AGOSTO\23\99526\00000007.pdf	725939	db9e09a8b5b85ffe3b912b1168fee688efa10037	9	35768	9dcbb1b99668c3fd175383359002667b825d134a	1933	1933-08-23			1933-08-23	125	99526	2	0	0	superior:ordinaria::1933-08-25:2;superior:extraordinaria:5:1933-08-19:3	
BEs 1933\AGOSTO\23\99526\00000011 (igual).pdf	732347	19bdfa56c12ff1e5ec2476e7a00fea7b0d871fa9	9	35815	2f51876fde58f290e3e4c33d88b4866ef7a182e0	1933	1933-08-23			1933-08-23	125	99526	2	0	0	superior:ordinaria::1933-08-25:2;superior:extraordinaria:5:1933-08-19:3	
BEs 1933\AGOSTO\26\99527\00000008.pdf	1944506	40572fcdb4a3be7712da84ac0f22519ecc90d15a	17	104963	0777ccd2a5ddc95fb6e32f6e8733560b8a1c0d31	1933	1933-08-26			1933-08-26	126	99527	1	0	0	superior:ordinaria:66:1933-08-22:2	
BEs 1933\AGOSTO\26\99527\00000012 (igual).pdf	1940638	d35f0ad86562b549bd0f7cfeb10e1eb8b79dbeb8	17	104838	01b4d14c0602ce18f790f65596d3b48daada92ff	1933	1933-08-26			1933-08-26	126	99527	1	0	0	superior:ordinaria:66:1933-08-22:2	
BEs 1933\AGOSTO\30\99528\00000013.pdf	2739561	ec004ff6bca70f1013758ad3ece75681f0ac0beb	24	145342	28f0ff62b5c73090a2414628d81b1c127da82440	1933	1933-08-30			1933-08-30	127	99528	5	0	0	superior:ordinaria::1933-09-01:2;superior:ordinaria:67:1933-08-25:2;superior:ordinaria::1933-08-25:2;superior:extraordinaria:19::21;superior:extraordinaria:::21	
BEs 1933\DEZEMBRO\02\99879\00000036.pdf	722088	e350bab6cb77e68bb6260c742e11949be4b84c12	9	35629	513f225d8130e617b63d88208b71e4815bd4d255	1933	1933-12-02			1933-12-02	155	99879	2	2	0	superior:ordinaria:93:1933-11-24:2;superior:ordinaria::1933-11-24:2;regional:::1933-07-04:8;regional:::1933-07-07:8	
BEs 1933\DEZEMBRO\06\99880\00000037.pdf	1770624	fa24979145db3a9d326a4c880dcba6e02f99348f	17	99970	209e85b1eab01e8da92f9c49f6a402beec52709f	1933	1933-12-06			1933-12-06	156	99880	2	2	0	superior:ordinaria::1933-12-08:2;superior:ordinaria:94:1933-11-28:2;regional:::1933-07-11:16;regional:::1933-07-14:17	
BEs 1933\DEZEMBRO\09\99881\00000038.pdf	1375351	c46c94e159fe3eab994357b8bdfaecce062a8551	15	73845	a4e4332139420f8b1c7b810777dc84e4d2562b31	1933	1933-12-09			1933-12-09	157	99881	3	8	0	superior:ordinaria::1933-12-12:2;superior:ordinaria:95::2;superior:ordinaria:::2;regional:::1933-07-17:10;regional:::1933-07-22:10;regional:::1933-07-26:10;regional:::1933-07-28:10;regional::120:1933-08-04:11;regional::121:1933-08-08:11;regional::122:1933-08-11:11;regional::123:1933-08-15:11	
BEs 1933\DEZEMBRO\13\99882\00000039.pdf	761854	a323b327345afce39b9496c79da1afccb1ad9648	9	36722	7ffad3c9bf1bb9fb035675a8c407fe01cf5ba3ce	1933	1933-12-13			1933-12-13	158	99882	2	0	0	superior:ordinaria::1933-12-05:2;superior:ordinaria::1933-12-08:3	
BEs 1933\DEZEMBRO\16\99883\00000040.pdf	707782	8ea8a65d2a26d1167bf7871f8c1b311a9b4bb35c	9	36116	31124b2a936e340a512c976b11b88724856b3df5	1933	1933-12-16			1933-12-16	159	99883	1	0	0	superior:ordinaria:98:1933-12-12:2	
BEs 1933\DEZEMBRO\20\99884\00000041.pdf	750367	c86eb30ffc200bb75585f3d11b75f19e9cf68d62	9	39857	499e0b956470f70c59f1eb184818909cd0a551f1	1933	1933-12-20			1933-12-20	160	99884	0	4	0	regional:::1933-08-18:6;regional:::1933-08-22:6;regional:::1933-08-26:7;regional::127:1933-08-29:7	
BEs 1933\DEZEMBRO\23\99885\00000042.pdf	770047	3fc70ce8c73bdfa617205ff074944d4d85b77fb7	9	40886	d738182829d12fcd5dd8e721bede0b6de9d3ee09	1933	1933-12-23			1933-12-23	161	99885	2	1	0	superior:ordinaria:99:1933-12-15:2;superior:ordinaria::1933-12-15:2;regional:::1933-09-01:7	
BEs 1933\DEZEMBRO\27\99886\00000043.pdf	578110	023cb854ba544ed998a353e89151bd40fb02e875	8	29495	84419d981314c44c283b6e196944a91ba88a0d19	1933	1933-12-27			1933-12-27	162	99886	2	2	0	superior:ordinaria:100:1933-12-19:2;superior:ordinaria::1933-12-19:2;regional:::1933-09-05:7;regional:::1933-09-08:7	
BEs 1933\DEZEMBRO\30\99887\00000044.pdf	791485	05e4349701857689a6934b4006bf7cd348a2a267	9	41941	9c3f123ddd20922ece1553864eba01a367ef3ed6	1933	1933-12-30			1933-12-30	163	99887	2	0	0	superior:ordinaria:101:1933-12-22:2;superior:ordinaria::1933-12-22:2	
BEs 1933\FEVEREIRO\01\99296\00000020.pdf	1514492	d1c8ec5d7b3a12bf4e2312dcc8ce5351ab461528	17	79892	68422fc974a9ce9ba6feef86b3824f23d0fe6d7a	1933	1933-02-01			1933-02-01	20	99296	0	0	0		
BEs 1933\FEVEREIRO\02\99297\00000021.pdf	675315	892e3a004879b40e7b72c700e5e5bf520634baf5	8	34411	36757603bb0eddcf906551203baf2ef7262c817c	1933	1933-02-02			1933-02-02	21	99297	0	0	0		
BEs 1933\FEVEREIRO\03\99298\00000022.pdf	366952	1dffbda8d793669a5b7acfbd8c1da6620df46013	5	16792	915f5b370db482cd14cbe8ca9791cc72f4acd8d3	1933	1933-02-03			1933-02-03	22	99298	0	0	0		
BEs 1933\FEVEREIRO\04\99299\00000023.pdf	696157	093457004bca448d2138f0c86d2ece74590dc494	9	35403	d1def7a815f15ea81e5eaabf55b00b9e4d2f4907	1933	1933-02-04			1933-02-04	23	99299	0	0	0		
BEs 1933\FEVEREIRO\06\99300\00000024.pdf	617915	f3cf4be3d9defbbbd9a9791e14cabc6c10eb298a	9	32015	f126988f42e573dfc28116280d1347bee3ab0832	1933	1933-02-06			1933-02-06	24	99300	0	0	0		
BEs 1933\FEVEREIRO\07\99301\00000025.pdf	687385	4edcb4f5fd43705a5a9f165be1e0c7ba632bb961	9	34578	b8ae35de5f41448b3ff7d09cd5f612fcbc65f166	1933	1933-02-07			1933-02-07	25	99301	1	0	0	superior:ordinaria:7::2	
