"Tipo","De","Para"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Agravo Interno - Lúcia Lorena Monteiro Gomes - TRF1 proc. 1030794-64.2024.4.01.3400.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Agravo Interno - Lúcia Lorena Monteiro Gomes - TRF1 proc. 1030794-64.2024.4.01.3400.pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Embargos de Declaração - DEFIN LOA 2025 novos cargos - proc 1048900-74.2024.4.01.3400.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Embargos de Declaração - DEFIN LOA 2025 novos cargos - proc 1048900-74.2024.4.01.3400.pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Exames para posse - PCMSO 2024 - Câmara dos Deputados.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Exames para posse - PCMSO 2024 - Câmara dos Deputados.pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Ficha de filiação Aslegis - definitiva - Maurício.docx","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Ficha de filiação Aslegis - definitiva - Maurício.docx"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Ficha de filiação Aslegis - Maurício - assinada.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Ficha de filiação Aslegis - Maurício - assinada.pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Ficha de filiação Aslegis - Maurício (definitiva).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Ficha de filiação Aslegis - Maurício (definitiva).pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Informações da impetrada - MS 1064028-37.2024.4.01.3400 - prova de títulos - Bruno Hochheim.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Informações da impetrada - MS 1064028-37.2024.4.01.3400 - prova de títulos - Bruno Hochheim.pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Intervenção de terceiro - Assistência - MS nº 1030794-64.2024.4.01.3400 - TRF1.docx","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Intervenção de terceiro - Assistência - MS nº 1030794-64.2024.4.01.3400 - TRF1.docx"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Jurisprudência STF - nomeação em concurso e progressão funcional.txt","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Jurisprudência STF - nomeação em concurso e progressão funcional.txt"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Jurisprudência TRF1 apelação Maurício Chiaramonte.docx","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Jurisprudência TRF1 apelação Maurício Chiaramonte.docx"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Mandado de segurança Ana Luísa Tarter - 1053818-24.2024.4.01.3400 - prova de títulos (JF 1ª Região).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Mandado de segurança Ana Luísa Tarter - 1053818-24.2024.4.01.3400 - prova de títulos (JF 1ª Região).pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Mandado de Segurança PJe 1053818-24.2024 TRF1 - Ana Luísa Tarter x União (prova de títulos).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Mandado de Segurança PJe 1053818-24.2024 TRF1 - Ana Luísa Tarter x União (prova de títulos).pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Memoriais - Apelação em MS 1051350-87.2024.4.01.3400 - Maurício (títulos FGV).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Memoriais - Apelação em MS 1051350-87.2024.4.01.3400 - Maurício (títulos FGV).pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Modelo de petição intercorrente - juntada de substabelecimento - proc. 1051350-87.2024.4.01.3400 - TRF1.docx","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Modelo de petição intercorrente - juntada de substabelecimento - proc. 1051350-87.2024.4.01.3400 - TRF1.docx"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Pauta de Julgamento TRF1 - 11ª Turma - 2025-10-13 (FGV e outros).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Pauta de Julgamento TRF1 - 11ª Turma - 2025-10-13 (FGV e outros).pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Retirada de pauta TRF1 - Apelação Cível 1051350-87.2024.4.01.3400 - cadastro reserva.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Retirada de pauta TRF1 - Apelação Cível 1051350-87.2024.4.01.3400 - cadastro reserva.pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Sentença - Lúcia Lorena Monteiro Gomes - MS proc. 1030794-64.2024.4.01.3400.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Sentença - Lúcia Lorena Monteiro Gomes - MS proc. 1030794-64.2024.4.01.3400.pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Sentença ED - Lúcia Lorena Monteiro Gomes - proc. 1030794-64.2024.4.01.3400.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Sentença ED - Lúcia Lorena Monteiro Gomes - proc. 1030794-64.2024.4.01.3400.pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Sessão de julgamento - AC nº 1051350-87.2024.4.01.3400 - Títulos Consultor Legislativo CD.docx","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Sessão de julgamento - AC nº 1051350-87.2024.4.01.3400 - Títulos Consultor Legislativo CD.docx"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Substabelecimento assinado - Tarcísio Vieira de Carvalho Neto e outros (CD).pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Substabelecimento assinado - Tarcísio Vieira de Carvalho Neto e outros (CD).pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Sustentação Oral - Apelação 1049203-88.2024.4.01.3400 TRF1.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Sustentação Oral - Apelação 1049203-88.2024.4.01.3400 TRF1.pdf"
"File","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Sustentação Oral - Apelação Cível TRF1 nº 1049203-88.2024.4.01.3400.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Câmara dos Deputados - posse e processos (concurso CD)\Sustentação Oral - Apelação Cível TRF1 nº 1049203-88.2024.4.01.3400.pdf"
