origem_atual,destino_novo,album_origem,fonte
D:\MÍDIA\2007\2007-00\2007 [7a2186de].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [7a2186de].jpg,Fotos Celular K1,catalogo
D:\MÍDIA\2007\2007-00\2007 [832bc510].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\Fotos do Orkut\2007 [832bc510].jpg,Fotos do Orkut,catalogo
D:\MÍDIA\2007\2007-00\2007 [9110a6b3].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [9110a6b3].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2007\2007-00\2007 [999424ed].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [999424ed].jpg,Fotos minhas,catalogo
D:\MÍDIA\2007\2007-00\2007 [a13bc70d].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [a13bc70d].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2007\2007-00\2007 [a4e03613].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [a4e03613].jpg,Fotos minhas,catalogo
D:\MÍDIA\2007\2007-00\2007 [acc04f49].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [acc04f49].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2007\2007-00\2007 [ad246534].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [ad246534].jpg,Fotos Extras,catalogo
D:\MÍDIA\2007\2007-00\2007 [bf0f7544].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\Celular Mário\2007 [bf0f7544].jpg,Celular Mário,catalogo
D:\MÍDIA\2007\2007-00\2007 [c52d7540].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\Fotos do Orkut\2007 [c52d7540].jpg,Fotos do Orkut,catalogo
D:\MÍDIA\2007\2007-00\2007 [d0c9fad7].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [d0c9fad7].jpg,Diversas,catalogo
D:\MÍDIA\2007\2007-00\2007 [d10c175c].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [d10c175c].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2007\2007-00\2007 [e44031fd].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2007\2007 [e44031fd].jpg,Diversas,catalogo
D:\MÍDIA\2007\2007-00\2007 [eef4f5ae].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\Fotos do Orkut\2007 [eef4f5ae].jpg,Fotos do Orkut,catalogo
D:\MÍDIA\2008\2008-00\2008 [02407b66].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [02407b66].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [045c5a9e].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [045c5a9e].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [0b4928b3].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [0b4928b3].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [12bb956d].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [12bb956d].jpg,Fotos Celular K1,catalogo
D:\MÍDIA\2008\2008-00\2008 [1340135f].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [1340135f].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [153147de].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [153147de].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [15fb364d].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2008 [15fb364d].jpg,A galera,catalogo
D:\MÍDIA\2008\2008-00\2008 [18467adf].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [18467adf].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [1ba43d28].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [1ba43d28].jpg,Fotos Celular K1,catalogo
D:\MÍDIA\2008\2008-00\2008 [25323085].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [25323085].jpg,Eu +,catalogo
D:\MÍDIA\2008\2008-00\2008 [29425aff].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [29425aff].jpg,Eu +,catalogo
D:\MÍDIA\2008\2008-00\2008 [30fe2b7a].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [30fe2b7a].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [38643a44].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2008 [38643a44].jpg,A galera,catalogo
D:\MÍDIA\2008\2008-00\2008 [38793a9d].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [38793a9d].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [3b3a0737].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [3b3a0737].jpg,Diversas,catalogo
D:\MÍDIA\2008\2008-00\2008 [3f0cc73b].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [3f0cc73b].jpg,Eu +,catalogo
D:\MÍDIA\2008\2008-00\2008 [4059bb58].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [4059bb58].jpg,Diversas,catalogo
D:\MÍDIA\2008\2008-00\2008 [47a03219].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2008 [47a03219].jpg,A galera,catalogo
D:\MÍDIA\2008\2008-00\2008 [496231c8].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [496231c8].jpg,Fotos Celular K1,catalogo
D:\MÍDIA\2008\2008-00\2008 [49973265].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [49973265].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [4c35594a].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [4c35594a].jpg,Diversas,catalogo
D:\MÍDIA\2008\2008-00\2008 [4c99510c].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [4c99510c].jpg,Diversas,catalogo
D:\MÍDIA\2008\2008-00\2008 [4ee71d22].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [4ee71d22].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [4ffaed8c].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [4ffaed8c].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [52c2744d].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [52c2744d].jpg,Diversas,catalogo
D:\MÍDIA\2008\2008-00\2008 [5f016fb5].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2008 [5f016fb5].jpg,A galera,catalogo
D:\MÍDIA\2008\2008-00\2008 [5f0ed070].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\Celular Mário\2008 [5f0ed070].jpg,Celular Mário,catalogo
D:\MÍDIA\2008\2008-00\2008 [60b9685c].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2008 [60b9685c].jpg,A galera,catalogo
D:\MÍDIA\2008\2008-00\2008 [71040543].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [71040543].jpg,Diversas,catalogo
D:\MÍDIA\2008\2008-00\2008 [7889b0b2].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [7889b0b2].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [7896efc7].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [7896efc7].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [79f9bc94].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2008 [79f9bc94].jpg,A galera,catalogo
D:\MÍDIA\2008\2008-00\2008 [7bc238fa].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [7bc238fa].jpg,Diversas,catalogo
D:\MÍDIA\2008\2008-00\2008 [7c437217].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2008 [7c437217].jpg,A galera,catalogo
D:\MÍDIA\2008\2008-00\2008 [7cbb22fc].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\Fotos do Orkut\2008 [7cbb22fc].jpg,Fotos do Orkut,catalogo
D:\MÍDIA\2008\2008-00\2008 [7ec47aa0].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [7ec47aa0].jpg,Fotos Celular K1,catalogo
D:\MÍDIA\2008\2008-00\2008 [80144793].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [80144793].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [856d8ed9].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [856d8ed9].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [89299f2b].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [89299f2b].jpg,Diversas,catalogo
D:\MÍDIA\2008\2008-00\2008 [8e77207e].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [8e77207e].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [91dc0233].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [91dc0233].jpg,Photos from 2008,catalogo
D:\MÍDIA\2008\2008-00\2008 [94e42e34].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [94e42e34].jpg,Fotos Celular K1,catalogo
D:\MÍDIA\2008\2008-00\2008 [9e0205a7].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [9e0205a7].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [9e7c11fa].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [9e7c11fa].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [a16d1807].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2008 [a16d1807].jpg,A galera,catalogo
D:\MÍDIA\2008\2008-00\2008 [a5cf5403].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [a5cf5403].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [a6e4391a].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [a6e4391a].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [aab85a1b].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [aab85a1b].jpg,Fotos Celular K1,catalogo
D:\MÍDIA\2008\2008-00\2008 [ab1a0b73].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2008 [ab1a0b73].jpg,A galera,catalogo
D:\MÍDIA\2008\2008-00\2008 [ad3ede15].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [ad3ede15].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [b540fa2b].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [b540fa2b].jpg,Fotos Celular K1,catalogo
D:\MÍDIA\2008\2008-00\2008 [baedd33d].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [baedd33d].jpg,Fotos Celular K1,catalogo
D:\MÍDIA\2008\2008-00\2008 [bbac1c66].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [bbac1c66].jpg,Fotos_Mário,catalogo
D:\MÍDIA\2008\2008-00\2008 [c001b5bc].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [c001b5bc].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [c19511f3].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [c19511f3].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [c9dbd011].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [c9dbd011].jpg,Eu +,catalogo
D:\MÍDIA\2008\2008-00\2008 [cb038dc8].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [cb038dc8].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [cc102460].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [cc102460].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [cc4d0ded].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [cc4d0ded].jpg,Fotos_Mário,catalogo
D:\MÍDIA\2008\2008-00\2008 [cf17149d].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [cf17149d].jpg,Fotos_Mário,catalogo
D:\MÍDIA\2008\2008-00\2008 [cf646767].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [cf646767].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [d815bfa3].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [d815bfa3].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [dce1ed8a].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [dce1ed8a].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [e87dbbb5].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2008 [e87dbbb5].jpg,A galera,catalogo
D:\MÍDIA\2008\2008-00\2008 [ea1d08a1].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2008 [ea1d08a1].jpg,A galera,catalogo
D:\MÍDIA\2008\2008-00\2008 [ed53d63f].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [ed53d63f].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [ee42a2da].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [ee42a2da].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [f059cb2d].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [f059cb2d].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2008\2008-00\2008 [f69df4d6].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2008 [f69df4d6].jpg,A galera,catalogo
D:\MÍDIA\2008\2008-00\2008 [fcccd1ea].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2008\2008 [fcccd1ea].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [14719daa].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Festa Junina\2009 [14719daa].jpg,Festa Junina,catalogo
D:\MÍDIA\2009\2009-00\2009 [19cad7cd].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2009 [19cad7cd].jpg,A galera,catalogo
D:\MÍDIA\2009\2009-00\2009 [1aa6cc3f].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [1aa6cc3f].jpg,Aula de química,catalogo
D:\MÍDIA\2009\2009-00\2009 [2077b085].mpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [2077b085].mpg,Aniversário da Eloá 2009_15 anos,catalogo
D:\MÍDIA\2009\2009-00\2009 [34844821].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [34844821].jpg,Diversas,catalogo
D:\MÍDIA\2009\2009-00\2009 [43d5eb54].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [43d5eb54].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [45b97843].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [45b97843].jpg,Dança,catalogo
D:\MÍDIA\2009\2009-00\2009 [491f7d35].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [491f7d35].jpg,Diversas,catalogo
D:\MÍDIA\2009\2009-00\2009 [4fadf946].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2009 [4fadf946].jpg,A galera,catalogo
D:\MÍDIA\2009\2009-00\2009 [541dc60e].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [541dc60e].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [5ec5b159].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [5ec5b159].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [60d35751].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2009 [60d35751].jpg,A galera,catalogo
D:\MÍDIA\2009\2009-00\2009 [621f84d9].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2009 [621f84d9].jpg,A galera,catalogo
D:\MÍDIA\2009\2009-00\2009 [671d6d3a].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\Celular Mário\2009 [671d6d3a].jpg,Celular Mário,catalogo
D:\MÍDIA\2009\2009-00\2009 [69cdeeb9].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [69cdeeb9].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [6c3e337d].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [6c3e337d].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [6d2a428d].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [6d2a428d].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [7246e99f].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [7246e99f].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [7483f213].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [7483f213].jpg,digitalizadas,catalogo
D:\MÍDIA\2009\2009-00\2009 [7d32674a].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [7d32674a].jpg,Diversas,catalogo
D:\MÍDIA\2009\2009-00\2009 [7fdb9c56].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [7fdb9c56].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [84546847].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [84546847].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [8f427f99].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Festa Junina\2009 [8f427f99].jpg,Festa Junina,catalogo
D:\MÍDIA\2009\2009-00\2009 [9490db9b].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [9490db9b].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [a79a300f].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [a79a300f].jpg,EsPCEx - Matheus,catalogo
D:\MÍDIA\2009\2009-00\2009 [a91eadf5].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Festa Junina\2009 [a91eadf5].jpg,Festa Junina,catalogo
D:\MÍDIA\2009\2009-00\2009 [acb12cd5].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [acb12cd5].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [b79c2688].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [b79c2688].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [b7e61b54].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [b7e61b54].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [b98e999f].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [b98e999f].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [bccbb75b].jpg,D:\MÍDIA\0000 SEM DATA\PESSOAS E ALBUNS\A galera\2009 [bccbb75b].jpg,A galera,catalogo
D:\MÍDIA\2009\2009-00\2009 [bd280695].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [bd280695].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [c1fa4caa].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [c1fa4caa].jpg,Diversas,catalogo
D:\MÍDIA\2009\2009-00\2009 [cd676123].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [cd676123].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [d392893b].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [d392893b].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [db173f86].jpg,D:\MÍDIA\0000 SEM DATA\EVENTOS\Festa Junina\2009 [db173f86].jpg,Festa Junina,catalogo
D:\MÍDIA\2009\2009-00\2009 [ddeafb80].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [ddeafb80].jpg,Onedrive_sem_data,catalogo
D:\MÍDIA\2009\2009-00\2009 [ded12a3c].jpg,D:\MÍDIA\0000 SEM DATA\FOTOS AVULSAS\2009\2009 [ded12a3c].jpg,Onedrive_sem_data,catalogo
