partido,categoria,pagina,arquivo_pdf,fonte_texto_usada,trecho
PDT,reserva_cota_mulheres_direcao,3,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"PARTIDO DEMOCRÁTICO TRABALHISTA - PDT EXECUTIVA NACIONAL Página 2 | 24 SAFS - Qd. 02 - Lt. 03 - Plano Piloto - Brasília - DF - Cep. 70.042-900 (61) 3224.0791 - página www.pdt.org.br - e-mail secretarianacional@pdt.org.br uma república federativa orientada pela busca da igualdade entre todas as regiões e cidadãos. VI – reorganização da produção agrícola do país, com estímulos e incentivos a pequenos e médios produtores, preconizando uma reforma agrária que suprima a concentração da propriedade rural em grandes latifúndios, com prioridade à distribuição dos produtos de forma a garantir o abastecimento do mercado interno de consumo"
PDT,reserva_cota_mulheres_direcao,6,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"PARTIDO DEMOCRÁTICO TRABALHISTA - PDT EXECUTIVA NACIONAL Página 5 | 24 SAFS - Qd. 02 - Lt. 03 - Plano Piloto - Brasília - DF - Cep. 70.042-900 (61) 3224.0791 - página www.pdt.org.br - e-mail secretarianacional@pdt.org.br devendo ao partido lealdade, fidelidade e disciplina, sendo que, em caso de de desfiliação – voluntária ou não – sem prejuízo de eventual ressarcimento ou indenização que tiver dado causa, perderá respectivo mandato, cujo preenchimento se dará, para preservação do princípio da representatividade e proporcionalidade, pelo suplente imediato pertencente aos quadros do PDT. Parágrafo único. Os candidatos filiados de"
PDT,orgao_movimento_mulheres_ou_violencia_politica,3,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"iões e cidadãos. VI – reorganização da produção agrícola do país, com estímulos e incentivos a pequenos e médios produtores, preconizando uma reforma agrária que suprima a concentração da propriedade rural em grandes latifúndios, com prioridade à distribuição dos produtos de forma a garantir o abastecimento do mercado interno de consumo, evitando a falta de alimentos ao povo brasileiro; VII – defesa da causa da criança, do jovem, do idoso, da mulher, do negro, do índio, da diversidade, sem qualquer forma de discriminação; VIII – reformulação do sistema financeiro para torná-lo instrumento de desenvolvimento nacional; IX – defesa da dignidade da função pública, sob a inspiração da moral e da ética, com o objetivo de servir ao cidadão e prestigiar o servidor; X – defesa da natureza brasileira para o estabelecimento de um meio ambiente sadio"
PDT,orgao_movimento_mulheres_ou_violencia_politica,6,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"er criados na forma deste Estatuto. § 1º Por regra geral, os órgãos terão mandatos coincidentes com o órgão que os elegeu pelo período de 4 anos, permitida a reeleição de seus membros; § 2º As bancadas de senadores, de deputados federais, de deputados estaduais/distrital e de vereadores, como órgãos de ação parlamentar, submetem-se e vinculam-se, para todos os fins do presente estatuto, aos respectivos diretórios (nacional, regionais e locais). § 3º Os movimentos partidários (Sindical, de Mulheres, do Negro, da Juventude, o Ecológico, Comunitários, de Educação, de Aposentados, do Índio, da Diversidade, da Cultura, etc), deverão ser organizados nos planos nacional, regional e local, podendo o partido criar outros movimentos para propiciar ações políticas de grupos sociais ou categorias profissionais, 1º Oficio de Registro Civil, Titulos e"
PDT,orgao_movimento_mulheres_ou_violencia_politica,7,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"stas, profissionais, pequenos empresários, aposentados, jovens, negros, mulheres e de pertencentes à diversidade, devendo, na composição de tais órgãos e nominatas, atingir-se um mínimo de 30% (trinta por cento) de mulheres, objetivando atingir meta igualitária de gênero de 50% (cinquenta por cento) para cada um. § 1º - Nos preenchimentos dos 30% (trinta por cento) de vagas de mulheres nos órgãos de direção, sempre serão ouvidas as Executivas da Ação da Mulher Trabalhista (AMT), devidamente organizada em sua esfera de atuação. § 2º - O mesmo critério será observado no preenchimento de cargos de livre nomeação nos gabinetes parlamentares e nas administrações de responsabilidade do PDT. Art. 13. Inexistindo solidariedade entre os órgãos das diversas esferas federativas dos partidos políticos (art. 15-A da Lei nº 9.096/95 – Lei dos Partidos"
PDT,orgao_movimento_mulheres_ou_violencia_politica,20,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"PARTIDO DEMOCRÁTICO TRABALHISTA - PDT EXECUTIVA NACIONAL Página 19 | 24 SAFS - Qd. 02 - Lt. 03 - Plano Piloto - Brasília - DF - Cep. 70.042-900 (61) 3224.0791 - página www.pdt.org.br - e-mail secretarianacional@pdt.org.br 9.096/95). § 1º Respeitando a premissa de que um partido popular não pode restringir a participação do seu filiado em razão de seu poder econômico, e em apreço à obtenção de recursos de forma ética, os filiados que estiverem em situação de desemprego, penúria financeira, apresentando tal condição às esferas pertinentes, a juízo destas, ficam isentos da contribuição enquanto perdurar essa situação. § 2º Os mem"
PDT,fundo_partidario_programas_mulheres_5pct,7,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"às instâncias partidárias com comprovado nexo de pertinência não cabendo transferência a outras instâncias. Parágrafo único. Os contratos e demais obrigações assumidas pelo partido somente poderão ser firmadas em conjunto pelo presidente e outro membro da Executiva respectiva, podendo o presidente ser substituído, nestes atos, por delegação deste outorgada em ata de reunião da Executiva. Art. 14. As rendas do partido e as receitas provenientes do Fundo Partidário, bem como os imóveis pertencentes ao Partido e os móveis e utensílios que os guarnecem, concernentes ao desempenho das atividades partidárias, são insuscetíveis de penhora, arresto, sequestro ou garantias reais. 3. DAS REGRAS GERAIS DE FUNCIONAMENTO DOS ÓRGÃOS PARTIDÁRIOS Art. 15. O PDT orienta-se pelo princípio da unidade da ação partidária, valorizando o 1º Oficio de Registro C"
PDT,fundo_partidario_programas_mulheres_5pct,20,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"tivos no Executivo a favor das respectivas instâncias regionais ou locais, conforme o caso. § 4º Os parlamentares são solidariamente responsáveis pelo cumprimento das contribuições de integrantes nomeados em seus gabinetes. § 5º O não pagamento da contribuição, além dos efeitos proclamados estatutariamente, como o de inviabilizar votação (parágrafo único do art. 8º), deverá ser considerado como critério para distribuição de verbas, notadamente do Fundo Partidário ou do Fundo de Financiamento de Campanhas Políticas, tanto em favor do órgão respectivo quanto ao próprio filiado em caso de sua candidatura. 3. DO CRITÉRIO DE DISTRIBUIÇÃO DE FUNDOS Art. 55. Os recursos destinados a mulheres devem ser aplicados preferencialmente em cursos de formação, aí considerados dispêndios com remuneração de palestrantes, estrutura organizacional, professor"
PDT,conta_bancaria_especifica_mencionada,7,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"PARTIDO DEMOCRÁTICO TRABALHISTA - PDT EXECUTIVA NACIONAL Página 6 | 24 SAFS - Qd. 02 - Lt. 03 - Plano Piloto - Brasília - DF - Cep. 70.042-900 (61) 3224.0791 - página www.pdt.org.br - e-mail secretarianacional@pdt.org.br condicionada a participação em convenções à sua aprovação e registro junto à direção nacional, na forma regulamentar. § 4º Todos os órgãos partidários ficam investidos com poder de elaborar e aprovar seus regimentos internos, que deverão guardar conformidade com os presentes estatutos, com as instruções emanadas dos órgãos superiores, e de acordo com a legislação aplicável. § 5º Os órgãos partidários deverão pr"
PDT,conta_bancaria_especifica_mencionada,20,Estatutos/02_PDT/001_Estatuto_do_Partido_de_21_1_2022_PDF.pdf,Estatutos/_analise_notion/PDT_estatuto_atual.txt,"PARTIDO DEMOCRÁTICO TRABALHISTA - PDT EXECUTIVA NACIONAL Página 19 | 24 SAFS - Qd. 02 - Lt. 03 - Plano Piloto - Brasília - DF - Cep. 70.042-900 (61) 3224.0791 - página www.pdt.org.br - e-mail secretarianacional@pdt.org.br 9.096/95). § 1º Respeitando a premissa de que um partido popular não pode restringir a participação do seu filiado em razão de seu poder econômico, e em apreço à obtenção de recursos de forma ética, os filiados que estiverem em situação de desemprego, penúria financeira, apresentando tal condição às esferas pertinentes, a juízo destas, ficam isentos da contribuição enquanto perdurar essa situação. § 2º Os mem"
PT,reserva_cota_mulheres_direcao,1,Estatutos/03_PT/001_Estatuto_do_Partido_de_20_7_2022_PDF.pdf,Estatutos/_analise_notion/PT_estatuto_atual_ocr.txt,"REGISTRO DE PARTIDO POLÍTICO Nº 0000003-16.1981.6.00.0000 – BRASÍLIA – DISTRITO FEDERAL RELATOR: MINISTRO BENEDITO GONÇALVES REQUERENTE: PARTIDO DOS TRABALHADORES (PT) – NACIONAL ADVOGADOS: EUGÊNIO JOSÉ GUILHERME DE ARAGÃO – OAB: 4935/DF E OUTROS Na sessão de 1º de junho de 2023, o Tribunal Superior Eleitoral deferiu o pedido de anotação das alterações estatutárias do PARTIDO DOS TRABALHADORES (PT), nos termos do voto do relator, conforme a ementa a seguir transcrita: REQUERIMENTO. PARTIDO POLÍTICO. ÓRGÃO DE DIREÇÃO NACIONAL. PARTIDO DOS TRABALHADORES (PT). REGISTRO DE ALTERAÇÃO ESTATUTÁRIA. AUSÊNCIA. IMPUGNAÇÕES. PARECER. MINISTÉRIO PÚBLICO"
PT,reserva_cota_mulheres_direcao,2,Estatutos/03_PT/001_Estatuto_do_Partido_de_20_7_2022_PDF.pdf,Estatutos/_analise_notion/PT_estatuto_atual_ocr.txt,"Alterações ao Estatuto do PT aprovadas de acordo com as normas estatutárias e legais, registradas na Ata de reunião do XV Encontro Nacional do PT de 20 de julho de 2022. TÍTULO 1 000 13: DO PARTIDO, SEDE, OBJETIVO E FILIAÇÃO WA64 0 CAPITULO | DA DURAÇÃO, SEDE E FORO Art. 1º, O Partido dos Trabalhadores (PT) eé uma associação voluntária de cidadãos e cidadãs que se propõem a lutar por democracia, pluralidade, solidariedade, transformações políticas, sociais, institucionais, econômicas, jurídicas e culturais, destinadas a eliminar a exploração, a dominação, a opressão, a desigualdade, a injustiça ¢ a miséria, com o objetivo de construir o socia"
PT,reserva_cota_mulheres_direcao,5,Estatutos/03_PT/001_Estatuto_do_Partido_de_20_7_2022_PDF.pdf,Estatutos/_analise_notion/PT_estatuto_atual_ocr.txt,"000 am 4g CAPITULO IV DOS DIREITOS E DEVERES DOS FILIADOS E DAS FILIADAS Art, 12, A todos os filiados e filiadas ao Partido ficam assegurados idênticos direitos e deveres partidários, estando sujeitos à disciplina partidária, devendo orientar suas atividades de acordo com as normas estatutárias, com os princípios éticos, programáticos e diretrizes fixados pelas instâncias de deliberação do Partido, Parágrafo único: Os direitos e deveres previstos neste Capítulo não excluem outros decorrentes dos demais documentos partidários aprovados pelas instâncias superiores. Art. 13. 5ão direitos do filiado e da filiada: | — participar da elaboração e da"
PT,reserva_cota_mulheres_direcao,6,Estatutos/03_PT/001_Estatuto_do_Partido_de_20_7_2022_PDF.pdf,Estatutos/_analise_notion/PT_estatuto_atual_ocr.txt,"000 127649 Hi= manter conduta compativel com os princípios éticos do Partido; IV — acatar e cumprir as decisões partidárias; V — contribuir financeiramente nos termos deste Estatuto e participar das campanhas de arrecadação de fundos do Partido; VI = votar nos candidatos e nas candidatas indicados e participar das campanhas aprovadas nas instâncias partidárias; VIl- comparecer, quando convocado, para elucidar fatos em procedimentos disciplinares; VII = emitir voto sobre questões submetidas à consulta partidária pelas instâncias de direção; IX — renunciar ao mandato eletivo no caso de desligamento do Partido. X — prevenir, reprimir e combater"
PT,orgao_movimento_mulheres_ou_violencia_politica,8,Estatutos/03_PT/001_Estatuto_do_Partido_de_20_7_2022_PDF.pdf,Estatutos/_analise_notion/PT_estatuto_atual_ocr.txt,"rvado na composição final de delegações, instâncias e organismos, em todas as eleições em que houver disputa de chapas, garantindo-se, à chapa que obtiver maioria absoluta dos votos válidos, o preenchimento da maioria absoluta das vagas; Ill — a eleição do presidente ou da presidenta das instâncias zonais, municipais, estaduais e nacional será realizada em votação separada; IV — as direções partidárias, delegações e cargos com função especifica de secretarias deverão ter paridade de gênero (50% de mulheres e 50% de homens). W = na composição final das instâncias de direção, 20% [vinte por cento) de seus membros deverão ter menos de 30 (trinta) anos de idade, e deverá, ainda, ser cumprido critério étnico racial a ser definido pelo Diretório Nacional, observada a composição populacional de filiados e filiadas ao Partido e tomando como refer"
PT,orgao_movimento_mulheres_ou_violencia_politica,30,Estatutos/03_PT/001_Estatuto_do_Partido_de_20_7_2022_PDF.pdf,Estatutos/_analise_notion/PT_estatuto_atual_ocr.txt,"000 121640 Seção VI - Dos Setoriais, Secretarias Setoriais e Grupos de Trabalho Art. 128. Os Setoriais são instâncias partidárias que organizam os filiados e as filiadas junto aos diferentes movimentos sociais, com três finalidades básicas: al motivar a organização partidária de filiados e de filiadas petistas conforme os movimentos sociais dos quais participam, bj participar, obrigatoriamente, da elaboração de políticas públicas no âmbito partidário como forma de subsidiar programaticamente a ação institucional do Partido; c) em cada setor, subsidiar a representação institucional do PT nas suas relações com os movimentos sociais, com as bancadas parlamentares e com os governos"
PT,orgao_movimento_mulheres_ou_violencia_politica,31,Estatutos/03_PT/001_Estatuto_do_Partido_de_20_7_2022_PDF.pdf,Estatutos/_analise_notion/PT_estatuto_atual_ocr.txt,"000 1296%0 Parágrafo único: Às Secretarias Setoriais constituídas pelo Diretório Nacional não se aplica o disposto no artigo 130. Art. 133. Será assegurado o direito à voz: a) às Coordenações Setoriais, nas reuniões do Diretório de nivel correspondente; bj às Secretarias Setoriais, nas reuniões da Comissão Executiva do nivel correspondente; cj à Coordenação Setorial, sempre que for pautado assunto relativo a um Setorial em reunião da Comissão Executiva do nivel correspondente, Seção VII = Dos Encontros Setoriais Art. 134. Os Encontros Setoriais são abertos à participação de todos os filiados e filiadas que atuam Junto ao respectivo setor de militância social, observados os"
PT,orgao_movimento_mulheres_ou_violencia_politica,45,Estatutos/03_PT/001_Estatuto_do_Partido_de_20_7_2022_PDF.pdf,Estatutos/_analise_notion/PT_estatuto_atual_ocr.txt,"00012640 Art. 199, Os procedimentos referentes aos repasses dos recursos entre instâncias partidárias, previstos neste Estatuto, não poderão ser alterados no decorrer do prazo de um ano de sua aprovação. CAPÍTULO IV DA DISTRIBUIÇÃO DO FUNDO PARTIDÁRIO Art. 200. Os recursos oriundos do Fundo Partidário [Fundo Especial de Assistência Financeira aos Partidos Políticos) previsto na Lei nº 9.096/95 (Lei dos Partidos Políticos) e nas Resoluções do Tribunal Superior Eleitoral, serão aplicados nas seguintes atividades: a) manutenção das sedes e serviços do Partido, permitido o pagamento de pessoal, a qualquer título, este último até o limite máximo d"
PT,fundo_partidario_programas_mulheres_5pct,31,Estatutos/03_PT/001_Estatuto_do_Partido_de_20_7_2022_PDF.pdf,Estatutos/_analise_notion/PT_estatuto_atual_ocr.txt,"cia, nesse caso apenas com direito a voz; $32; Para efeito do disposto neste artigo, o Diretório Nacional deverá regulamentar a adesão setorial, inclusive através de meto eletrônico, definindo formulário nacional próprio que deverá ser preenchido pelo interessado e registrado junto ao Diretório Estadual correspondente. §4% As listagens das adesões setoriais ocorridas no pais deverão ser, a cada ano, atualizadas pela instância de direção nacional; 65%: As direções e delegações setoriais, em todos os níveis, serão eleitas em Encontros a cada quatro anos, de forma intercalada à realização do PED, conforme calendário e Regulamento a ser definido pelo Diretório Nacional. Art. 135. As mulheres filiadas ao PT poderão atuar no Setorial de Mulheres com direito a voz e voto e poderão, ainda, optar pela participação em outro setorial, igualmente com"
PT,fundo_partidario_programas_mulheres_5pct,45,Estatutos/03_PT/001_Estatuto_do_Partido_de_20_7_2022_PDF.pdf,Estatutos/_analise_notion/PT_estatuto_atual_ocr.txt,"00012640 Art. 199, Os procedimentos referentes aos repasses dos recursos entre instâncias partidárias, previstos neste Estatuto, não poderão ser alterados no decorrer do prazo de um ano de sua aprovação. CAPÍTULO IV DA DISTRIBUIÇÃO DO FUNDO PARTIDÁRIO Art. 200. Os recursos oriundos do Fundo Partidário [Fundo Especial de Assistência Financeira aos Partidos Políticos) previsto na Lei nº 9.096/95 (Lei dos Partidos Políticos) e nas Resoluções do Tribunal Superior Eleitoral, serão aplicados nas seguintes atividades: a) manutenção das sedes e serviços do Partido, permitido o pagamento de pessoal, a qualquer título, este último até o limite máximo de 20% [vinte por cento) do total recebido: b) propaganda doutrinária e política; c) filiação e campanhas eleitorais: dj criação e manutenção de Fundação ou Instituto de Pesquisa e de doutrinação polít"
PT,fundo_partidario_programas_mulheres_5pct,50,Estatutos/03_PT/001_Estatuto_do_Partido_de_20_7_2022_PDF.pdf,Estatutos/_analise_notion/PT_estatuto_atual_ocr.txt,"ia absoluta dos membros do órgão competente. 52%: Aplicam-se as penas dos incisos le Il, segundo a gravidade da falta, aos infratores primários, por infrações à ética, à disciplina, à fidelidade é aos deveres partidários. §3%: As penas dos incisos | a IV poderão ser aplicadas cumulativamente, conforme a tipicidade das infrações e sua gravidade. §4%: As penas de suspensão inditarão os direitos e funções partidárias cujo exercício será por elas atingido. 45%: Aplica-se a pena de suspensão ao infrator ou infratora dos deveres partidários, bem como ao que praticar qualquer das Infrações definidas no artigo 227. 562: Aplica-se a pena de destituição de cargo ou função em órgão partidário ao dirigente que praticar qualquer das infrações definidas no artigo 227; 572: A pena de negativa de legenda para a disputa de Cargo eletivo será aplicada ao f"
PT,conta_bancaria_especifica_mencionada,29,Estatutos/03_PT/001_Estatuto_do_Partido_de_20_7_2022_PDF.pdf,Estatutos/_analise_notion/PT_estatuto_atual_ocr.txt,"0001264 0 83º: O Conselho Curador da Fundação poderá apresentar proposta de alteração de seu respectivo Estatuto, a ser submetida à aprovação do Diretório Nacional do Partido, nos termos do disposto no parágrafo anterior. Art. 122. São órgãos da Fundação: [-=o Conselho Curador; H=a Diretoria Executiva; 619; O Estatuto da Fundação Perseu Abramo disporá sobre a composição destes órgãos bem como sobre a competência de cada um de seus membros e sobre a duração dos seus mandatos. 42º: 0 Conselho Curador e a Diretoria Executiva serão designados pelo Diretório Nacional do Partido por maioria de votos de seus membros. §3%: Em caso de falta grave, qua"
