partido,estatuto_atual_pdf,fonte_texto_usada,reserva_ou_paridade_genero_direcao,evidencia_reserva_ou_paridade,orgao_movimento_mulheres_ou_violencia_politica,evidencia_orgao_movimento,fundo_partidario_programas_mulheres_5pct,evidencia_fundo_mulheres_5pct,conta_bancaria_especifica_fundo_partidario,evidencia_conta_fundo
AVANTE,Estatutos/11_AVANTE/001_Estatuto_do_Partido_de_23_7_2022_PDF.pdf,Estatutos/_analise_notion/AVANTE_estatuto_atual.txt,Nao localizado,,Sim,"p. 4: TE é simbolizado pelo próprio nome, transformado em logomarca que convida à ação, desarma a inércia e destaca o aspecto coletivo como força social imprescindível para a realização das mudanças necessárias ao Pais, tendo como cores da marca o laranja e o azul ciano, composto por uma seta como ícone que evoca o movimento de subida em substituição a letra A no nome, acrescido do número 70 (setenta). CAPÍTULO Ill Prevenção e Combate a Violência Política de Gênero Art. 52 - 0 AVANTE garante os direitos de participação política da mulher, sendo vedadas a discriminação e a desigualdade de tratamento em virtude de gênero ou de raça no acesso as instâncias de representação política e no exercício de funções, tanto no ambiente interno da agremiação quanto externo. Art. 62 - É assegurado aos filiados o direito à apuração perante os órgão internos competentes, resguardando o sigilo das declarações prestadas. §12 Considera-se violência política contra a mulher toda ação, conduta ou omissão com a finalidade de impedir, obstaculizar ou restringir os direitos politicos da mulher. §29 Constituem igualmente atos de violência política contra a mulher qualquer distinção, exclusão ou restrição no reconhecimento, gozo ou exer",Nao localizado,,Sim,"p. 39: ursocl 'I 10100 o um - iii 1' OtiCio de BrrdLilia-DF de PR)lottolo § Regittro respectivo Diretório, devendo a movimentação das contas bancárias e dos r ser feita conjuntamente por, no mínimo, dois dirigentes partidários, sen obrigatoriamente o Tesoureiro e o outro o Presidente ou seu substituto estatutário. §1°-Os depósitos e movimentação dos recursos oriundos do Fundo Partidário serão feitos obrigatoriamente em conta bancária especifica. §2° - Os depósitos e movimentação dos recursos próprios do Partido, inclusive oriundos de doações de pessoas físicas feitas diretamente ao Partido, deverão ser feitos em conta bancária desvinculada daquela aberta para gestão dos recursos do Fundo Partidário. Art. 102 - A Comissão Executiva Nacional poderá instituir e exigir contribuições dos Diretórios Estaduais, destinadas ao Diretório Nacional. Parágrafo único - 0 mesmo direito é deferido às Comissões Executivas Estaduais em relação aos Diretórios Municipais, observados os parâmetros fixados pela Comissão Executiva Nacional. CAP ÍTULO II II Da Contabilidade e do Orçamento Art. 103 -Os Diretórios Nacional, Estaduais,"
PP,Estatutos/12_PP/001_Estatuto_do_Partido_de_25_4_2023_aprovado_pelo_TSE_em_28_5_2024.pdf,Estatutos/_analise_notion/PP_estatuto_atual_ocr.txt,Sim,"p. 19: planos de ação partidária e política, bem como o regimento interno elaborados pelos Movimentos; XXV - fixar os critérios para distribuição do Fundo Especial de Financiamento de Campanha (FEFC), mediante Resolução, nos termos do art. 16-C, § 7º da Lei nº 9.504/97, com a redação dada pela Lei nº 13.487/2017; XXVI - fixar os critérios complementares de escolha e substituição dos candidatos e o regime das coligações nas eleições majoritárias; XXVII - prorrogar por até 1 (um) ano o mandato do Diretório Nacional e demais órgãos Nacionais ou dos Diretórios Estaduais e demais órgãos Estaduais. Art. 56. A Comissão Executiva Nacional delibera com a presença de no mínimo 30% (trinta por cento) dos seus membros e as suas decisões são tomadas por maioria simples. Parágrafo único. A decisão do inciso IV do artigo anterior exige a aprovação da maioria absoluta dos membros da Comissão Executiva Nacional. SEÇÃO II Das Comissões Executivas Estaduais Art. 57. A Comissão Executiva Estadual é eleita pelo Diretório Estadual e terá a seguinte composição: 1-1 (um) Presidente; II - 3 (três) Vice-Presidentes; II- 1 (um) Secretário-Geral; Ww iai 7a IV - 2 (dois) Secretários; TREREE V - 1 (um) Tesoureiro-Geral; Psion 173982! VI - 2 (dois) Tesoureir",Sim,"p. 6: Progressistas 1) f) Comissões Executivas Nacional, Estaduais e Municipais; £) Comissões Provisórias Estaduais e Municipais; HI - ação parlamentar, as Bancadas parlamentares: a) no Congresso Nacional; b) nas Assembleias Legislativas; c) na Câmara Legislativa; d) nas Câmaras de Vereadores; TV - apoio: 7° Olicio de Brasilia-DF a) Conselhos Fiscais; rea Prana raid i + 173982; b) Conselhos Consultivos; ' Registro de Pessoes Jurídicas c) Conselhos de Ética; d) Movimentos Trabalhistas; e) Movimentos da Juventude até 35 anos; f) Movimentos Rurais; £) Movimentos da Mulher; h) Movimentos de Servidores Públicos; i) Movimentos afrodescendentes; j) Comités de Campanha, Urbanos, Rurais e de Bairro; k) Comissões Técnicas; 1) outros órgãos de apoio criados pela respectiva Comissão Executiva; V - Fundação Milton Campos. [Alterado pela CN de 22/04/2021] $ 1º Para efeito da organização do Partido, o Distrito Federal é equiparado a Estado da Federação, sem municípios. ad $ 2º No Distrito Federal ou nos Municípios com população superior a um milhão de habitantes, a Comissão Executiva Estadual do Distrito Federal ou a Comissão Executiva Municipal poderá designar para cada Zona Ele",Sim,"p. 40: (cinquenta por cento) para o órgão Nacional; b) 60% (sessenta por cento) para cada órgão Estadual e Municipal; II - na propaganda doutrinária e política; HI - no alistamento e campanhas eleitorais; IV - na criação e manutenção de instituto ou fundação de pesquisa e de doutrinação e educação política, sendo esta aplicação de, no mínimo, 20% (vinte) por cento do total recebido; V - na criação e manutenção de programas de promoção e difusão da participação política das mulheres, criados e mantidos pela secretaria da mulher do Partido ou, inexistindo a secretaria, pelo instituto ou fundação de pesquisa e de doutrinação e educação política de que trata o inciso IV, conforme percentual que será fixado pela Comissão Executiva Nacional, observado o mínimo de 5% (cinco por cento) do total; VI - no pagamento de mensalidades, anuidades e congêneres devidos a organismos partidários internacionais que se destinem ao apoio à pesquisa, ao estudo e à doutrinação política, aos quais seja o Partido regularmente filiado; VII - no pagamento de despesas com alimentação, incluindo restaurantes e lanchonetes. $ 1º Na prestação de contas devem ser discriminadas as despesas realizadas com recursos do Fundo Partidário, de modo a permitir o contr",Sim,"p. 40: do Fundo Partidário, de modo a permitir o controle da Justiça Eleitoral sobre o cumprimento do disposto neste artigo. $ 2º No exercício financeiro em que a Fundação Milton Campos não despender a totalidade dos recursos que lhe forem assinalados, a eventual sobra deverá ser revertida para outras atividades partidárias previstas no caput deste artigo, observando-se que: [Alterado pela CN de 22/04/2021] a) as sobras deverão ser apuradas até o fim do exercício financeiro e deverão ser integralmente transferidas para a conta bancária do Partido destinada à movimentação dos recursos do Fundo Partidário, no mês de Pe janeiro do exercicio seguinte; God asia DF Nº do Preco o Rego w 173982 | | 3 re"
PSTU,Estatutos/13_PSTU/001_Estatuto_do_Partido_de_17_3_2013_PDF.pdf,Estatutos/_analise_notion/PSTU_estatuto_atual.txt,Nao localizado,,Nao localizado,,Nao localizado,,Nao localizado,
PCB,Estatutos/14_PCB/001_Estatuto_do_Partido_de_3_3_2022_PDF.pdf,Estatutos/_analise_notion/PCB_estatuto_atual_ocr.txt,Nao localizado,,Sim,"p. 3: artido, respeitada a diversidade de opiniões no seu interior ©) Participar das atividades do Partido e dos movimentos populares. d) Aprimorar seu conhecimento teórico e da realidade social e politica e) Desenvolver a solidariedade, a autocrítica, a compreensão e o companheirismo, no interior do Partido e nos movimentos populares. ‘D Pagar a contribuição mensal determinada pelo Partido. 8) Recrutar novos militantes para as fileiras do partido. h) Zelar pela preservação da história, dos símbolos e das linhas política e de ação do Partido. i) Prevenir, reprimir e combater a violência politica contra as mulheres. 4 Prevenir, reprimir e combater o racismo, o preconceito aos povos indigenas e contra a população LGBT (Lésbicas, Gays, Bissexuais e Transexuais, Travestis e Transgêneros). Capitulo 1V Da Disciplina e da Fidelidade Partidária: Artigo 12 - O militante que infringir princípios programáticos ou estatutários, ou transgredir a ética partidária, estará sujeito a uma das seguintes medidas disciplinares: 4) Critica pessoal; b) Advertência interna; ©) Censura pública; d) Desligamento temporário ou definitivo de bancada; e) Destituição, temporária ou definitiva, de cargos e funções de representação ou direção partidária; + Su",Sim,"p. 12: epassar ao organismo hierarquicamente superior o percentual mínimo definido no caput deste Artigo, ficará sujeito às seguintes medidas: 1 - Após 3 (três) meses: advertência por escrito, da parte do organismo superior. IL Após 6 (seis) meses: intervenção do organismo superior, para eleição de nova direção. Artigo 73 - Os recursos do Fundo Partidário serão administrados pelo Secretariado Nacional e distribuídos na seguinte proporção: a) Fundação Dinarco Reis: 20% (vinte por cento), na forma da lei; +b) Comitê Central: 75% (setenta e cinco por cento); ©) Na criação e manutenção de programas de promoção e difusão da participação politica das mulheres 5% (cinco por cento), na forma da lei; LY",Nao localizado,
PRTB,Estatutos/15_PRTB/001_Estatuto_do_Partido_de_25_11_2017_PDF.pdf,Estatutos/_analise_notion/PRTB_estatuto_atual.txt,Nao localizado,,Sim,"p. 6: IDO 0t0C0l0tro 1 145661 Art. 13- São Órgãos do Partido: 1- De Deliberação: as Convenções Municipais, Regionais e Nacional. II- De Direção e Execução : os Diretórios e Comissões Provisórias Municipais e Regionais, o Diretório Nacional, e suas respectivas Comissões Executivas. III- De Ação Parlamentar: as Bancadas nas Câmaras Municipais, nas Assembléias e Câmaras Legislativas, na Câmara dos Deputados e Senado Federal IV- De Cooperação: os Conselhos de Ética Partidária, os Conselhos Fiscal e Consultivo, os Movimentos da Juventude, da Mulher, do Empresariado, do Trabalhismo Participativo, do Meio ambiente e Natureza, da Política da Defesa e Modernização Nacional, dos Direitos do Consumidor, do Idoso e outros a serem futuramente criados. Parágrafo Unico- Ficam dependentes de autorização expressa da Comissão Executiva Nacional do PRTB, a criação de qualquer Instituto, Fundação, Movimento ou outros Órgãos de Cooperação ligados ao Partido, mantendo-se o IPJQ - INSTITUTO DE ESTUDOS E FORMAÇÃO POLíTICA PRESIDENTE JÂNIO QUADROS, previsto no Estatuto Original já instalado e em pleno funcionamento, possuindo Estatuto próprio, e cuja atribuição precípua é a estruturação e a organização político- ideológica do Parti",Nao localizado,,Nao localizado,
DC,Estatutos/16_DC/001_Estatuto_do_Partido_de_24_3_2022.pdf,Estatutos/_analise_notion/DC_estatuto_atual_ocr.txt,Nao localizado,,Sim,"p. 5: is TI- de direção e de ação: a) o Diretório Nacional; b) os Diretórios Estaduais e Comissões Diretoras Estaduais Provisórias; ©) os Diretórios Municipais e Comissões Diretoras Municipais Provisórias; 4) os Diretórios Zonais e Comissões Diretoras Zonais; III- de ação parlamentar: a) as bancadas; IV - de cooperação: a) Conselhos Fiscais; ” b) Conselhos Consultivos; €) Conselho Nacional de Ética Partidária; d) Comissões de Disciplina; e) Movimentos Democrata Cristãos; f) Comitês de Campanha; £) Comissões Técnicas; h) Fundação Democrata Cristã de Estudos Sociais, Econômicos e Politicos ~ FDC; i) Democracia Cristã Mulher — DC Mulher; Ed j) Democracia Cristã Jovem — DC Jovem § 1º Nos Municípios, além do Diretório Municipal ou Comissão Diretora Municipal Provisória, havendo mais de uma zona eleitoral, poderá ser constituído também em cada zona eleitoral, Diretório Zonal ou Comissão Diretora Zonal Provisória. $2º É de 4 (quatro) anos o mandato dos Diretórios do Partido, observadas as seguintes. disposições: I- no ano em que vencer o mandato do Diretório Nacional, vencem também os mandatos dos Diretórios Municipais, Zonais e Estaduais, na seguinte ordem: / a) no mês de março, os mandatos dos Diretórios Municipais e Zonais; / AN b",Nao localizado,,Nao localizado,
PCO,Estatutos/17_PCO/001_Estatuto_do_Partido_de_9_12_1995_PDF.pdf,Estatutos/_analise_notion/PCO_estatuto_atual_ocr.txt,Nao localizado,,Nao localizado,,Nao localizado,,Nao localizado,
PODE,Estatutos/18_PODE/001_Estatuto_do_Partido_de_30_9_2023_aprovado_pelo_TSE_em_23_5_2024.pdf,Estatutos/_analise_notion/PODE_estatuto_atual.txt,Sim,"p. 7: rgão partidário ou, na falta deste, perante o órgão hierárquico imediatamente superior. VIII - acompanhar a divulgação realizada pelo PODEMOS nos meios físicos e virtuais utilizados dos atos e normativas partidários, notadamente as resoluções, diretrizes e deliberações; IX - comparecer, quando convocado, para elucidar fatos em procedimentos disciplinares; X - emitir voto sobre questões submetidas à consulta partidária pelas instâncias de direção partidária; e XI - Zelar pelo direito de participação política igualitária da mulher, vedada qualquer discriminação ou desigualdade de tratamento em virtude de gênero no acesso às instâncias de representação política, internas e externas, ou ainda no exercício de suas funções públicas. § 1° - Considera-se violência contra a mulher toda ação, conduta ou omissão com a finalidade de impedir, obstaculizar ou restringir os direitos políticos da mulher. § 2° - Constituem igualmente atos de violência política contra a mulher qualquer distinção, exclusão ou restrição no reconhecimento, gozo ou exercício de seus direitos e de suas liberdades políticas fundamentais, em virtude do sexo, ou em relação à sua cor, raça ou etnia. Capítulo III - Da Fidelidade, da Disciplina Partid",Sim,"p. 7: u respectivo órgão partidário ou, na falta deste, perante o órgão hierárquico imediatamente superior. VIII - acompanhar a divulgação realizada pelo PODEMOS nos meios físicos e virtuais utilizados dos atos e normativas partidários, notadamente as resoluções, diretrizes e deliberações; IX - comparecer, quando convocado, para elucidar fatos em procedimentos disciplinares; X - emitir voto sobre questões submetidas à consulta partidária pelas instâncias de direção partidária; e XI - Zelar pelo direito de participação política igualitária da mulher, vedada qualquer discriminação ou desigualdade de tratamento em virtude de gênero no acesso às instâncias de representação política, internas e externas, ou ainda no exercício de suas funções públicas. § 1° - Considera-se violência contra a mulher toda ação, conduta ou omissão com a finalidade de impedir, obstaculizar ou restringir os direitos políticos da mulher. § 2° - Constituem igualmente atos de violência política contra a mulher qualquer distinção, exclusão ou restrição no reconhecimento, gozo ou exercício de seus direitos e de suas liberdades políticas fundamentais, em virtude do sexo, ou em relação à sua cor, raça ou etnia. Capítulo III - Da Fidelidade, da Dis",Sim,"p. 22: a sua impossibilidade, por termo de doação ou outro documento legalmente aceito; e III - ser certificadas pelo Tesoureiro do PODEMOS mediante notas explicativas. Art. 55- Os recursos oriundos do Fundo Partidário devem ter a seguinte destinação: I - manutenção das sedes, de equipamentos, dos serviços de qualquer natureza, e no pagamento de pessoal, este último no máximo permitido por lei; II - aquisição de equipamentos; III - propaganda doutrinária e política; IV - alistamento e campanhas eleitorais; V - PODEMOS Mulher ou Instituto Partidário da Mulher, respeitado o mínimo de cinco por cento ou outro percentual que a lei venha a estipular; VI - PODEMOS Jovem; VII - outros órgão setoriais do PODEMOS; VIII - criação ou manutenção de Fundação ou Instituto para fins de divulgação, pesquisa, doutrinação, política e educação, no valor mínimo de vinte por cento do total recebido do Fundo Partidário ou outro percentual que a lei venha a estipular; e IX - entre os órgãos executivos estaduais, a critério e conforme estratégia política-eleitoral da Comissão Executiva Nacional e, desde que preencham os seguintes requisitos: a) estejam em dia com sua prestação de contas perante a Justiça Eleitoral e aptos para o rec",Nao localizado,
REPUBLICANOS,Estatutos/19_REPUBLICANOS/001_Estatuto_do_Partido_de_24_4_2023_PDF_aprovado_em_13_6_2024.pdf,Estatutos/_analise_notion/REPUBLICANOS_estatuto_atual_ocr.txt,Sim,"p. 20: erá exercida, preferencialmente, por um membro da Executiva Nacional do Republicanos do sexo feminino, sendo vedado a cumulação de cargos de direção em outros movimentos, conselhos e setoriais. Art. 68. A Coordenação Geral do Observatório Nacional de Combate a Violência Política contra a Mulher do Republicanos será indicada pelo Presidente da Comissão Executiva Nacional. Art.69. Na composição do Observatório Nacional de Combate a Violência Política contra a Mulher do Republicanos , deverá ser observado o mínimo de 30% (trinta por cento) e o máximo de 70% (setenta por cento) para cada sexo. Art, 70. O Observatório Nacional de Combate a Violência Política contra a Mulher do Republicanos será órgão de cooperação da Executiva Nacional do Republicanos com objetivo de desenvolver e implementar programa de combate a violência política contra a mulher no âmbito intrapartidário, parlamentar e nas campanhas eleitorais. Art. 71. O Observatório Nacional de Combate a Violência Política contra a Mulher do Republicanos, será responsável ainda por: + Organizar a ouvidoria criada pela Comissão Executiva Nacional, estabelecer e editar procedimentos e protocolos de denúncias, editar procedimentos de respostas às denúncias, dentre outros at",Sim,"p. 4: cos polêmicos ou que contrariem seus interesses políticos; Os filiados, com exceção dos que respondem pela administração partidária, não responderão subsidiariamente pelas obrigações contraídas em nome da agremiação. Art. 11. São deveres dos filiados REPUBLICANOS: a) Cumprir e fazer cumprir as normas estatutárias, o Programa, o Manifesto e as decisões dos órgãos de administração partidária; b) Participar das atividades do REPUBLICANOS, difundir suas ideias e propostas; c) Combater todas as manifestações de discriminação social de gênero, de orientação sexual, de cor, de raça, de idade ou de religião; d) Manter conduta compatível com os princípios éticos do REPUBLICANOS; e) Contribuir financeiramente com a agremiação, na forma deste Estatuto, e participar das campanhas de arrecadação de fundos para o REPUBLICANOS; ) Apoiar os candidatos escolhidos e aprovados pelo REPUBLICANOS, em todas as eleições; 8) Comparecer, quando convocado, para prestar esclarecimentos aos órgãos da administração partidária; h) Comparecer nas reuniões ordinárias e extraordinárias do órgão de administração partidária a que for vinculado; i) Quando nomeado ou eleito, exercer função pública, com probidade, transparência, fidelidade aos princípios pro",Sim,"p. 14: não vedadas por lei. $1º Os recursos provenientes do Fundo Partidário serão administrados pela Comissão Executiva Nacional, que poderá repassar parte dos recursos às Estaduais e às Municipais, com critérios de distribuição definidos através de resolução emitida pela direção nacional; 82º Das cotas do Fundo Partidário o REPUBLICANOS fará a seguinte distribuição, nos termos da lei: |- 20% (vinte por cento), no mínimo, serão destinados à manutenção da Fundação Republicana Brasileira, nos termos da legislação em vigor; 1l- 5% (cinco por cento), no mínimo, serão destinados à Secretaria Nacional das Mulheres Republicanas; 1ll- 10% (dez por cento), no mínimo, serão distribuídos para a manutenção dos órgãos estaduais e/ou municipais que, efetivamente, comprovem que podem, nos termos da lei e das decisões da Justiça Eleitoral, receber recursos do fundo partidário; IV- Os valores remanescentes serão utilizados para manutenção da sede e demais gastos do órgão de direção nacional. 53º A transferência de valores entre órgãos de direção partidária, independente do grau de hierarquia da origem ou destino, dependerá da comprovação da inexistência de impedimentos legais, e terão critério: de distribuição definidos através de resolução em",Nao localizado,
PSOL,Estatutos/20_PSOL/001_Estatuto_do_Partido_de_2_12_2017_PDF.pdf,Estatutos/_analise_notion/PSOL_estatuto_atual.txt,Nao localizado,,Sim,"p. 7: •1 7\o. '?\ Ill —0 Diretório Nacional; ( Op"" 0 IV —A Convenco Estadual; V 0 Diretório Estadual; VI —A Convenço Municipal; VII —0 Diretório Municipal; VIII - Os Ncleos de Base, organizados por cidades, empresas, bairros, locals de estudo, trabaiho, movimentos sociais, gênero, raga, e todos aqueles reconhecidos como tal pelo Partido; IX— Os setorlais. § 10 - Transitoriamente, enquanto no existirem NCicleos de Base, sero considerados órgos de Base a reunio ou plenária que retina regularmente, nos termos do art. 12 deste Estatuto, os filiados pertencentes as diversas empresas, bairros, locais de estudo ou trabalho, movirnentos socials, de gênero, de raga e todos aqueles que possam se Fstlo olo e RAgihtro tal pelo Partido. Art. 31-0 órgo supremo do Partido é o Congresso Nacional. Pe oas Juridicas § 12 0 Congresso Nacional deverá reunir-se, no mInimo, a cada 3 (trés) anos, Cu, extraordinariamente, em vista de circunstâncias e acontecirnentos s",Nao localizado,,Nao localizado,
PL,Estatutos/21_PL/001_Estatuto_do_Partido_de_16_7_2024_PDF_aprovado_em_10_11_2025.pdf,Estatutos/_analise_notion/PL_estatuto_atual_ocr.txt,Nao localizado,,Sim,"p. 14: l, poderão criar ou autorizar o funcionamento de Departamentos e Movimentos, dispondo sobre atribuições, normas de funcionamento, forma da escolha e mandato de seus dirigentes. § 1º A Comissão Executiva Nacional coordenaré o pleno funcionamento dos Departamentos e Movimentos criados e/ou autorizados a funcionar, podendo a seu exclusivo critério designar ou não Coordenadores específicos para cada movimento com mandato por prazo indeterminado, sendo considerado extinto, quando for destituído ou outro for designado. § 2º O Movimento PL Mulher instituído nos termos do artigo 44, inciso V, da Lei 9096/95, será coordenado pela Comissão Executiva Nacional, devendo os movimentos estaduais submeterem-se à apreciação e deliberação da Comissão Executiva Nacional, seus projetos e programas. § 39 Nos termos do artigo 44, inciso V, da Lei 9096/95, fica fixado o percentual de 5% (cinco por cento) do total de recursos recebidos do fundo partidário para a manutenção de programas de promoção e difusão da participação política das mulheres o qual será administrado pela respectiva Comissão Executiva da circunscrição. § 4º O Movimento PL Mulher nos Estados não possuirá autonomia financeira nem administrativa, devendo sempre submeter qualquer",Sim,"p. 14: designar ou não Coordenadores específicos para cada movimento com mandato por prazo indeterminado, sendo considerado extinto, quando for destituído ou outro for designado. § 2º O Movimento PL Mulher instituído nos termos do artigo 44, inciso V, da Lei 9096/95, será coordenado pela Comissão Executiva Nacional, devendo os movimentos estaduais submeterem-se à apreciação e deliberação da Comissão Executiva Nacional, seus projetos e programas. § 39 Nos termos do artigo 44, inciso V, da Lei 9096/95, fica fixado o percentual de 5% (cinco por cento) do total de recursos recebidos do fundo partidário para a manutenção de programas de promoção e difusão da participação política das mulheres o qual será administrado pela respectiva Comissão Executiva da circunscrição. § 4º O Movimento PL Mulher nos Estados não possuirá autonomia financeira nem administrativa, devendo sempre submeter qualquer pretensão, projeto ou proposta à apreciação e deliberação da Comissão Executiva Nacional, a qual poderá delegar a execução nos Estados às respectivas Comissões Executivas. Capitulo vit Dos Institutos e Fundações Art. 35. O Diretório Nacional, por sua maioria absoluta, poderá criar institutos ou fundações, e dispor sobre suas atribuições e funci",Nao localizado,
PSD,Estatutos/22_PSD/001_Estatuto_do_Partido_de_06_12_2023_PDF.pdf,Estatutos/_analise_notion/PSD_estatuto_atual.txt,Nao localizado,,Sim,"p. 23: a e Estudos Políticos é a instituição que prestará apoio na formação política, na pesquisa e no estudo de todos os temas relacionados aos objetivos de que dispõe o art. 2o deste Estatuto, bem como na difusão da doutrina e postulados do Partido. Art. 72 - Os Órgãos de Ação Política indicados no inciso III, do art. 14, destinam-se a promover e aplicar os preceitos programáticos do Partido na respectiva área de atuação. §1° - O PSD Mulher, a que se refere a alínea ‘a’, do inciso III, do art. 14., se equivale à denominada Secretaria da Mulher”, conforme discriminado no inciso V do art 44 da Lei n° 9.096/95. ' ’ §2° - Com exceção da Fundação ou Instituto de Pesquisa e Estudos Políticos, que possui estatuto próprio, os Órgãos de Ação Política serão compostos por coordenador, vice-coordenador e secretário, podendo também ser indicados membros pelo Presidente de cada esfera partidária na forma da alínea ‘k’ do art. 61. Art. 73 - Os Órgãos de Ação Política serão compostos por integrantes indicados e nomeados pelo respectivo Presidente, com exceção da Fundação ou Instituto de Pesquisa e Estudos Políticos, que é dotado de estatuto próprio. Art. 73 - A. Na hipótese de serem constituídos outros Órgãos de Ação Política a",Nao localizado,,Nao localizado,
SOLIDARIEDADE,Estatutos/23_SOLIDARIEDADE/001_Estatuto_do_Partido_de_28_4_2022_PDF.pdf,Estatutos/_analise_notion/SOLIDARIEDADE_estatuto_atual_ocr.txt,Nao localizado,,Sim,"p. 5: = 00125854 SOLIDARIEDADE E IX - Manter relações de urbanidade e respeito com todos os filiados; X - Trabalhar pelo fortalecimento do Partido; XI - Comparecer aos eventos e demais atividades partidárias; XII — Não praticar qualquer ato de violência política contra a mulher e zelar para que © exercício do direito politico da mulher não seja impedido, obstaculizado ou restringido em quaisquer instâncias partidárias. CAPÍTULO IIL Dos desligamentos dos filiados. Art. 10 - O filiado que quiser se desligar do quadro partidário do SOLIDARIEDADE deverá fazer uma comunicação escrita para esse fim ao órgão do Partido no seu município ou, na falta deste, ao órgão imediatamente superior. Parágrafo Único -Além do disposto no “caput”, deve o interessado juntar cópia da comunicação feita ao MM. Juiz da Zona Eleitoral, provando o cumprimento da comunicação escrita de desligamento ao partido, sob pena de ser desconsiderado o pedido de desfiliação. Art. 11 - O c",Sim,"p. 28: III - manutenção de patrimônio e serviços; IV - filiações partidárias; V -criação e manutenção da Fundação de Pesquisas e Estudos Econômicos, Políticos e Sociais e Comissões de Ação Política. A 4 | SEÇÃO III 00 ds 51 Dos Repasses dos Recursos Art. 87 - Serão repassados aos Diretórios ou Comissões Provisórias Estaduais 50% (cinquenta por cento) da receita oriunda do Fundo Partidário, depois de descontados os valores reservados à Fundação de Pesquisa e Estudos Econômicos Políticos e Sociais 20% (vinte por cento), e 5% (cinco por cento) para as Ações de Promoção do Movimento da Mulher. §1°- O percentual de 50% (cinquenta por cento), estabelecido no “caput” deste artigo, será distribuído de forma proporcional ao número de votos válidos obtidos ao cargo de Deputado Federal na eleição imediatamente anterior, no respectivo Estado; §2° - Poderão eventualmente ser repassados recursos a Diretórios ou Comissões Provisórias Municipais, desde que mediante deliberação da Executiva Nacional ou da respectiva Executiva Estadual. SEÇÃO IV Da Contabilização dos Gastos de Campanha Art. 88 - O Partido organizará em todos os seus níveis de Diretórios a contabilização em separado das receitas e gastos de campanha, registrando-se em livros des",Nao localizado,
NOVO,Estatutos/24_NOVO/001_Estatuto_do_Partido_PDF.pdf,Estatutos/_analise_notion/NOVO_estatuto_atual.txt,Nao localizado,,Nao localizado,,Nao localizado,,Nao localizado,
REDE,Estatutos/25_REDE/001_Estatuto_do_Partido_aprovado_em_19_6_2020.pdf,Estatutos/_analise_notion/REDE_estatuto_atual.txt,Nao localizado,,Sim,"p. 8: bem como decidir em última instância no caso de lacunas estatutárias e nas hipóteses previstas neste Estatuto. VI - regulamentar e convocar a realização dos plebiscitos, referendos e consultas em rede sempre que oportuno ou previsto neste Estatuto; e VII - formular o calendário das Conferências Nacional, Regionais e Municipais, fazendo-o publicar na imprensa oficial do Partido ou através de outro meio próprio e de ampla divulgação entre os órgãos partidários e filiados, §3' Deverá ser considerado o balanço de gênero na composição geral da Comissão Nacional Provisória sendo preferencialmente em cada função. §4° As decisões da Comissão Nacional Provisória serão tomadas por maioria simples, excetuadas as hipóteses em que expressamente for exigido quórum especial. §5° Uma vez ultrapassada a fase de criação e registro do Estatuto da REDE no TSE, no dia 22 de Setembro de 2015, a COMISSÃO NACIONAL PROVISÓRIA será substituida pela COMISSÃO EXECUTIVA NACIONAL DO ELO NACIONAL. §6° As competências delegadas à Comissão Nacional Provisória após o deferimento registro do estatuto no Tribunal Superior Eleitoral, serão conferidas à Comissão Executiva Nacional do Elo Nacional. Art. 27 - Compete a Coordenação Geral da RE",Sim,"p. 30: de pessoal, a qualquer título, este último até o limite máximo de 50% (cinquenta por cento) do total recebido; II - propaganda doutrinária e política; fi - filiação e campanhas eleitorais; IV _ manutenção de Instituição pr6pria de Pesquisa e Fonnação de Politica Pública a ser criada no prazo máximo de um ano do registro da REDE no TSE, sendo esta aplicação de, no minimo; 20% (vinte por centro) do total recebido; .. . V _ Criação e manutenção de programas de promoção e difusão da partlclpação polinca das mulheres, sendo esta aplicação de no mínimo 5% (cinco por cento) do total recebido na forma da Lei. An. 122 _ Descontados os 25% (vinte e cinco por cento) dos recursos contemplados na arngo anterior, incisos IV e V, os dem~is recursos s:rão divididos da seguint~ forma: 1- 50% (cinquenta por cento) serão destmados à m:,tanclanaclOnal de dire~o, 11 _ 50% (cinquenta por cento) serão destinados às lDstân.clas estadurus de dlfeção . . § 10_ A forma de distribuição dos recursos previstos no mClso TI do caput deste arugo serão regulamentados por intermédio de resolução. . §2 0_ S6 serão repassados os recurs?s do Fundo Partidário às instâncias de direção que estiverem quites com as demais obngações estatutári",Nao localizado,
