row_number,numero_processo,tema,before_ramo,after_ramo,before_subramo,after_subramo,method,reason,llm_error
13,0004497-67.2006.4.01.3400,Responsabilidade administrativa do ente que ocasionou desvio de função e obrigação de pagamento das diferenças salariais pelo Estado beneficiário do serviço prestado,Direito Administrativo,Direito Administrativo,"Responsabilidade Civil Administrativa, Servidores Públicos","Responsabilidade Civil Estatal, Servidores Públicos",api,scope_all,
15,1039704-71.2019.4.01.0000,Reavaliação periódica da prisão preventiva por contrabando de cigarros e cessação da necessidade cautelar para evitar cumprimento indevido de pena,Direito Penal,Direito Penal,"Execução Penal, Processo Penal","Direito Penal Substantivo, Processual Penal",api,scope_all,
16,0006053-93.2005.4.01.3900,"Responsabilidade civil subjetiva da União por omissão na fiscalização marítima e por permitir operação insegura de embarcação que causou naufrágio, mortes por afogamento e danos ma",Direito Administrativo,Direito Administrativo,"Direito Marítimo, Responsabilidade Civil Administrativa","Responsabilidade Civil do Estado, Responsabilidade Civil Administrativa",api,scope_all,
17,0004400-40.2006.4.01.3700,Legitimidade do INCRA para propor reintegração de posse de imóvel destinado à reforma agrária e exame concreto da posse perante oposição dominial,Direito Civil,Direito Civil,"Direito Processual Civil, Direito Registral Imobiliário","Direito Registral Imobiliário, Direito das Coisas",api,scope_all,
18,0017514-88.2011.4.01.3500,Natureza jurídica do ressarcimento de benefícios previdenciários indevidos e inadequação da inscrição em dívida ativa para cobrança administrativa do valor apurado,Direito Administrativo,Direito Administrativo,"Direito Previdenciário, Direito Processual Administrativo","Direito Previdenciário Administrativo, Responsabilidade Civil Administrativa",api,scope_all,
19,0040010-04.2012.4.01.0000,Restituição integral de prazo processual em razão de doença do advogado único constitutiva de justa causa para afastamento de intempestividade,Processual Civil,Direito Processual Civil,"Direito Processual de Recursos, Processo Civil","Direito Processual de Recursos, Tutela Provisória",api,scope_all,
21,1032743-51.2018.4.01.0000,Manutenção do sigilo de interceptações telefônicas para resguardar eficácia investigativa diante de diligências pendentes e risco de comprometimento das provas,Direito Penal,Direito Penal,"Direitos Fundamentais, Processo Penal","Processual Penal, Direitos e garantias fundamentais",api,scope_all,
22,1019505-04.2019.4.01.9999,Reconhecimento do direito autônomo à aposentadoria por idade da trabalhadora rural diante de divergência entre registros previdenciários do cônjuge e prova robusta da atividade rur,Direito Previdenciário,Direito Previdenciário,"Benefícios Previdenciários, Seguridade Social","Benefício previdenciário, Segurado e Qualidade de Segurado",api,scope_all,
23,0019493-16.2018.4.01.9199,Aposentadoria rural por idade pleiteada por ex-cônjuge separado e validade da certidão de casamento como início de prova material diante de carência não cumprida,Direito Previdenciário,Direito Previdenciário,"Benefícios Previdenciários, Seguridade Social","Previdenciário Substantivo, Segurado e Qualidade de Segurado",api,scope_all,
24,0005608-67.2012.4.01.3500,"Competência da Justiça Federal para investigar fraude no Exame da Ordem e validade da persecução penal sem defesa preliminar, com equiparação de empregados da OAB a funcionário púb",Direito Penal,Direito Penal,"Direito Penal Administrativo, Processo Penal","Criminalidade Organizada, Crimes contra a Administração Pública",api,scope_all,
25,1000135-29.2020.4.01.0000,Redução do valor da fiança por alteração fática e aproveitamento do produto de alienação antecipada de bens apreendidos como forma de prestação,Direito Penal,Direito Penal,"Direito Processual Penal, Processo Penal","Processual Penal, Direito Penal Substantivo",api,scope_all,
26,0048906-48.2013.4.01.3800,Autonomia universitária para reformular currículo e cancelar turma por insuficiência de alunos frente à obrigação contratual e direitos do discente,Direito Educacional,Direito Educacional,"Direito Administrativo, Direito Civil Contratual","Direito Administrativo Educacional, Direito Contratual Administrativo",api,scope_all,
27,1000942-91.2017.4.01.3900,Prorrogação do prazo de nomeação e posse em concurso público em razão de entraves burocráticos administrativos que impedem exercício imediato do cargo de dedicação exclusiva,Direito Administrativo,Direito Administrativo,"Direito Administrativo Sancionador, Servidores Públicos","Servidores Públicos, Serviço Público",api,scope_all,
28,0065412-19.2014.4.01.0000,Legitimidade extraordinária de sindicato para ajuizar ação coletiva em substituição processual sem exigência de lista nominal de filiados,Direito Processual Civil,Direito Processual Civil,"Direito Sindical, Processo Coletivo","Processo Coletivo, Direito Sindical",api,scope_all,
29,0026857-88.2009.4.01.3400,Anulação de exame psicotécnico em concurso público para agente penitenciário e necessidade de nova avaliação com critérios objetivos e públicos,Direito Administrativo,Direito Administrativo,"Direito Administrativo Disciplinar, Direito Público dos Concursos","Direito Público dos Concursos, Processo Administrativo",api,scope_all,
30,0028114-70.2016.4.01.9199,Pensão por morte de trabalhador rural: ausência de prova de união estável e existência de impedimento civil que obstrui direito ao benefício,Direito Previdenciário,Direito Previdenciário,"Benefícios Previdenciários, Direitos Sociais","Pensão por morte, Segurado e Qualidade de Segurado",api,scope_all,
31,0026230-55.2016.4.01.0000,"Habilitação pessoal de todos os herdeiros em execução para levantamento de valores sem exigência de abertura de inventário, discutindo legitimidade e regularidade do procedimento d",Direito Processual Civil,Direito Processual Civil,"Execução, Processo de Conhecimento","Execução e Cumprimento de Sentença, Tutela Jurisdicional",api,scope_all,
32,0004399-47.2013.4.01.3300,Ausência de direito adquirido ao regime celetista e impossibilidade de incorporação de verbas salariais provenientes de horas extras ao estatuto após ingresso no Regime Jurídico Ún,Direito Administrativo,Direito Administrativo,"Direito Administrativo Disciplinar, Direito Previdenciário","Regime jurídico dos agentes públicos, Servidores Públicos",api,scope_all,
33,0080482-95.2013.4.01.3400,Anistia política de servidor celetista: controvérsia sobre readmissão no mesmo cargo e manutenção do regime jurídico anterior em vez de transposição para estatutário,Direito Administrativo,Direito Administrativo,"Direito Administrativo Disciplinar, Direito Trabalhista Público","Servidores Públicos, Regime Jurídico do Servidor Público",api,scope_all,
34,1003017-95.2019.4.01.0000,Regime prescricional aplicável a atos de improbidade que configuram crime e efeitos sobre a possibilidade de ressarcimento integral ao erário,Direito Administrativo,Direito Administrativo,"Improbidade Administrativa, Processo Penal","Improbidade Administrativa, Responsabilidade Civil do Estado",api,scope_all,
35,0001224-90.2010.4.01.3901,"Responsabilidade penal do proprietário de farmácia pela importação e comercialização de medicamentos sem registro, com discussão sobre tipificação e incidência dos §§1º e 1º-B do a",Direito Penal,Direito Penal,"Crimes contra a saúde pública, Responsabilidade penal da pessoa jurídica e do proprietário","Direito Penal Ambiental, Responsabilidade penal da pessoa jurídica e do proprietário",api,scope_all,
40,0020890-93.2013.4.01.3700,Responsabilidade objetiva da ECT por extravio de encomenda em contrato de consumo e necessidade de prova de dano moral à pessoa jurídica mediante lesão à honra objetiva,Direito Civil,Direito Civil,"Direito do Consumidor, Responsabilidade Civil","Responsabilidade Civil, Direito do Consumidor",api,scope_all,
41,0011753-20.2009.4.01.3800,"Conversão de multa administrativa ambiental aplicada pelo Ibama em prestação de serviços por ausência de vantagem patrimonial, hipossuficiência e inexistência de reincidência, com ",Direito Ambiental,Direito Ambiental,"Processo Administrativo Ambiental, Sanções Administrativas Ambientais","Sanções Administrativas Ambientais, Processo Administrativo Ambiental",api,scope_all,
42,1001965-88.2015.4.01.3400,Exclusão de candidato em inspeção de saúde por obesidade não mórbida e ofensa aos princípios da razoabilidade e proporcionalidade quanto à aptidão para cargo público administrativo,Direito Administrativo,Direito Administrativo,"Controle de Atos Administrativos, Serviço Público","Serviço Público, Controle de Atos Administrativos",api,scope_all,
43,1001065-95.2017.4.01.3801,Pedido de colação de grau e expedição de diploma antecipados diante de conclusão curricular e aprovação em concurso público seletivo,Direito Administrativo,Direito Administrativo,"Direito Educacional, Direito Público","Direito Público Educacional, Serviço Público",api,scope_all,
44,0045013-37.2012.4.01.0000,Concessão de justiça gratuita a pessoa jurídica e exigência de prova concreta de insuficiência financeira diante de dívida tributária e execução fiscal,Direito Processual Civil,Direito Processual Civil,"Processo Civil, Processo Tributário","Processo Civil, Processo de Execução Fiscal",api,scope_all,
45,0056462-89.2012.4.01.0000,"Aplicação da fungibilidade recursal em agravo de instrumento interposto diretamente no tribunal diante de erro grosseiro do patrono e ausência de má-fé, analisando requisitos e lim",Processual Civil,Direito Processual Civil,"Procedimento, Recursos","Procedimento, Recursos",api,scope_all,
46,0069715-47.2012.4.01.0000,Cabimento e limites da exceção de pré-executividade na execução fiscal frente a alegação de compensação baseada em crédito de terceiro que exige dilação probatória,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Direito Tributário Processual",api,scope_all,
49,1019626-56.2019.4.01.0000,"Obrigatoriedade de atos processuais distintos para interrogatório individual de réus e oitiva presencial separada de testemunhas, com discussão sobre nulidade por violação dos arts",Direito Penal,Direito Processual Penal,"Garantias Constitucionais Penais, Processo Penal","Processual Penal, Garantias Constitucionais Penais",api,scope_all,
50,1000106-03.2016.4.01.3400,"Possibilidade de afastamento remunerado de servidor público federal para curso de formação de cargo público estadual durante estágio probatório, em face do princípio da isonomia co",Direito Administrativo,Direito Administrativo,"Direito Constitucional, Servidores Públicos","Servidores Públicos, Direito Constitucional",api,scope_all,
51,0001137-98.2019.4.01.3811,Competência da Justiça Militar para julgar crime de tortura cometido por policial militar e alcance da Lei 13.491/2017 quanto à ampliação de competência,Direito Penal,Direito Penal,"Direito Penal Militar, Processo Penal","Direito Penal Militar, Direito Penal Substantivo",api,scope_all,
53,0010659-93.2011.4.01.3500,Configuração do crime de sonegação fiscal por omissão de receitas e discussão sobre suficiência do dolo genérico para tipificação penal,Direito Penal,Direito Penal,"Direito Penal Tributário, Processo Penal","Criminal Tributário, Direito Penal Substantivo",api,scope_all,
54,0015007-20.2017.4.01.3800,Aditamento da denúncia para substituir crime de bando por organização criminosa e seus efeitos sobre ampla defesa e sobre a preservação do juízo natural diante de especialização da,Direito Penal,Direito Penal,"Criminal, Processo Penal","Direito Penal Substantivo, Processual Penal",api,scope_all,
55,0001096-56.2017.4.01.3309,Responsabilidade da instituição financeira por saques de benefício previdenciário após óbito versus competência do INSS para cessação e dever de comunicação registral,Direito Previdenciário,Direito Previdenciário,"Direito Administrativo, Direito Tributário Previdenciário","Previdência Social, Previdenciário Administrativo",api,scope_all,
56,0036533-94.2017.4.01.0000,Manutenção de candidato aprovado em ampla concorrência e controvérsia sobre exclusão por não comprovar requisitos para reserva de vagas raciais,Direito Administrativo,Direito Administrativo,"Direito Constitucional, Direito Eleitoral","Serviço Público, Direito Constitucional Administrativo",api,scope_all,
57,1034800-08.2019.4.01.0000,Fixação excepcional de preços da praticagem pela Administração pública com base no art. 14 da Lei 9.537/1997 diante de ausência de reajuste por mais de sete anos,Direito Administrativo,Direito Administrativo,"Direito Administrativo Econômico, Direito Administrativo Sancionador","Serviços Públicos, Regime Jurídico Administrativo",api,scope_all,
58,0025711-59.2012.4.01.3900,"Legalidade da manutenção de contratos de franquia postal vigentes e controvérsia sobre impossibilidade de encerramento imediato sem previsão legal, ante necessidade de preservar se",Direito Administrativo,Direito Administrativo,"Contratos Administrativos, Direito Administrativo Sancionador","Licitações e Contratos Administrativos, Serviços Públicos e Concessões",api,scope_all,
59,0066632-57.2011.4.01.0000,Impenhorabilidade de quantias de natureza alimentar em conta-corrente atingidas por Bacenjud e possibilidade de desbloqueio judicial para garantia da subsistência,Direito Processual Civil,Direito Processual Civil,"Processo de Execução, Tutela de Urgência e Medidas Cautelares","Tutela de Urgência e Medidas Cautelares, Processo de Execução",api,scope_all,
60,0020867-92.2013.4.01.0000,Possibilidade de reiteração de diligência via BacenJud após decurso de um ano sem fato novo e limites da razoabilidade para evitar medidas repetitivas abusivas,Processual,Direito Processual,"Processo Civil, Processo de Execução","Processo Civil, Processo de Execução",api,scope_all,
61,0010052-94.2017.4.01.0000,Responsabilidade tributária de ex-sócio em execução fiscal e necessidade de prova de atuação no fato gerador do débito para redirecionamento,Direito Tributário,Direito Tributário,"Execução fiscal, Responsabilidade Tributária","Contencioso Administrativo e Judicial Tributário, Responsabilidade Tributária",api,scope_all,
62,0011307-97.2011.4.01.0000,Impossibilidade de empregar exclusivamente módulos fiscais do ITR para declarar aptidão à desapropriação para reforma agrária,Direito Público,Direito Agrário,"Direito Administrativo, Direito Agrário","Direito Administrativo, Direito Agrário",api,scope_all,
63,0029519-30.2015.4.01.0000,Direito administrativo: servidor afastado para pós‑graduação stricto sensu no país e direito a férias com terço constitucional durante o afastamento,Direito Administrativo,Direito Administrativo,"Direito Administrativo Disciplinar, Direitos e Vantagens do Servidor Público","Servidores Públicos, Direito Administrativo de Pessoal",api,scope_all,
64,0007902-08.2015.4.01.3300,"Acumulação de dois cargos públicos na área de saúde e controvérsia sobre exigência exclusiva de compatibilidade de horários prevista no art. 37, XVI, da CF, vedando imposição admin",Direito Administrativo,Direito Administrativo,"Regime Jurídico Administrativo, Servidores Públicos","Servidores Públicos, Regime Jurídico Administrativo",api,scope_all,
65,1035161-59.2018.4.01.0000,"Incidência de honorários advocatícios na fase de cumprimento de sentença de mandado de segurança envolvendo ente público e aplicação do art. 85, §1º do CPC/2015",Processual,Direito Processual,"Mandado de Segurança, Processo Civil","Mandado de Segurança, Execução e Cumprimento de Sentença",api,scope_all,
66,1016019-69.2018.4.01.0000,Incidência de honorários advocatícios na fase de cumprimento de sentença contra a Fazenda Pública por débitos de pequeno valor ajuizados após MP 2.180‑35/2001 e não impugnados,Processual Civil,Direito Processual Civil,"Honorários Advocatícios, Processo de Execução","Honorários Advocatícios, Cumprimento de Sentença",api,scope_all,
69,1000761-22.2018.4.01.3200,Exclusão de candidato de concurso por recusa de documento digital em inspeção de saúde e obrigação da banca permitir reapresentação para evitar desproporcionalidade e violação de p,Direito Administrativo,Direito Administrativo,"Direito Processual Administrativo, Direito Público","Processo Administrativo, Serviços Públicos",api,scope_all,
70,0009654-97.2010.4.01.3200,Suspeição em concurso público de magistério por vínculo acadêmico prévio e necessidade de prova concreta de parcialidade para anular atos administrativos,Direito Administrativo,Direito Administrativo,"Controle de Atos Administrativos, Serviço Público","Serviço Público, Controle de Atos Administrativos",api,scope_all,
71,0001083-04.2011.4.01.4300,Desocupação administrativa de faixa de domínio rodoviária sem posse anterior e afastamento da responsabilidade estatal por indenização,Direito Administrativo,Direito Administrativo,"Direitos Fundamentais Sociais, Responsabilidade Civil do Estado","Serviços Públicos, Responsabilidade Civil do Estado",api,scope_all,
72,0004929-39.2004.4.01.3600,Configuração de inexigibilidade de licitação diante da falta de especificidade do serviço e ilegalidade de repactuação por reajuste do salário‑mínimo com responsabilização e multa ,Direito Administrativo,Direito Administrativo,"Controle Externo e Responsabilidade Fiscal, Licitações e Contratos Administrativos","Licitações e Contratos Administrativos, Controle Externo e Responsabilidade Fiscal",api,scope_all,
73,1025085-39.2019.4.01.0000,Data de início do benefício previdenciário vinculada ao primeiro requerimento administrativo quando presentes as condições para sua concessão,Direito Previdenciário,Direito Previdenciário,"Previdência Social, Processo Previdenciário","Previdência Social, Previdenciário Judicial",api,scope_all,
74,0002833-29.2010.4.01.3701,Licenciamento ex officio de militar temporário por conveniência administrativa versus cabimento de reintegração e indenização por suposto dano moral decorrente de ato discricionári,Direito Administrativo,Direito Militar,"Direito Administrativo Disciplinar, Direito Militar","Direito Administrativo Militar, Disciplina Administrativa",api,scope_all,
75,0005650-62.2007.4.01.3801,Partilha da metade da pensão por morte militar entre cônjuge e ex-cônjuge e destinação da outra metade aos filhos menores até 21 anos,Direito Previdenciário,Direito Previdenciário,"Pensão por Morte Militar, Regime Próprio de Previdência","Pensão por Morte Militar, Regime Próprio de Previdência Social",api,scope_all,
76,1001426-74.2019.4.01.9999,"Reconhecimento de tempo de serviço especial de frentistas de postos de combustíveis por exposição a hidrocarbonetos até a vigência da Lei 9.032/1995, discutindo caráter insalubre e",Direito Previdenciário,Direito Previdenciário,"Benefícios Previdenciários, Seguridade Social","Benefício previdenciário, Tempo de contribuição especial",api,scope_all,
77,1029016-26.2019.4.01.9999,Reconhecimento de início de prova material com corroboração testemunhal para concessão de aposentadoria rural por idade e discussão sobre isenção de custas do INSS conforme foro co,Direito Previdenciário,Direito Previdenciário,"Processo Previdenciário, Seguridade Social","Benefício previdenciário, Processo administrativo e judicial previdenciário",api,scope_all,
78,0000645-43.2008.4.01.3601,"Gestão fraudulenta de instituição financeira mediante uso de laranjas e transferências indevidas a funcionários, caracterizando apropriação e afastando desclassificação para gestão",Direito Penal,Direito Penal,"Criminal Compliance Bancário, Direito Penal Econômico","Direito Penal Econômico, Criminal Financeiro",api,scope_all,
79,0003446-54.2011.4.01.3300,"Alegação de excludente de culpabilidade por dificuldades financeiras da empresa em ação penal por apropriação indébita previdenciária, exigindo prova cabal e robusta da situação ad",Direito Penal,Direito Penal,"Direito Penal Empresarial, Direito Penal Tributário","Direito Penal Tributário, Direito Penal Empresarial",api,scope_all,
80,1018180-18.2019.4.01.0000,Indisponibilidade de bens por indícios de improbidade administrativa e aplicação de constrição individualizada observando ordem de bens e limite de impenhorabilidade,Direito Público,Direito Administrativo,"Direito Administrativo, Processual Civil","Improbidade Administrativa, Responsabilidade Civil do Estado",api,scope_all,
81,0032535-89.2006.4.01.3400,Responsabilidade civil da contratante por culpa in eligendo de prestadora que permitiu saque fraudulento do FGTS por empregado terceirizado,Direito Civil,Direito Civil,"Direito Contratual, Responsabilidade Civil","Responsabilidade Civil, Direito Contratual",api,scope_all,
82,0001180-83.2010.4.01.3800,Validade e eficácia probatória de contrato adesivo de cartão de crédito sem assinatura e sua conversão em título executivo judicial mediante demonstrativos e extratos comprovantes ,Direito Civil,Direito Civil,"Contratos, Direito do Consumidor","Contratos, Responsabilidade Civil Contratual",api,scope_all,
83,1002273-83.2018.4.01.3800,Legalidade da colação de grau diante de ausência de previsão legal de sanção por não preenchimento do formulário do Enade e controvérsia sobre impedimento de registro do diploma,Direito Administrativo,Direito Administrativo,"Direito Constitucional, Direito Educacional","Direito Constitucional Administrativo, Serviços Públicos",api,scope_all,
84,0009738-25.2015.4.01.3200,Aplicação da Lei 12.990/2014 para nomeação de candidato cotista negro ou pardo preterido e obrigação de provimento imediato com possibilidade de posse antes do trânsito em julgado ,Direito Administrativo,Direito Administrativo,"Direito Administrativo Disciplinar, Direito Administrativo Previdenciário","Servidores Públicos, Processo Administrativo",api,scope_all,
85,0000647-68.2007.4.01.3400,Direito administrativo e servidores públicos sobre permanência em imóvel funcional em razão da proteção das expectativas legítimas do servidor pelo princípio da confiança diante de,Direito Administrativo,Direito Administrativo,"Direitos Fundamentais, Servidores Públicos","Serviço Público, Direitos Fundamentais",api,scope_all,
86,1008609-66.2019.4.01.3801,Incidência do PIS e da Cofins sobre faturamento incluindo taxas de administradoras de cartões cobradas e embutidas no preço das operações com cartões,Direito Tributário,Direito Tributário,"Contribuições Sociais, Tributação Federal","Tributação indireta, Tributação sobre a renda",api,scope_all,
87,0002022-02.2015.4.01.3505,Responsabilidade pela condenação em honorários quando crédito tributário decorre de erro do contribuinte no preenchimento de DCTF e aplicação do princípio da causalidade,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Tributação Federal, Imunidade Tributária",api,scope_all,
88,0005305-59.2016.4.01.3000,Nulidade do lançamento tributário e da execução fiscal por ausência de notificação prévia do sujeito passivo quanto ao lançamento e sua repercussão sobre a exigibilidade do crédito,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário Administrativo","Direito Tributário Processual, Processo de Execução Fiscal",api,scope_all,
89,0056214-55.2014.4.01.0000,"Admissibilidade de penhora sobre percentual da arrecadação mensal de condomínio devedor após esgotadas diligências para localização de bens penhoráveis, sem comprometer a atividade",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Contencioso Administrativo e Judicial Tributário",api,scope_all,
90,0014339-32.2011.4.01.4100,Depósito judicial em execução fiscal não extingue o feito sem prévia conversão em renda e sem oitiva do exequente sobre suficiência do valor,Direito Processual,Direito Processual,"Execução fiscal, Processo Civil","Execução Fiscal e de Sentença, Processo de Execução Fiscal",api,scope_all,
91,1000260-07.2019.4.01.9999,"Incidência do art. 40 da Lei 6.830/1980 e suspensão com arquivamento provisório em execução fiscal sem prévia intimação, afastando extinção por abandono",Processual Civil,Direito Processual Civil,"Processo Civil Geral, Processo de Execução Fiscal","Processo de Execução, Execução Fiscal e de Sentença",api,scope_all,
92,1030417-21.2018.4.01.0000,Trancamento de ação penal em HC por alegada inépcia da denúncia e exigência de demonstração de prejuízo à defesa para nulidade e prosseguimento investigativo,Direito Penal,Direito Penal,"Criminal Econômico, Processo Penal","Direito Penal Substantivo, Processo Penal",api,scope_all,
93,1003531-92.2017.4.01.3500,Aplicação de multa administrativa pelo Procon contra instituição financeira por obstrução de canais de atendimento convencionais e falha no serviço bancário,Direito Administrativo,Direito do Consumidor,"Direito Administrativo Sancionador, Direito do Consumidor","Direito do Consumidor, Serviços Públicos",api,scope_all,
95,0003422-11.2012.4.01.3811,"Construção em faixa de domínio de rodovia federal como detenção irregular e impossibilidade de proteção possessória, com necessidade de demolição para preservação da segurança viár",Direito Administrativo,Direito Administrativo,"Direito Ambiental, Direito Urbanístico","Direito Administrativo Patrimonial, Serviços Públicos",api,scope_all,
96,0004248-26.2005.4.01.3700,Possibilidade de liberação e repasse de verbas federais a município inscrito em cadastro de inadimplentes para preservar continuidade de políticas públicas diante de risco comprova,Direito Administrativo,Direito Administrativo,"Controle Administrativo, Direito Financeiro","Serviços Públicos, Controle da Administração Pública",api,scope_all,
97,0000898-58.2013.4.01.3503,"Dedutibilidade no IRPF de despesas médicas, fisioterapêuticas e odontológicas comprovadas versus presunção fiscal e ônus probatório quanto à validade dos recibos formais",Direito Tributário,Direito Tributário,"Direito Processual Tributário, Direito Tributário Material","Direito Tributário Material, Contencioso Administrativo e Judicial Tributário",api,scope_all,
98,1034374-30.2018.4.01.0000,Expedição de precatório em cumprimento de sentença com impugnação total do valor executado exigindo trânsito em julgado da decisão que julgou a impugnação antes da expedição,Direito Processual,Direito Processual,"Execução Fiscal e de Sentença, Processo Civil","Execução Fiscal e Precatórios, Execução e Cumprimento de Sentença",api,scope_all,
99,0003431-73.2002.4.01.3600,Nulidade de títulos dominiais sobre terras tradicionalmente ocupadas por indígenas e controvérsia sobre afastamento da configuração de desapropriação indireta diante da proteção co,Direitos Humanos,Direitos Humanos,"Direito Agrário, Direito Constitucional","Direitos Indígenas, Direito Constitucional",api,scope_all,
100,1005271-42.2018.4.01.3600,"Validade da busca pessoal realizada com fundada suspeita, limites do poder de polícia preventiva e proteção dos direitos fundamentais de liberdade e integridade corporal",Direito Penal,Direito Penal,"Direitos Fundamentais, Processo Penal","Direitos e garantias fundamentais, Processual Penal",api,scope_all,
101,1000127-42.2018.4.01.4100,Execução penal: discussão sobre descumprimento do prazo de 60 dias do art. 4º do Decreto 6.877/2009 e necessidade de recambiamento automático ou regularização documental,Direito Penal,Direito Penal,"Execução Penal, Processo Penal","Execução Penal, Direito Processual Penal",api,scope_all,
102,0007946-83.2014.4.01.3810,Interrupção do prazo decenal de usucapião pela inscrição de penhora em execução fiscal sobre imóvel com escritura não registrada,Direito Civil,Direito Civil,"Direito Processual Civil, Direito Registral","Direito Registral Imobiliário, Direitos difusos e coletivos",api,scope_all,
103,0026129-32.2004.4.01.3300,"Caracterização da atividade postal como serviço público essencial, preservação do sigilo e comunicação, aplicação do princípio da universalização e competência privativa da União",Direito Administrativo,Direito Administrativo,"Direitos Fundamentais, Serviços Públicos","Serviço Público, Direito Constitucional Administrativo",api,scope_all,
104,0001420-39.2005.4.01.3803,Responsabilidade civil da instituição bancária por abertura irregular de conta via procuração e da Fazenda Pública subsidiariamente pela escolha do prestador,Direito Civil,Direito Civil,"Direito Administrativo, Responsabilidade Civil","Responsabilidade Civil, Direito Bancário",api,scope_all,
105,1003359-33.2015.4.01.3400,Pagamento imediato de parcelas vencidas de progressão e ascensão funcional reconhecidas administrativamente e impositividade da obrigação independentemente de dotação orçamentária,Direito Administrativo,Direito Administrativo,"Direito Financeiro, Direito Público","Servidores Públicos, Direito Financeiro",api,scope_all,
106,0007446-22.2015.4.01.3700,Aplicabilidade das emendas constitucionais que estabeleceram tetos previdenciários e controvérsia sobre reajuste automático de benefícios que não alcançaram o limite máximo,Direito Previdenciário,Direito Previdenciário,"Direito Administrativo Previdenciário, Direito Constitucional Previdenciário","Previdenciário Substantivo, Regime Geral de Previdência Social",api,scope_all,
107,1006735-83.2018.4.01.3800,"Início da licença-gestante a partir do parto com extensão vinculada à alta hospitalar do recém-nascido em casos de prematuridade, discutindo proteção constitucional da maternidade ",Direito Administrativo,Direito Administrativo,"Direito Administrativo Disciplinar, Direito Previdenciário","Direito Administrativo Disciplinar, Servidores Públicos",api,scope_all,
