row_number,numero_processo,tema,before_ramo,after_ramo,before_subramo,after_subramo,method,reason,llm_error
670,0007236-73.2012.4.01.3700,"Litispendência parcial e extinção parcial de demanda quando houver sentença anterior em ação conexa, evitando reunião de processos e decisões conflitantes",Processual Civil,Direito Processual Civil,"Processo Civil Material, Processo Civil Processual","Processo Civil Material, Processo Civil Processual",baseline,,
682,1015288-39.2019.4.01.0000,"Validade da recusa em oferecer bens à penhora e exigência de fundamentação para afastamento da ordem de preferência do art. 11 da Lei 6.830/1980, à luz da Tese 578",Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
683,1017731-94.2018.4.01.0000,Possibilidade e limites do bloqueio de ativos via BacenJud sem prévia citação do contribuinte em execução fiscal ou medida cautelar,Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
706,1026522-81.2020.4.01.0000,Legalidade de portaria que alterna remoção de servidores e nomeação durante validade de concurso público e seus efeitos sobre provimento de vagas,Direito Administrativo,Direito Administrativo,"Processo Administrativo, Servidores Publicos","Processo Administrativo, Servidores Públicos",baseline,,
721,1000570-75.2017.4.01.3502,Aplicação da Lei 9.514/1997 versus CDC em ação de rescisão por desinteresse do adquirente e apuração de restituição e satisfação da dívida,Direito Civil,Direito Civil,"Direito Contratual, Direito Imobiliario","Direito Contratual, Direito Imobiliário",baseline,,
758,0082950-95.2014.4.01.3400,Rendimentos de peritos vinculados a acordo de assistência técnica com organismo das Nações Unidas e controvérsia sobre a isenção do imposto de renda prevista no decreto promulgador,Direito Tribute1rio,Direito Tributário,"Imunidades e isencoes tributarias, Tributacao direta","Imunidades e isencoes tributarias, Tributação direta",baseline,,
760,0037209-42.2017.4.01.0000,Declinação de competência de ofício pelo juízo federal em execução fiscal quando domicílio do devedor não coincide com sede de vara da Justiça Federal,Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
772,1009744-12.2020.4.01.9999,Alienação de imóvel após inscrição do débito em dívida ativa e discussão sobre presunção absoluta de fraude à execução e a irrelevância da boa-fé do adquirente,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
773,1007453-19.2018.4.01.3400,Impossibilidade de aplicação simultânea da multa isolada e da multa de ofício do art. 44 da Lei 9.430/1996 e limite cumulativo de 100% sobre o tributo devido,Direito Tributário,Direito Tributário,"Direito Tributário Substantivo, Processo Tributário","Direito Tributário Substantivo, Processual Tributário",baseline,,
799,0000067-02.2016.4.01.3310,Fixação e alteração do valor da causa em embargos à execução de título judicial e efeitos sobre honorários sucumbenciais e exigibilidade do título,Processual Civil,Direito Processual Civil,"Processo de Execução, Recursos e Embargos","Processo de Execução, Recursos e Embargos",baseline,,
828,0018247-66.2007.4.01.3800,"Regime temporal aplicável à fixação de honorários sucumbenciais em ação iniciada sob o CPC/1973 e decidida após o CPC/2015, definindo marco temporal e critérios legais",Processual Civil,Direito Processual Civil,"Honorários Advocatícios, Processo de Conhecimento","Honorários Advocatícios, Processo de Conhecimento",baseline,,
846,1019618-79.2019.4.01.0000,Correção de erro material em agravo de instrumento e possibilidade de sua análise de ofício sem incidência de preclusão ou coisa julgada antes do julgamento,Processual Civil,Direito Processual Civil,"Processo de Conhecimento, Recursos","Processo de Conhecimento, Recursos",baseline,,
855,1001789-80.2019.4.01.4302,Restabelecimento de aposentadoria rural suspensa por suspeitas de irregularidade e necessidade de observância do devido processo legal na autotutela administrativa,Direito Administrativo,Direito Administrativo,"Controle Administrativo, Direito Previdenciario","Controle Administrativo, Direito Previdenciário",baseline,,
880,1008289-02.2021.4.01.0000,"Admissibilidade de audiência por videoconferência segundo Resolução 314 do CNJ e limites quanto à intimação, deslocamento e responsabilidade por comparecimento de partes e testemun",Processual,Direito Processual,"Processo Civil, Processo Penal","Processo Civil, Processo Penal",baseline,,
887,1026667-16.2020.4.01.9999,Concessão de justiça gratuita a pessoa jurídica falida e necessidade de prova específica de incapacidade financeira para afastar presunção,Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
895,1012432-35.2020.4.01.3600,"Impedimento e suspeição de magistrado que foi testemunha em processo estrangeiro sobre bens do excipiente, discutindo necessidade de interesse processual e aplicação do art. 252 do",Processual Penal,Direito Processual Penal,"Direito Processual Penal, Teoria do Impedimento e Suspeição","Direito Processual Penal, Teoria do Impedimento e Suspeição",baseline,,
903,1034301-58.2018.4.01.0000,Aplicação da multa do art. 265 do CPP por abandono de causa quando advogado intimado não comparece sem justificativa legal,Processual Penal,Direito Processual Penal,"Processo Penal, Ética Profissional","Processo Penal, Ética Profissional",baseline,,
933,0007638-65.2005.4.01.4100,"Execução e reembolso de custas processuais adiantadas pela parte embargada, controvérsia sobre base de cálculo e título executivo para cobrança e atualização dos valores",Processual Civil,Direito Processual Civil,"Execução, Honorários Advocatícios","Execução, Honorários Advocatícios",baseline,,
941,1005328-32.2020.4.01.3813,"Obrigação da parte concedente de estágio presencial fora da universidade de assegurar saúde e segurança, observando razoabilidade e proporcionalidade na manutenção das atividades d",Direito Administrativista,Direito Administrativo,"Direito Educacional, Direito do Trabalho","Direito Educacional, Direito do Trabalho",baseline,,
949,1012098-97.2021.4.01.0000,Competência dos Juizados Especiais Federais quanto ao litisconsórcio ativo facultativo e necessário e valoração individual versus global da causa,Processual,Direito Processual,"Juizados Especiais Federais, Processo Civil","Juizados Especiais Federais, Processo Civil",baseline,,
960,0001978-73.2008.4.01.3813,Embargos de terceiro sobre meação em execução fiscal extinta pelo pagamento e controvérsia sobre responsabilidade do terceiro por honorários advocatícios e comissão de leiloeiro,Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
963,0017019-58.2017.4.01.0000,"Cabimento de ação rescisória fundamentada no art. 966, V, do CPC/2015 quando acórdão rescindendo está alinhado ao entendimento do Tribunal Superior vigente à época",Processual Civil,Direito Processual Civil,"Ação Rescisória, Processo de Conhecimento","Ação Rescisória, Processo de Conhecimento",baseline,,
1013,0007182-47.2006.4.01.3400,Inexigibilidade de cobrança de estampilha para controle do IPI por vício formal na instituição e obrigação de ressarcimento do valor indevidamente exigido,Direito Tributário,Direito Tributário,"Processo Tributário, Tributação Federal","Processual Tributário, Tributação Federal",baseline,,
1031,1000323-72.2018.4.01.3304,Termo inicial da correção monetária de ressarcimento de crédito escritural após 360 dias de pedido administrativo sem manifestação do Fisco,Direito Tributário,Direito Tributário,"Direito Administrativo Tributário, Processo Tributário","Direito Administrativo Tributário, Processual Tributário",baseline,,
1032,1002355-21.2020.4.01.3000,Ação de restituição de tributo pago a maior pela pessoa jurídica sem exigência de prévio requerimento administrativo e discussão sobre exigibilidade do requisito processual,Direito Tributário,Direito Tributário,"Processo Tributário, Tributário Substantivo","Processual Tributário, Tributário Substantivo",baseline,,
1049,0002256-11.2016.4.01.3905,"Execução fiscal: impossibilidade de redirecionamento contra o espólio quando o devedor faleceu antes da citação, à luz da Súmula 392 do STJ",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
1079,0045910-31.2013.4.01.0000,Suspensão do processo em razão da morte da parte e a inexistência de prescrição intercorrente no período de habilitação dos herdeiros pelas provas e circunstâncias do caso,Processual Civil,Direito Processual Civil,"Execução, Processo de Conhecimento","Execução, Processo de Conhecimento",baseline,,
1107,1009007-43.2019.4.01.9999,Efeito do retorno dos autos para diligências e prova administrativa sobre validade de sentença proferida e necessidade de decisão expressa do Tribunal para anulação,Processual,Direito Processual,"Processo Administrativo, Processo Civil","Processo Administrativo, Processo Civil",baseline,,
1124,1006047-21.2018.4.01.3801,Reintegra: controvérsia sobre redução de alíquota configurando aumento indireto de tributo e violação da anterioridade nonagesimal constitucional,Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Direito Tributário Material, Processual Tributário",baseline,,
1143,0011092-34.1996.4.01.3400,"Execução fiscal extinta por cancelamento do débito e levantamento de valores depositados, com discussão sobre condenação em honorários advocatícios aplicando o princípio da causali",Processual,Direito Processual,"Execução fiscal, Processo Civil","Execução fiscal, Processo Civil",baseline,,
1176,1018586-78.2020.4.01.9999,Extinção automática da execução fiscal por prescrição intercorrente quinquenal na Lei de Execução Fiscal sem exigência de intimação para efeitos,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
1179,1018212-23.2019.4.01.0000,Execução não embargada contra particular com valor do débito inferior a 60 salários mínimos e a inaplicabilidade de honorários advocatícios,Processual Civil,Direito Processual Civil,"Honorários Advocatícios, Processo de Execução","Honorários Advocatícios, Processo de Execução",baseline,,
1186,1000851-80.2016.4.01.3400,Direito tributário e administrativo tributário: competência para cobrança de contribuição de intervenção no domínio econômico atribuída à Receita Federal e ausência de legitimidade,Direito Tributário,Direito Tributário,"Direito Administrativo Tributário, Processo Tributário","Direito Administrativo Tributário, Processual Tributário",baseline,,
1187,1001938-47.2020.4.01.0000,Conflito negativo de competência entre órgãos judicantes em processos penais conexos quanto à impossibilidade de reunião para unificação quando já houver sentença definitiva em uma,Processual Penal,Direito Processual Penal,"Competência, Processo Penal","Competência, Processo Penal",baseline,,
1199,0028496-71.2010.4.01.3800,"Flexibilização do ônus da prova em ação de ressarcimento por cobrança de empréstimo compulsório de energia elétrica, determinando produção documental pela parte que detém melhores ",Processual Civil,Direito Processual Civil,"Processo de Conhecimento, Prova","Processo de Conhecimento, Prova",baseline,,
1201,0001636-11.2007.4.01.3809,Inadequação do mandado de segurança para discutir inclusão ou exclusão de corresponsável em execução fiscal e necessidade de solução nos autos próprios mediante embargos ou recurso,Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
1203,0047531-24.2007.4.01.9199,"Prescrição na execução fiscal de IRPJ por lançamento por homologação: constituição definitiva do crédito, início do prazo prescricional e efeitos interruptivos da citação válida, s",Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Direito Tributário Material, Processual Tributário",baseline,,
1204,0072192-04.2016.4.01.0000,Competência dos Juizados Especiais Federais para exame grafotécnico classificado como perícia de baixa complexidade e aplicação do §3º do art.3º da Lei 10.259/2001,Processual,Direito Processual,"Processo Civil, Processo Penal","Processo Civil, Processo Penal",baseline,,
1229,1018375-08.2021.4.01.9999,"Adesão a parcelamento ou requerimento administrativo interrompe prazo prescricional da execução fiscal por configurar confissão extrajudicial, aplicando-se o art. 174, parágrafo ún",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
1231,1019312-32.2018.4.01.3400,Legitimidade ativa da União para ação de repetição de indébito tributário relativa à isenção de IRPF e ilegitimidade passiva da Previ como mero arrecadador,Direito Tributário,Direito Tributário,"Direito Previdenciário, Processo Tributário","Direito Previdenciário, Processual Tributário",baseline,,
1286,1024632-44.2019.4.01.0000,"Aplicação do art. 782, §3º do CPC na execução fiscal para inclusão do devedor em cadastros de inadimplentes sem esgotamento prévio de medidas executivas",Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
1288,1026856-57.2021.4.01.9999,"Extinção da execução fiscal por prescrição intercorrente quinquenal quando o Fisco não localiza bens ou o devedor, independentemente de intimação judicial",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
1304,1026348-48.2020.4.01.9999,Indeferimento da petição inicial em pedido de salário-maternidade por ausência de comprovante de residência quando apresentada declaração de moradia em imóvel alugado,Processual Civil,Direito Processual Civil,"Processo de Conhecimento, Tutela Provisória e Admissibilidade","Processo de Conhecimento, Tutela Provisória e Admissibilidade",baseline,,
1331,0004906-81.2008.4.01.3300,Prescrição em execução fiscal decidida em exceção de pré-executividade e impossibilidade de rediscussão nos embargos por preclusão consumativa e coisa julgada,Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
1341,0014615-38.2011.4.01.3300,Natureza patrimonial da CFEM e incidência de prazos prescricionais e decadenciais previstos no Decreto 20.910/1932 e Leis 9.636/1998 e 9.821/1999,Direito Tributário,Direito Tributário,"Processo Tributário, Tributação sobre recursos naturais","Processual Tributário, Tributação sobre recursos naturais",baseline,,
1364,0002607-83.2013.4.01.3809,Validade e admissibilidade de laudo pericial quando há publicação posterior do perito e discussão sobre suspeição e homologação do exame judicial,Processual,Direito Processual,"Perícia Judicial, Processo Civil","Perícia Judicial, Processo Civil",baseline,,
1378,0031511-26.2006.4.01.3400,Servidor público denunciado: impossibilidade de redução salarial durante afastamento provisório diante da presunção de inocência e ausência de condenação transitada em julgado,Direito Administrativo,Direito Administrativo,"Direito Penal-Administrativo, Servidores Públicos","Direito Penal Administrativo, Servidores Públicos",baseline,,
1408,1000147-26.2019.4.01.3800,Desistência intempestiva de impugnação ou recurso e impossibilidade de inclusão de débitos no Programa Especial de Regularização Tributária,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
