ata_id,ano,data_sessao,tipo,num,titulo,be_n,be_data,arquivo,origem,pag_ini,pag_fim,pngs,ocr_txt,dificuldade,no_ensaio,status,confianca,transcricao,parecer,fidelidade
1932-08-13-o12-99156-p9,1932,1932-08-13,ordinaria,12,"12ª SESSÃO ORDINÁRIA, EM 13 DE AGOSTO DE 1932",9,1932-08-24,1932-08-24 - BE n009 [99156].pdf,BEs 1932\AGOSTO\24\99156\00000009.pdf,9,9,_paginas\99156\p009.png,_ocr\1932-08-13-o12-99156-p9.txt,facil,1,transcrita,alta,1932\1932-08-13-o12-99156-p9.md,,
1932-08-16-x16-99182-p6,1932,1932-08-16,,16,"16ª SESSÃO, EM 16 DE AGOSTO DE 1932 (TRIBUNAL REGIONAL DE JUSTIÇA ELEITORAL DO DISTRITO FEDERAL)",35,1932-12-28,1932-12-28 - BE n035 [99182].pdf,BEs 1932\DEZEMBRO\28\99182\00000035.pdf,6,7,_paginas\99182\p006.png;_paginas\99182\p007.png,_ocr\1932-08-16-x16-99182-p6.txt,facil,0,regional,alta,1932\1932-08-16-x16-99182-p6.md,,
1932-08-19-x17-99182-p7,1932,1932-08-19,,17,"17ª SESSÃO, EM 19 DE AGOSTO DE 1932",35,1932-12-28,1932-12-28 - BE n035 [99182].pdf,BEs 1932\DEZEMBRO\28\99182\00000035.pdf,7,9,_paginas\99182\p007.png;_paginas\99182\p008.png;_paginas\99182\p009.png,_ocr\1932-08-19-x17-99182-p7.txt,facil,0,regional,alta,1932\1932-08-19-x17-99182-p7.md,,
1932-08-20-o0-99157-p2,1932,1932-08-20,ordinaria,13,"13ª SESSÃO ORDINÁRIA, EM 20 DE AGOSTO DE 1932",10,1932-08-27,1932-08-27 - BE n010 [99157].pdf,BEs 1932\AGOSTO\27\99157\00000010.pdf,2,3,_paginas\99157\p002.png;_paginas\99157\p003.png,_ocr\1932-08-20-o0-99157-p2.txt,facil,0,duplicada,alta,1932\1932-08-20-o0-99157-p2.md,,
1932-08-20-o13-99157-p2,1932,1932-08-20,ordinaria,13,"13ª SESSÃO ORDINÁRIA, EM 20 DE AGOSTO DE 1932",10,1932-08-27,1932-08-27 - BE n010 [99157].pdf,BEs 1932\AGOSTO\27\99157\00000010.pdf,2,3,_paginas\99157\p002.png;_paginas\99157\p003.png,_ocr\1932-08-20-o13-99157-p2.txt,facil,1,transcrita,alta,1932\1932-08-20-o13-99157-p2.md,,
1932-08-23-x18-99304-p5,1932,1932-08-23,,18,"18ª SESSÃO, EM 23 DE AGOSTO DE 1932",28,1933-02-10,1933-02-10 - BE n028 [99304].pdf,BEs 1933\FEVEREIRO\10\99304\00000028.pdf,5,7,_paginas\99304\p005.png;_paginas\99304\p006.png;_paginas\99304\p007.png,_ocr\1932-08-23-x18-99304-p5.txt,facil,0,regional,alta,1932\1932-08-23-x18-99304-p5.md,,
1932-08-24-e10-99160-p2,1932,1932-08-24,extraordinaria,10,"10ª SESSÃO EXTRAORDINÁRIA, EM 24 DE AGOSTO DE 1932",13,1932-09-14,1932-09-14 - BE n013 [99160].pdf,BEs 1932\SETEMBRO\14\99160\00000013.pdf,2,3,_paginas\99160\p002.png;_paginas\99160\p003.png,_ocr\1932-08-24-e10-99160-p2.txt,facil,1,transcrita,alta,1932\1932-08-24-e10-99160-p2.md,,
1932-08-24-x0-99162-p3,1932,1932-08-24,,,"ATA DA SESSÃO, EM 24 DE AGOSTO DE 1932",15,1932-09-28,1932-09-28 - BE n015 [99162].pdf,BEs 1932\SETEMBRO\28\99162\00000015.pdf,3,5,_paginas\99162\p003.png;_paginas\99162\p004.png;_paginas\99162\p005.png,_ocr\1932-08-24-x0-99162-p3.txt,facil,0,problema,baixa,1932\1932-08-24-x0-99162-p3.md,,
1932-08-27-o0-99160-p3,1932,1932-08-27,ordinaria,14,"14ª SESSÃO ORDINÁRIA, EM 27 DE AGOSTO DE 1932",13,1932-09-14,1932-09-14 - BE n013 [99160].pdf,BEs 1932\SETEMBRO\14\99160\00000013.pdf,3,5,_paginas\99160\p003.png;_paginas\99160\p004.png;_paginas\99160\p005.png,_ocr\1932-08-27-o0-99160-p3.txt,facil,0,revisada,alta,1932\1932-08-27-o0-99160-p3.md,1932\1932-08-27-o0-99160-p3.parecer.json,10
1932-08-29-x0-99305-p3,1932,1932-08-29,,19,"19ª SESSÃO, EM 29 DE AGOSTO DE 1932",29,1933-02-11,1933-02-11 - BE n029 [99305].pdf,BEs 1933\FEVEREIRO\11\99305\00000029.pdf,3,4,_paginas\99305\p003.png;_paginas\99305\p004.png,_ocr\1932-08-29-x0-99305-p3.txt,facil,0,regional,alta,1932\1932-08-29-x0-99305-p3.md,,
1932-09-06-x20-99305-p4,1932,1932-09-06,,20,"20ª SESSÃO, EM 6 DE SETEMBRO DE 1932",29,1933-02-11,1933-02-11 - BE n029 [99305].pdf,BEs 1933\FEVEREIRO\11\99305\00000029.pdf,4,5,_paginas\99305\p004.png;_paginas\99305\p005.png,_ocr\1932-09-06-x20-99305-p4.txt,facil,0,regional,alta,1932\1932-09-06-x20-99305-p4.md,,
1932-09-09-x21-99305-p5,1932,1932-09-09,ordinaria,21,"21ª SESSÃO, EM 9 DE SETEMBRO DE 1932",29,1933-02-11,1933-02-11 - BE n029 [99305].pdf,BEs 1933\FEVEREIRO\11\99305\00000029.pdf,5,6,_paginas\99305\p005.png;_paginas\99305\p006.png,_ocr\1932-09-09-x21-99305-p5.txt,facil,0,regional,alta,1932\1932-09-09-x21-99305-p5.md,,
1932-09-10-o0-99161-p2,1932,1932-09-10,ordinaria,16,"16ª SESSÃO ORDINÁRIA, EM 10 DE SETEMBRO DE 1932",14,1932-09-21,1932-09-21 - BE n014 [99161].pdf,BEs 1932\SETEMBRO\21\99161\00000014.pdf,2,4,_paginas\99161\p002.png;_paginas\99161\p003.png;_paginas\99161\p004.png,_ocr\1932-09-10-o0-99161-p2.txt,facil,0,transcrita,alta,1932\1932-09-10-o0-99161-p2.md,,
1932-09-13-x22-99305-p5,1932,1932-09-13,,22,"22ª SESSÃO, EM 13 DE SETEMBRO DE 1932",29,1933-02-11,1933-02-11 - BE n029 [99305].pdf,BEs 1933\FEVEREIRO\11\99305\00000029.pdf,5,6,_paginas\99305\p005.png;_paginas\99305\p006.png,_ocr\1932-09-13-x22-99305-p5.txt,facil,0,regional,alta,1932\1932-09-13-x22-99305-p5.md,,
1932-09-16-x23-99305-p6,1932,1932-09-16,,23,"23ª SESSÃO, EM 16 DE SETEMBRO DE 1932",29,1933-02-11,1933-02-11 - BE n029 [99305].pdf,BEs 1933\FEVEREIRO\11\99305\00000029.pdf,6,7,_paginas\99305\p006.png;_paginas\99305\p007.png,_ocr\1932-09-16-x23-99305-p6.txt,facil,0,regional,alta,1932\1932-09-16-x23-99305-p6.md,,
1932-09-17-o17-99162-p2,1932,1932-09-17,ordinaria,17,"17ª SESSÃO ORDINÁRIA, EM 17 DE SETEMBRO DE 1932",15,1932-09-28,1932-09-28 - BE n015 [99162].pdf,BEs 1932\SETEMBRO\28\99162\00000015.pdf,2,3,_paginas\99162\p002.png;_paginas\99162\p003.png,_ocr\1932-09-17-o17-99162-p2.txt,facil,1,transcrita,alta,1932\1932-09-17-o17-99162-p2.md,,
1932-09-20-x24-99305-p7,1932,1932-09-20,,24,"24ª SESSÃO, EM 20 DE SETEMBRO DE 1932",29,1933-02-11,1933-02-11 - BE n029 [99305].pdf,BEs 1933\FEVEREIRO\11\99305\00000029.pdf,7,8,_paginas\99305\p007.png;_paginas\99305\p008.png,_ocr\1932-09-20-x24-99305-p7.txt,facil,0,regional,alta,1932\1932-09-20-x24-99305-p7.md,,
1932-09-23-x0-99189-p3,1932,1932-09-23,,25,"25ª SESSÃO, EM 23 DE SETEMBRO DE 1932",7,1933-01-17,1933-01-17 - BE n007 [99189].pdf,BEs 1933\JANEIRO\17\99189\00000007.pdf,3,4,_paginas\99189\p003.png;_paginas\99189\p004.png,_ocr\1932-09-23-x0-99189-p3.txt,facil,0,regional,alta,1932\1932-09-23-x0-99189-p3.md,,
1932-09-24-o0-99163-p8,1932,1932-09-24,ordinaria,18,"18ª SESSÃO ORDINÁRIA, EM 24 DE SETEMBRO DE 1932",16,1932-10-05,1932-10-05 - BE n016 [99163].pdf,BEs 1932\OUTUBRO\05\99163\00000016.pdf,8,10,_paginas\99163\p008.png;_paginas\99163\p009.png;_paginas\99163\p010.png,_ocr\1932-09-24-o0-99163-p8.txt,facil,0,transcrita,alta,1932\1932-09-24-o0-99163-p8.md,,
1932-09-27-x26-99189-p4,1932,1932-09-27,,26,"26ª SESSÃO, EM 27 DE SETEMBRO DE 1932",7,1933-01-17,1933-01-17 - BE n007 [99189].pdf,BEs 1933\JANEIRO\17\99189\00000007.pdf,4,5,_paginas\99189\p004.png;_paginas\99189\p005.png,_ocr\1932-09-27-x26-99189-p4.txt,facil,0,regional,alta,1932\1932-09-27-x26-99189-p4.md,,
1932-09-30-x0-99189-p4,1932,1932-09-30,,27,"27ª SESSÃO, EM 30 DE SETEMBRO DE 1932",7,1933-01-17,1933-01-17 - BE n007 [99189].pdf,BEs 1933\JANEIRO\17\99189\00000007.pdf,4,5,_paginas\99189\p004.png;_paginas\99189\p005.png,_ocr\1932-09-30-x0-99189-p4.txt,facil,0,regional,alta,1932\1932-09-30-x0-99189-p4.md,,
1932-10-01-o0-99164-p2,1932,1932-10-01,ordinaria,19,"19ª SESSÃO ORDINÁRIA, EM 1 DE OUTUBRO DE 1932",17,1932-10-12,1932-10-12 - BE n017 [99164].pdf,BEs 1932\OUTUBRO\12\99164\00000017.pdf,2,4,_paginas\99164\p002.png;_paginas\99164\p003.png;_paginas\99164\p004.png,_ocr\1932-10-01-o0-99164-p2.txt,facil,0,duplicada,alta,1932\1932-10-01-o0-99164-p2.md,,
1932-10-01-o19-99164-p2,1932,1932-10-01,ordinaria,19,"19ª SESSÃO ORDINÁRIA, EM 1 DE OUTUBRO DE 1932",17,1932-10-12,1932-10-12 - BE n017 [99164].pdf,BEs 1932\OUTUBRO\12\99164\00000017.pdf,2,4,_paginas\99164\p002.png;_paginas\99164\p003.png;_paginas\99164\p004.png,_ocr\1932-10-01-o19-99164-p2.txt,facil,1,transcrita,alta,1932\1932-10-01-o19-99164-p2.md,,
1932-10-04-x28-99189-p5,1932,1932-10-04,,28,"28ª SESSÃO, EM 4 DE OUTUBRO DE 1932",7,1933-01-17,1933-01-17 - BE n007 [99189].pdf,BEs 1933\JANEIRO\17\99189\00000007.pdf,5,7,_paginas\99189\p005.png;_paginas\99189\p006.png;_paginas\99189\p007.png,_ocr\1932-10-04-x28-99189-p5.txt,facil,0,regional,alta,1932\1932-10-04-x28-99189-p5.md,,
1932-10-07-x29-99305-p8,1932,1932-10-07,,29,"29ª SESSÃO, EM 7 DE OUTUBRO DE 1932",29,1933-02-11,1933-02-11 - BE n029 [99305].pdf,BEs 1933\FEVEREIRO\11\99305\00000029.pdf,8,10,_paginas\99305\p008.png;_paginas\99305\p009.png;_paginas\99305\p010.png,_ocr\1932-10-07-x29-99305-p8.txt,facil,0,regional,alta,1932\1932-10-07-x29-99305-p8.md,,
1932-10-11-x30-99305-p8,1932,1932-10-11,,30,"30ª SESSÃO, EM 11 DE OUTUBRO DE 1932",29,1933-02-11,1933-02-11 - BE n029 [99305].pdf,BEs 1933\FEVEREIRO\11\99305\00000029.pdf,8,10,_paginas\99305\p008.png;_paginas\99305\p009.png;_paginas\99305\p010.png,_ocr\1932-10-11-x30-99305-p8.txt,facil,0,regional,alta,1932\1932-10-11-x30-99305-p8.md,,
1932-10-15-x0-99167-p3,1932,1932-10-15,ordinaria,21,"ATA DA 21ª SESSÃO ORDINÁRIA, EM 15 DE OUTUBRO DE 1932",20,1932-10-26,1932-10-26 - BE n020 [99167].pdf,BEs 1932\OUTUBRO\26\99167\00000020.pdf,3,5,_paginas\99167\p003.png;_paginas\99167\p004.png;_paginas\99167\p005.png,_ocr\1932-10-15-x0-99167-p3.txt,facil,0,duplicada,baixa,1932\1932-10-15-x0-99167-p3.md,,
1932-10-15-o21-99167-p2,1932,1932-10-15,ordinaria,21,"ATA DA 21ª SESSÃO ORDINÁRIA, EM 15 DE OUTUBRO DE 1932",20,1932-10-26,1932-10-26 - BE n020 [99167].pdf,BEs 1932\OUTUBRO\26\99167\00000020.pdf,2,3,_paginas\99167\p002.png;_paginas\99167\p003.png,_ocr\1932-10-15-o21-99167-p2.txt,facil,1,transcrita,alta,1932\1932-10-15-o21-99167-p2.md,,
1932-10-18-x32-99306-p4,1932,1932-10-18,,32,"ATA DA 32ª SESSÃO, EM 18 DE OUTUBRO DE 1932",30,1933-02-13,1933-02-13 - BE n030 [99306].pdf,BEs 1933\FEVEREIRO\13\99306\00000030.pdf,4,6,_paginas\99306\p004.png;_paginas\99306\p005.png;_paginas\99306\p006.png,_ocr\1932-10-18-x32-99306-p4.txt,facil,0,regional,alta,1932\1932-10-18-x32-99306-p4.md,,
1932-10-21-x0-99307-p3,1932,1932-10-21,,33,"ATA DA 33ª SESSÃO, EM 21 DE OUTUBRO DE 1932",31,1933-02-14,1933-02-14 - BE n031 [99307].pdf,BEs 1933\FEVEREIRO\14\99307\00000031.pdf,3,5,_paginas\99307\p003.png;_paginas\99307\p004.png;_paginas\99307\p005.png,_ocr\1932-10-21-x0-99307-p3.txt,facil,0,duplicada,baixa,1932\1932-10-21-x0-99307-p3.md,,
1932-10-21-x33-99307-p3,1932,1932-10-21,,33,"ATA DA 33ª SESSÃO, EM 21 DE OUTUBRO DE 1932",31,1933-02-14,1933-02-14 - BE n031 [99307].pdf,BEs 1933\FEVEREIRO\14\99307\00000031.pdf,3,5,_paginas\99307\p003.png;_paginas\99307\p004.png;_paginas\99307\p005.png,_ocr\1932-10-21-x33-99307-p3.txt,facil,0,regional,alta,1932\1932-10-21-x33-99307-p3.md,,
1932-10-22-o22-99169-p2,1932,1932-10-22,ordinaria,22,"ATA DA 22ª SESSÃO ORDINÁRIA, EM 22 DE OUTUBRO DE 1932",22,1932-11-09,1932-11-09 - BE n022 [99169].pdf,BEs 1932\NOVEMBRO\09\99169\00000022.pdf,2,4,_paginas\99169\p002.png;_paginas\99169\p003.png;_paginas\99169\p004.png,_ocr\1932-10-22-o22-99169-p2.txt,facil,1,transcrita,alta,1932\1932-10-22-o22-99169-p2.md,,
1932-10-25-x0-99308-p3,1932,1932-10-25,,34,"ATA DA 34ª SESSÃO, EM 25 DE OUTUBRO DE 1932",32,1933-02-15,1933-02-15 - BE n032 [99308].pdf,BEs 1933\FEVEREIRO\15\99308\00000032.pdf,3,5,_paginas\99308\p003.png;_paginas\99308\p004.png;_paginas\99308\p005.png,_ocr\1932-10-25-x0-99308-p3.txt,facil,0,duplicada,baixa,1932\1932-10-25-x0-99308-p3.md,,
1932-10-25-x34-99308-p3,1932,1932-10-25,,34,"ATA DA 34ª SESSÃO, EM 25 DE OUTUBRO DE 1932",32,1933-02-15,1933-02-15 - BE n032 [99308].pdf,BEs 1933\FEVEREIRO\15\99308\00000032.pdf,3,5,_paginas\99308\p003.png;_paginas\99308\p004.png;_paginas\99308\p005.png,_ocr\1932-10-25-x34-99308-p3.txt,facil,0,regional,alta,1932\1932-10-25-x34-99308-p3.md,,
1932-10-28-x0-99248-p2,1932,1932-10-28,,35,"ATA DA 35ª SESSÃO, EM 28 DE OUTUBRO DE 1932",89,1933-04-26,1933-04-26 - BE n089 [99248].pdf,BEs 1933\ABRIL\26\99248\00000020.pdf,2,3,_paginas\99248\p002.png;_paginas\99248\p003.png,_ocr\1932-10-28-x0-99248-p2.txt,facil,0,regional,alta,1932\1932-10-28-x0-99248-p2.md,,
1932-10-29-o23-99172-p2,1932,1932-10-29,ordinaria,23,"ATA DA 23ª SESSÃO ORDINÁRIA, EM 29 DE OUTUBRO DE 1932",25,1932-11-23,1932-11-23 - BE n025 [99172].pdf,BEs 1932\NOVEMBRO\23\99172\00000025.pdf,2,4,_paginas\99172\p002.png;_paginas\99172\p003.png;_paginas\99172\p004.png,_ocr\1932-10-29-o23-99172-p2.txt,facil,1,transcrita,alta,1932\1932-10-29-o23-99172-p2.md,,
1932-10-31-x36-99248-p3,1932,1932-10-31,,36,"ATA DA 36ª SESSÃO, EM 31 DE OUTUBRO DE 1932",89,1933-04-26,1933-04-26 - BE n089 [99248].pdf,BEs 1933\ABRIL\26\99248\00000020.pdf,3,5,_paginas\99248\p003.png;_paginas\99248\p004.png;_paginas\99248\p005.png,_ocr\1932-10-31-x36-99248-p3.txt,facil,0,regional,alta,1932\1932-10-31-x36-99248-p3.md,,
1932-11-01-e11-99174-p2,1932,1932-11-01,extraordinaria,11,"ATA DA 11ª SESSÃO EXTRAORDINÁRIA, EM 1 DE NOVEMBRO DE 1932",,1932-11-30,1932-11-30 - BE [99174].pdf,BEs 1932\NOVEMBRO\30\99174\00000027.pdf,2,4,_paginas\99174\p002.png;_paginas\99174\p003.png;_paginas\99174\p004.png,_ocr\1932-11-01-e11-99174-p2.txt,facil,1,transcrita,alta,1932\1932-11-01-e11-99174-p2.md,,
