Tema,Julgado em,Tese Firmada,Processo,Questão submetida a julgamento,Anotações NUGEPNAC 1,Informações Complementares,Repercussão Geral,Órgão Julgador,Situação do Tema,Ramo do direito,Subramos,Relator Atual,Tribunal de Origem,Trânsito em Julgado,Ref_Sum,Súmula Originada do Tema,Súmula Originária do PUIL,Data de Afetação,Delimitação do Julgado,Estado de Deduplicação,Número de Registro,RRC,Entendimento Anterior,Observação de Afetação,Audiência Pública,Data de Admissão,Data de teração da Tese Firmada,Data de Desafetação,Embargo de Divergência,Embargos de Declaração,Observação de Admissão,Observação de Desafetação,Observação de Recusa,Relator que Afetou o Processo,Referência,Processo STF,Vista MPF
11,,"Quanto a prescrição à pretensão dos servidores públicos militares ao reajuste de 28,86%: ii. se proposta após 30/06/2003, deve ser aplicado apenas o enunciado da Súmula 85 desta Corte.",REsp 990284/RS,"Questão relativa ao reajuste de 28,86%, decorrente das Leis nºs 8.622/93 e 8.627/93, no que pertine à contagem do prazo prescricional.",Processos destacados de ofício pelo relator.,,,3ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Militar, Reajuste de Remuneração, Índice da URV Lei nº 8.880/1994, Prescrição e Decadência, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Proventos ou Pensão, Soldo",MARIA THEREZA DE ASSIS MOURA,TRF4,,85,,,9/10/2008,,Único,200702242110,Não,,,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,,
12,,"Quanto a prescrição à pretensão dos servidores públicos militares ao reajuste de 28,86%: iii. se ajuizada a ação pelo militar após 1º/01/2006, ocorre a prescrição de todas as parcelas devidas ao militar a título de reajuste de 28,86%.",REsp 990284/RS,"Questão relativa ao reajuste de 28,86%, decorrente das Leis nºs 8.622/93 e 8.627/93, no que pertine à contagem do prazo prescricional.",Processos destacados de ofício pelo relator.,,,3ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Militar, Reajuste de Remuneração, Índice do IPC junho/1987, Prescrição e Decadência, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Proventos ou Pensão, Soldo",MARIA THEREZA DE ASSIS MOURA,TRF4,,,,,9/10/2008,,Único,200702242110,Não,,,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,,
13,,"A concessão do reajuste de 28,86% deve se limitar ao advento da Medida Provisória nº 2.131, de 28/12/2000, que reestruturou a remuneração dos militares das Forças Armadas, com a absorção das diferenças de reajustes eventualmente existentes.",REsp 990284/RS,"Questão relativa ao reajuste de 28,86%, decorrente das Leis nºs 8.622/93 e 8.627/93, no que pertine à limitação temporal do percentual de 28,86% ao advento da primeira edição da Medida Provisória nº 2.131/2000.",Processos destacados de ofício pelo relator.,,Tema 340/STF - Extensão do índice de reajuste de 28,3ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Militar, Reajuste de Remuneração, Índice de 28, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 86% LL 8.622/1993 e 8.627/1993, Proventos ou Pensão, Soldo",MARIA THEREZA DE ASSIS MOURA,TRF4,,,,,9/10/2008,,Único,200702242110,Não,,,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,,
14,,"Reconhecido o desvio de função, o servidor faz jus às diferenças salariais decorrentes.",REsp 1091539/AP,Questão referente ao pagamento de diferenças de vencimentos a professores do Estado do Amapá por força de desvio de função.,"RRC de Origem (art. 543-C, §1º, do CPC/73).
Nos casos de desvio de função, embora o servidor não tenha o direito à promoção para a outra classe da carreira, mas apenas às diferenças vencimentais decorrentes do exercício desviado, tem ele direito aos valores correspondentes aos padrões que, por força de progressão funcional, gradativamente se enquadraria caso efetivamente fosse servidor daquela classe.",,Tema 73/STF - Direito de servidor à diferença de remuneração em virtude de desvio de função.,3ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Servidor Público Civil, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",MARIA THEREZA DE ASSIS MOURA,TJAP,08/10/2009,,378,,10/10/2008,,Único,200802161869,Sim,,,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,,
15,,É obrigatória a observância pelos Estados e Municípios dos critérios previstos na Lei Federal nº 8.880/94 para a conversão em URV dos vencimentos e dos proventos de seus servidores.,REsp 1101726/SP,"Questão referente à admissibilidade da conversão dos valores de vencimentos/proventos de servidor público municipal, recebidos em cruzeiros reais, para o equivalente em URV, nos termos da Lei Federal nº 8.880/94.","RRC de Origem (art. 543-C, §1º, do CPC/73).",,Tema 5/STF - Compensação da diferença de 11,3ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Reajustes de Remuneração, Índice da URV Lei nº 8.880/1994, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Proventos ou Pensão",MARIA THEREZA DE ASSIS MOURA,TJSP,,,,,,,Único,200802409050,Sim,,,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,,
16,02/08/2010,O INSS não está obrigado a efetuar depósito prévio do preparo por gozar das prerrogativas e privilégios da Fazenda Pública.,REsp 1101727/PR,"Questiona-se a imposição de pena de deserção (não-conhecimento de recurso do INSS, na Justiça Estadual, por ausência de preparo).","RRC de Origem (art. 543-C, §1º, do CPC/73).
Descabe exigir do INSS o depósito prévio do preparo para fins de interposição de recurso em ação que tramita perante a Justiça Estadual, podendo a autarquia efetuar o pagamento do preparo ao final da demanda, se vencida.
Vide Controvérsia 62/STJ",,,Corte Especial,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"DIREITO PROCESSUAL CIVIL E DO TRABALHO, Recurso, Preparo/Deserção",HAMILTON CARVALHIDO,TJPR,,,483,,,,Único,200802437020,Sim,,"Processo estava afetado à Seção sob o rito dos repetitivos. Na sessão de 20/08/2009, o Min. Relator Arnaldo Esteves decidiu afetar o recurso à Corte Especial ainda sob o rito dos repetitivos (21/08/2009)",,,,,,,,,,HAMILTON CARVALHIDO,,,
17,04/11/2009,"A dispensa de reexame necessário, quando o valor da condenação ou do direito controvertido for inferior a sessenta salários mínimos, não se aplica a sentenças ilíquidas.",REsp 1101727/PR,"Questiona-se o não conhecimento de reexame necessário (valor da causa tido como parâmetro para aplicação do art. 475, §2º, do CPC).","RRC de Origem (art. 543-C, §1º, do CPC/73).
É obrigatório o reexame de sentença ilíquida proferida contra a União, os Estados, o Distrito Federal, os Municípios e as respectivas autarquias e fundações de direito público, independentemente do valor atribuído à causa.",,,Corte Especial,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,DIREITO PROCESSUAL CIVIL E DO TRABALHO,HAMILTON CARVALHIDO,TJPR,,,490,,,,Único,200802437020,Sim,,"Processo estava afetado à Seção sob o rito dos repetitivos. Na sessão de 20/08/2009, o Min. Relator Arnaldo Esteves decidiu afetar o recurso à Corte Especial ainda sob o rito dos repetitivos (21/08/2009)",,,,,,,,,,HAMILTON CARVALHIDO,,,
18,,"A majoração do auxílioacidente, estabelecida pela Lei nº 9.032/95 (lei nova mais benéfica), que terou o §1º, do art. 86, da Lei nº 8.213/91, deve ser aplicada imediatamente, atingindo todos os segurados que estiverem na mesma situação, seja referente aos casos pendentes de concessão ou aos benefícios já concedidos.",REsp 1096244/SC,"Questão referente à possibilidade de aplicação da majoração do percentual do auxílio-acidente, estabelecida pela Lei nº 9.032/95, independentemente da legislação em vigor à época de sua concessão.","RRC de Origem (art. 543-C, §1º, do CPC/73).",,"Tema 165/STF - Revisão da pensão por morte concedida antes do advento da Lei nº 9.032/95., Tema 388/STF - Revisão de auxílio-acidente concedido antes do advento da Lei nº 9.032/95.",3ª Seção,Trânsito em Julgado,DIREITO PREVIDENCIÁRIO,"DIREITO PREVIDENCIÁRIO, Auxílio-Acidente (Art. 86)",MARIA THEREZA DE ASSIS MOURA,TJSC,,,,,,,Único,200802154195,Sim,,,,,,,,,,,,MARIA THEREZA DE ASSIS MOURA,,RE 613008 - Baixado,9/3/2009
19,,"Os débitos previdenciários remanescentes pagos mediante precatório, devem ser convertidos, à data do cálculo, em quantidade de Unidade Fiscal de Referência UFIR ou em outra unidade de referência oficial que venha a substituíla.",REsp 1102484/SP,"Questiona-se a utilização do IGP-DI como critério de correção monetária incidente entre a data da elaboração dos cálculos e a inscrição do precatório. ega-se que, sobre os valores encontrados naquela data, não mais incidem os índices de correção monetária previdenciários, mas, sim, a UFIR ou o IPCA-e.","RRC de Origem (art. 543-C, §1º, do CPC/73).",Acórdão que determinou a aplicação do IGPDI para fins de atualização do débito até a data da inclusão do crédito no orçamento.,,3ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,DIREITO PROCESSUAL CIVIL E DO TRABALHO,ARNALDO ESTEVES LIMA,TRF3,,,,,,,Único,200802604760,Sim,,,,,,,,,,,,ARNALDO ESTEVES LIMA,,,11/3/2009
20,,É inadmissível a fixação de pena substitutiva (art. 44 do CP) como condição especial ao regime aberto.,REsp 1107314/PR,Questiona-se se a prestação de serviços à comunidade pode ser fixada como condição para o cumprimento da pena em regime aberto.,"RRC de Origem (art. 543-C, §1º, do CPC/73).
1. Imposição de prestação de serviços à comunidade como condição especial para concessão do regime aberto.
2. É lícito ao Juiz estabelecer condições especiais para a concessão do regime aberto, em complementação daquelas previstas na LEP (art. 115 da LEP), mas não poderá adotar a esse título nenhum efeito já classificado como pena substitutiva (art. 44 do CPB).",,,3ª Seção,Trânsito em Julgado,DIREITO PENAL,"Parte Geral, Aplicação da Pena, Substituição da Pena, Regime inicial, DIREITO PENAL",LAURITA VAZ,TJPR,07/11/2011,,493,,,,Único,200802824428,Sim,,,,,,,,,,,,LAURITA VAZ,,,
20,,É inadmissível a fixação de pena substitutiva (art. 44 do CP) como condição especial ao regime aberto.,REsp 1110823/PR,Questiona-se se a prestação de serviços à comunidade pode ser fixada como condição para o cumprimento da pena em regime aberto.,"RRC de Origem (art. 543-C, §1º, do CPC/73).
1. Imposição de prestação de serviços à comunidade como condição especial para concessão do regime aberto.
2. É lícito ao Juiz estabelecer condições especiais para a concessão do regime aberto, em complementação daquelas previstas na LEP (art. 115 da LEP), mas não poderá adotar a esse título nenhum efeito já classificado como pena substitutiva (art. 44 do CPB).",,,3ª Seção,Trânsito em Julgado,DIREITO PENAL,"Parte Geral, Aplicação da Pena, Substituição da Pena, Regime inicial, DIREITO PENAL",LAURITA VAZ,TJPR,07/11/2011,,493,,,,Duplicado,200802827560,Sim,,,,,,,,,,,,LAURITA VAZ,,,
20,,É inadmissível a fixação de pena substitutiva (art. 44 do CP) como condição especial ao regime aberto.,REsp 1110824/PR,Questiona-se se a prestação de serviços à comunidade pode ser fixada como condição para o cumprimento da pena em regime aberto.,"RRC de Origem (art. 543-C, §1º, do CPC/73).
1. Imposição de prestação de serviços à comunidade como condição especial para concessão do regime aberto.
2. É lícito ao Juiz estabelecer condições especiais para a concessão do regime aberto, em complementação daquelas previstas na LEP (art. 115 da LEP), mas não poderá adotar a esse título nenhum efeito já classificado como pena substitutiva (art. 44 do CPB).",,,3ª Seção,Trânsito em Julgado,DIREITO PENAL,"Parte Geral, Aplicação da Pena, Substituição da Pena, Regime inicial, DIREITO PENAL",LAURITA VAZ,TJPR,07/11/2011,,493,,6/3/2009,,Duplicado,200802829745,Sim,,,,,,,,,,,,LAURITA VAZ,,,
21,,"É devida a pensão por morte aos dependentes do segurado que, apesar de ter perdido essa qualidade, preencheu os requisitos legais para a obtenção de aposentadoria até a data do seu óbito.",REsp 1110565/SE,"Questiona-se a imprescindibilidade do requisito ""condição de segurado do de cujus"" para os dependentes fazerem jus ao benefício de pensão por morte, situação somente excetuada no caso daquele ter preenchido em vida os requisitos necessários ao deferimento de qualquer uma das aposentadorias previstas no Regime Geral de Previdência Social - RGPS.","RRC de Origem (art. 543-C, §1º, do CPC/73).",,,3ª Seção,Trânsito em Julgado,DIREITO PREVIDENCIÁRIO,"DIREITO PREVIDENCIÁRIO, Pensão por Morte (Art. 74/9), Perda da qualidade de segurado",FELIX FISCHER,TRF5,04/09/2009,,416,,5/3/2009,,Único,200900013828,Sim,,,,,,,,,,,,FELIX FISCHER,,,
22,,"Comprovados o nexo de causalidade e a redução da capacidade laborativa, mesmo em face da disacusia em grau inferior ao estabelecido pela Tabela Fowler, subsiste o direito do obreiro ao benefício de auxílioacidente.",REsp 1095523/SP,"Questão referente à decisão que, observando, única e exclusivamente, a perda mínima auditiva (inferior a índice previsto na tabela de Fowler), nega a concessão do benefício de auxílio-acidente.","RRC de Origem (art. 543-C, §1º, do CPC/73).
""A expressão ""por si só"" contida na citada Súmula significa que o benefício acidentário não pode ser negado exclusivamente em razão do grau mínimo de disacusia apresentado pelo Segurado"".",,,3ª Seção,Trânsito em Julgado,DIREITO PREVIDENCIÁRIO,"DIREITO PREVIDENCIÁRIO, Auxílio-Acidente (Art. 86), Redução da Capacidade Auditiva",LAURITA VAZ,TJSP,06/09/2010,44,,,12/3/2009,,Único,200802272950,Sim,,,,,,,,,,,,LAURITA VAZ,,,
23,09/09/2009,"Importa em interrupção da prescrição a confissão realizada por meio de certidão individual emitida pelo Tribunal de Justiça (...), acerca da existência de dívida de valor consolidado em favor de servidor público integrante de seu respectivo Quadro.",REsp 1112114/SP,Questiona-se se as certidões expedidas pela Administração não têm o condão de interromper a prescrição.,"RRC de Origem (art. 543-C, §1º, do CPC/73).",,,3ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,Correção Monetária de Diferenças Pagas em Atraso,ARNALDO ESTEVES LIMA,TJSP,11/11/2009,,,,3/4/2009,,Único,200900250130,Sim,,,,,,,,,,,,ARNALDO ESTEVES LIMA,,,
24,,"As instituições financeiras não se sujeitam à limitação dos juros remuneratórios estipulada na Lei de Usura (Decreto nº 22.626/33), Súmula 596/STF.",REsp 1061530/RS,Discussão acerca dos juros remuneratórios em ações que digam respeito a contratos bancários.,Processos destacados de ofício pelo relator.,"Contratos bancários que se submetem à legislação consumerista Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado. Súmula 596/STF ""As disposições do Decreto nº 22.626/1933 não se aplicam às taxas de juros e aos outros encargos cobrados nas operações realizadas por instituições públicas ou privadas, que integram o Sistema Financeiro Nacional.""",Tema 421/STF - Aplicação do art. 1º da Lei de Usura,2ª Seção,Trânsito em Julgado,DIREITO DO CONSUMIDOR,DIREITO DO CONSUMIDOR,NANCY ANDRIGHI,TJRS,,,,,,,Único,200801199924,Não,,,,,,,,,,,,ARI PARGENDLER,,,
25,,"A estipulação de juros remuneratórios superiores a 12% ao ano, por si só, não indica abusividade.",REsp 1061530/RS,Discussão acerca dos juros remuneratórios em ações que digam respeito a contratos bancários.,Processos destacados de ofício pelo relator.,"Contratos bancários que se submetem à legislação consumerista Exceções: cédulas de crédito rural, industrial, bancária e comercial; contratos celebrados por cooperativas de crédito; contratos regidos pelo Sistema Financeiro de Habitação, bem como os de crédito consignado.",,2ª Seção,Trânsito em Julgado,DIREITO DO CONSUMIDOR,DIREITO DO CONSUMIDOR,NANCY ANDRIGHI,TJRS,,,382,,,,Único,200801199924,Não,,,,,,,,,,,,ARI PARGENDLER,,,
