questao_TEC,tribunal,banca,ano,questao,gabarito,ramo,subramo
#2782401,TJSC,FGV,2024,"Tendo um menor incapaz ajuizado ação em que pleiteava a condenação do demandado a lhe pagar verbas indenizatórias em razão das lesões que sofrera em um
acidente de trânsito, o juiz da causa, no momento processual próprio, proferiu decisão em que declarava saneado o feito, rejeitando as questões preliminares suscitadas
pelo réu e deferindo a produção de provas testemunhal e documental suplementar.
Intimadas as partes da demanda e, também, o órgão do Ministério Público que oficiava no processo como fiscal da ordem jurídica, este constatou que a decisão de
saneamento não havia apreciado o requerimento que formulara em sua precedente manifestação, no sentido de que fosse produzida a prova pericial médica, a qual teria
por escopo apurar a gravidade das lesões sofridas pelo autor. Assim, o órgão ministerial houve por bem interpor embargos de declaração para arguir o ponto, o que fez
sete dias úteis depois de sua intimação pessoal.
Apreciando os embargos declaratórios protocolizados pelo promotor de justiça, deve o juiz da causa:
a)  deles não conhecer, diante da falta de legitimidade recursal do Ministério Público;
b)  deles não conhecer, diante da falta de interesse recursal do Ministério Público;
c)  deles não conhecer, diante da intempestividade da peça recursal;
d)  deles conhecer, mas lhes negar provimento, já que, independentemente da eventual pertinência da prova pericial, as partes da demanda não a haviam
requerido;
e)  deles conhecer e lhes dar provimento, para reconhecer a omissão e decidir sobre a pertinência da prova pericial como entender de direito.",E,direito processual civil,Do Julgamento Conforme o Estado do Processo (arts. 354 a 357)
#2412320,TJMS,FGV,2023,"Verificando que duas obrigações derivadas de um determinado contrato já se encontravam vencidas e não haviam sido cumpridas, o credor ajuizou ação de
cobrança, pleiteando a condenação do devedor a pagar os respectivos valores, com os consectários da mora.
Regularmente citado, o devedor apresentou contestação em que negava os fatos constitutivos do direito de crédito afirmado pelo autor, no tocante a uma das obrigações,
tendo silenciado, contudo, em relação à pretensão de cobrança da outra obrigação.
Na sequência, o juiz da causa, reputando incontroverso o débito não impugnado pelo réu em sua peça de bloqueio, proferiu de imediato decisão em que acolhia o
respectivo pedido de cobrança, embora reconhecendo que se tratava de obrigação ilíquida. Quanto ao outro pedido formulado na peça exordial, o órgão judicial
determinou o prosseguimento do feito, rumo à fase da instrução probatória.
É correto afirmar, nesse contexto, que o juiz agiu:
a)  equivocadamente, pois o julgamento antecipado parcial do mérito pressupõe o reconhecimento de obrigação líquida, sendo a sua decisão impugnável por
recurso de apelação;
b)  acertadamente, pois o julgamento antecipado parcial do mérito pode ocorrer com o reconhecimento de obrigação líquida ou ilíquida, sendo a sua decisão
impugnável por recurso de apelação;
c)  equivocadamente, pois o julgamento antecipado parcial do mérito pressupõe o reconhecimento de obrigação líquida, sendo a sua decisão impugnável por
recurso de agravo de instrumento;
d)  acertadamente, pois o julgamento antecipado parcial do mérito pode ocorrer com o reconhecimento de obrigação líquida ou ilíquida, sendo a sua decisão
impugnável por recurso de agravo de instrumento;
e)  equivocadamente, pois o julgamento antecipado parcial do mérito pressupõe o reconhecimento de obrigação líquida, não sendo a sua decisão impugnável por
via recursal típica.",D,direito processual civil,Do Julgamento Conforme o Estado do Processo (arts. 354 a 357)
#3518765,TJCE,FGV,2025,"No que diz respeito à audiência de instrução e julgamento, é correto afirmar que o Juiz da causa
a)  pode determinar a sua realização antes da produção da prova pericial, caso as peculiaridades do caso assim recomendem.
b)  não pode tentar conciliar as partes, caso outros métodos de solução consensual da lide já tenham se frustrado.
c)  não pode ouvir o perito nem os assistentes técnicos, aos quais incumbe manifestar-se apenas por escrito nos autos.
d)  deve ordenar que se retirem do recinto aqueles que se comportarem de modo inconveniente, embora lhe seja vedado requisitar força policial.
e)  não pode, após finda a instrução, substituir o debate oral por razões finais escritas, cabendo-lhe proferir a sentença no próprio ato.",A,direito processual civil,Da Audiência de Instrução e Julgamento (arts. 358 a 368)
#3177202,TJMT,FGV,2024,"No que se refere às provas, é correto afirmar que:
a)  pode o juiz, diante das peculiaridades da causa, atribuir o ônus da prova de modo diverso do disciplinado em lei, por meio de decisão insuscetível de impugnação
por qualquer via recursal típica;
b)  podem as partes convencionar distribuição diversa do ônus da prova, desde que a convenção seja celebrada antes da instauração do processo;
c)  cabe ao juiz determinar, a requerimento das partes, as provas necessárias ao julgamento do mérito, sendo-lhe vedado atuar ex officio nesse sentido;
d)  pode o juiz determinar que a parte que alegue direito municipal, estadual, estrangeiro ou consuetudinário lhe prove o teor e a vigência;
e)  deve o juiz deferir a diligência requerida pela parte, ainda que conclua que ela é inútil, de modo a prevenir o feito contra futura arguição de nulidade por
cerceamento de defesa.",D,direito processual civil,Disposições Gerais (arts. 369 a 380)
#1865497,TJAP,FGV,2022,"Em uma demanda entre particulares na qual se discute a metragem de um imóvel para fins de acertamento de um direito, as partes somente protestaram por
provas orais. O juiz, de ofício, determinou a produção de prova pericial e documental, para exercer seu juízo de mérito sobre a causa.
Nesse cenário, pode-se afirmar que o julgador agiu de forma:
a)  correta, uma vez que cabe ao juiz, de ofício ou a requerimento da parte, determinar as provas necessárias ao julgamento do mérito;
b)  incorreta, uma vez que viola o princípio da inércia, já que cabe às partes a iniciativa da produção probatória de seus direitos;
c)  incorreta, uma vez que o julgamento deve ser feito de acordo com as provas produzidas nos autos, não se admitindo ao juiz determinar as provas;
d)  correta, pois só cabe ao julgador verificar a quem ele deve atribuir o ônus da prova, não sendo mais ônus do autor a prova do seu direito;
e)  incorreta, uma vez que cabe ao réu a prova de que a afirmativa do autor sobre a metragem do imóvel não representa a veracidade dos fatos.",A,direito processual civil,Disposições Gerais (arts. 369 a 380)
#236885,TJPA,FGV,2008,"As provas apuradas pelo juízo de experiência são designadas de presunções:
a)  indiciárias.
b)  comuns.
c)  erísticas.
d)  legais.
e)  fictas.",B,direito processual civil,Disposições Gerais (arts. 369 a 380)
#2675779,TJPR,FGV,2023,"Sobre a produção antecipada de prova, é correto afirmar que:
a)  a critério do autor, pode ser ajuizada no foro de seu domicílio;
b)  previne a competência para o ajuizamento da ação principal;
c)  é cabível quando o prévio conhecimento dos fatos possa justificar ou evitar o ajuizamento de ação;
d)  se existente caráter contencioso, o juiz determinará a intimação dos interessados para se manifestarem, no prazo de cinco dias, quanto à produção da prova ou
ao fato a ser provado;
e)  a sentença não se pronunciará sobre a ocorrência ou a inocorrência do fato, mas sim sobre as respectivas consequências jurídicas.",C,direito processual civil,Da Produção Antecipada da Prova (arts. 381 a 383)
#1739385,TJPR,FGV,2021,"Antônio contratou empréstimo bancário no caixa eletrônico quando foi fazer outras movimentações financeiras. A contratação foi voluntária, mas, ao longo do
tempo, Antônio percebeu que as parcelas estavam muito altas, pois, embora já tivesse pago uma quantia expressiva, o seu saldo devedor continuava elevado. Diante
disso, Antônio procurou seu advogado e foi orientado a ajuizar uma ação probatória autônoma, com o objetivo de realizar prova pericial técnica para apurar se os juros do
empréstimo estavam compatíveis com o mercado ou se tinham alcançado patamares abusivos, de modo a viabilizar futura ação de revisão das cláusulas do contrato de
empréstimo.
Considerando essa situação concreta, é correto afirmar que:
a)  são concorrentes os foros do local onde a prova será produzida e o do domicílio do réu, cabendo ao autor a escolha do foro para ajuizamento da produção
antecipada de prova;
b)  eventual ação de revisão das cláusulas do contrato de empréstimo deverá ser distribuída por dependência à produção antecipada de prova;
c)  após a conclusão da perícia, o laudo será homologado pelo juiz, que reconhecerá a existência ou inexistência de abusividade em relação aos juros do
empréstimo;
d)  a produção antecipada de prova se destina à produção das provas requeridas pela parte autora, não sendo possível que o réu se utilize do mesmo procedimento
para produzir outra prova;
e)  a prova será produzida após a defesa do réu, na qual devem ser expostos os argumentos de mérito e formulados os quesitos técnicos, sob pena de preclusão.",A,direito processual civil,Da Produção Antecipada da Prova (arts. 381 a 383)
#3177207,TJMT,FGV,2024,"João ingressou com uma ação de cobrança contra Maria, alegando a existência de uma dívida oriunda de contrato verbal entre as partes.
Regularmente citada, Maria apresenta contestação dentro do prazo legal, argumentando a inexistência da dívida e a prescrição do direito de João. No entanto, João
percebe que se esqueceu de incluir documento essencial para provar a existência da dívida no momento da propositura da ação. O autor pretende agora, após a
contestação de Maria, efetuar a juntada do documento faltante.
À luz das disposições do Código de Processo Civil, é correto afirmar que:
a)  João poderá emendar a petição inicial para incluir o documento a qualquer tempo, independentemente da fase processual;
b)  o ônus da prova quanto a eventual falsidade do documento incumbe a João, que é quem o detém em seu poder;
c)  requerida a juntada do documento, o juiz ouvirá Maria, que disporá do prazo de 15 (quinze) dias para se manifestar;
d)  a juntada do documento é condicionada ao recolhimento das respectivas custas processuais;
e)  não é cabível a juntada posterior do documento, pois todos os documentos destinados à prova das alegações do autor devem ser juntados na petição inicial.",C,direito processual civil,Da Prova Documental (arts. 405 a 438)
#2412575,TJMS,FGV,2023,"Ao tratar da prova documental, o Código de Processo Civil (Lei nº 13.105/2015) contém disposições sobre a força probante dos documentos, dentre eles os livros
empresariais e a escrituração contábil. Sobre esse tema, analise as afirmativas a seguir.
I. A escrituração contábil é indivisível, e, se dos fatos que resultam dos lançamentos, uns são favoráveis ao interesse de seu autor e outros lhe são contrários,
ambos serão considerados em conjunto, como unidade.
II. Os livros empresariais que preencham os requisitos exigidos por lei provam a favor de seu autor quando o litígio for exclusivamente entre empresários.
III. O juiz pode, de ofício, ordenar à parte a exibição parcial dos livros e dos documentos, extraindo-se deles a suma que interessar ao litígio, bem como
reproduções autenticadas.
Está correto o que se afirma em:
a)  somente I;
b)  somente II;
c)  somente I e III;
d)  somente II e III;
e)  I, II e III.",E,direito processual civil,Da Prova Documental (arts. 405 a 438)
#2694883,TJGO,FGV,2023,"Sobre a força probante dos documentos, é correto afirmar que:
a)  o telegrama, o radiograma ou qualquer outro meio de transmissão têm a mesma força probatória do documento particular, ainda que o original constante da
estação expedidora não tenha sido assinado pelo remetente;
b)  a nota escrita pelo credor em qualquer parte de documento representativo de obrigação, se não estiver assinada, não faz prova em benefício do devedor;
c)  os livros empresariais provam contra seu autor, sendo lícito ao empresário, todavia, demonstrar, por todos os meios permitidos em direito, que os lançamentos
não correspondem à verdade dos fatos;
d)  quando o documento contiver entrelinha, emenda, borrão ou cancelamento em ponto substancial e sem ressalva, não poderá ser valorado pelo juiz;
e)  o juiz não pode determinar, de ofício, à parte a exibição parcial dos livros e dos documentos, para extrair deles a suma que interessar ao litígio, bem como
reproduções autenticadas.",C,direito processual civil,Da Prova Documental (arts. 405 a 438)
#3370004,TJSC,FGV,2025,"No que diz respeito à audiência de instrução e julgamento, é correto afirmar que:
a)  as perguntas das partes para as testemunhas serão formuladas diretamente pelo juiz, e não por aquelas, a fim de que se evitem as que sejam repetições,
induzam as respostas ou versem sobre fatos irrelevantes;
b)  as testemunhas deverão ser inquiridas separada e sucessivamente, primeiro as do autor e depois as do réu, sendo vedada a alteração de tal ordem, ainda que
as partes manifestem concordância nesse sentido;
c) se ficar comprovado, depois de haver a parte contraditado uma testemunha, que esta é suspeita, é vedado ao juiz tomar-lhe o depoimento, ainda que como
informante;
d)  não é exigível do advogado informar ou intimar a testemunha por ele arrolada do dia, da hora e do local da audiência, cabendo ao juízo proceder a tal
intimação;
e)  na hipótese de prévia produção de prova pericial, é admissível a oitiva do perito na audiência, a fim de que esclareça aspectos relativos à diligência que lhe
coube.",E,direito processual civil,Da Prova Pericial (arts. 464 a 480)
#2518865,TRF1,FGV,2023,"Em ação envolvendo questão técnica na área de propriedade intelectual, as partes requereram a produção de prova pericial, indicando em conjunto o nome do
profissional escolhido para o encargo. Além disso, pactuaram a metodologia a ser utilizada. Nesse contexto, sobre a perícia consensual, é correto afirmar que:
a)  a escolha do nome do perito depende de prévia homologação judicial;
b)  não substitui a perícia que seria realizada pelo perito nomeado pelo juiz;
c)  pode ser realizada em casos em que não se admite autocomposição;
d)  não é cabível a apresentação de pareceres de assistentes técnicos;
e)  as partes, ao escolher o perito, já devem indicar os respectivos assistentes técnicos para acompanhar a realização da perícia.",E,direito processual civil,Da Prova Pericial (arts. 464 a 480)
#3354893,TJSE,FGV,2025,"No que se refere às provas, é correto afirmar que:
a)  as partes da demanda podem requerer a sua produção, mas não o órgão do Ministério Público quando oficia como fiscal da ordem jurídica;
b)  caso uma das partes requeira a juntada de um documento aos autos, o juiz deverá determinar a intimação da outra parte para que se manifeste a seu respeito,
no prazo de 15 dias;
c)  a sua produção antecipada é vedada na legislação processual, por ofender as garantias da ampla defesa e do contraditório;
d)  a produção dos meios de prova típicos é admissível, sendo vedada a produção dos atípicos;
e)  a decisão que versar sobre redistribuição do ônus da prova é insuscetível de impugnação por qualquer via recursal típica.",B,direito processual civil,"Tópicos Mesclados do Capítulo ""das Provas"""
#2432753,TJPE,FGV,2022,"Sobre a produção de provas, é correto afirmar que:
a)  o juiz não poderá admitir a utilização de prova produzida em outro processo, ainda que observe o contraditório;
b)  é vedada em qualquer hipótese a distribuição diversa do ônus da prova por negócio jurídico processual firmado antes do litígio;
c)  a confissão extrajudicial feita oralmente representa meio de prova hígido contra o confitente, inclusive nos casos em que a lei exija prova literal;
d)  não dependem de prova os fatos notórios, afirmados por uma parte e confessados pela parte contrária e aqueles envolvendo regras de experiência comum e de
experiência técnica;
e)  os atos concertados entre os juízes cooperantes podem consistir no estabelecimento de procedimento para a obtenção e a apresentação de provas, inclusive a
coleta de depoimentos.",E,direito processual civil,"Tópicos Mesclados do Capítulo ""das Provas"""
#3248281,TRF3,FGV,2025,"Acerca da remessa necessária, assinale a alternativa correta:
a)  Ocorre na sentença que julgar procedentes, no todo ou em parte, os embargos à execução fiscal.
b)  Não se aplica quando a condenação ou o proveito econômico obtido na causa for de valor certo e líquido inferior a 500 (quinhentos) salários-mínimos para a
União e as respectivas autarquias e fundações de direito público.
c)  Não se aplica quando a condenação ou o proveito econômico obtido na causa for de valor certo e líquido inferior a 200 (duzentos) salários-mínimos para os
Municípios que não constituam capitais dos Estados e respectivas autarquias e fundações de direito público.
d)  É aplicável quando a sentença estiver fundada em súmula de tribunal superior.
e)  É aplicável quando a sentença estiver fundada em entendimento coincidente com orientação vinculante firmada no âmbito administrativo do próprio ente
público, consolidada em manifestação, parecer ou súmula administrativa.",A,direito processual civil,Da Sentença e Da Coisa Julgada (arts. 485 a 508)
#3248284,TRF3,FGV,2025,"Quanto à sentença, assinale a alternativa correta:
a)  É possível ao juiz proferir decisão de natureza diversa da pedida, bem como condenar a parte em quantidade superior ou em objeto diverso do que lhe foi
demandado.
b)  Deve ser certa, salvo se resolver relação jurídica condicional.
c)  Pode invocar motivos que se prestariam a justificar qualquer outra decisão.
d)  Se, depois da propositura da ação, algum fato constitutivo, modificativo ou extintivo do direito influir no julgamento do mérito, caberá ao juiz tomá-lo em
consideração, de ofício ou a requerimento da parte, no momento de proferir a decisão.
e)  Faz coisa julgada a verdade dos fatos, estabelecida como fundamento da sentença.",D,direito processual civil,Da Sentença e Da Coisa Julgada (arts. 485 a 508)
#3354870,TJSE,FGV,2025,"Alexandre intentou ação de indenização, pelo procedimento comum, em face de município que constitui capital de estado, pleiteando a sua condenação a lhe
pagar uma verba indenizatória a que entendia fazer jus.
Concluídas as fases postulatória e instrutória, o juiz da causa proferiu sentença em que, baseando-se em entendimento firmado em incidente de assunção de
competência, condenava o ente público demandado a pagar a Alexandre quantia correspondente a 600 salários mínimos.
Foi efetivada a intimação pessoal da sentença, em relação ao membro da Advocacia Pública, por meio de carga dos autos, sem que a parte ré interpusesse recurso de
apelação no prazo legal, conforme certificado pela serventia.
Nesse cenário, o juiz deve:
a)  ordenar, a despeito da validade da intimação da sentença, a renovação do ato, em razão da indisponibilidade do interesse público, de modo a propiciar a
interposição, pelo réu, do recurso de apelação;
b)  pronunciar a nulidade da intimação da sentença e determinar a renovação do ato, já então por oficial de justiça, na pessoa do procurador-geral do município;
c)  determinar a remessa dos autos ao órgão ad quem, por força do reexame necessário;
d)  ordenar a expedição de ofício ao presidente do Tribunal de Justiça, que poderá avocar os autos;
e)  determinar que a serventia certifique o trânsito em julgado da sentença proferida.",E,direito processual civil,Da Sentença e Da Coisa Julgada (arts. 485 a 508)
#3485591,TJTO,FGV,2025,"Nos autos de uma ação de procedimento comum, depois de oferecida pelo réu a contestação, na qual havia sido arguida somente defesa direta de mérito, o juiz
determinou a intimação do órgão da Defensoria Pública, que patrocinava a causa da parte autora, para apresentar a sua réplica.
A peça processual, contudo, não foi oferecida, conforme certificado pela serventia, fato que levou o juiz a ordenar a intimação da Defensoria Pública para que promovesse
o andamento do feito.
Sem que qualquer outra petição tivesse sido ofertada, o magistrado proferiu sentença por meio da qual julgava extinto o processo, sem resolução do mérito, por ter
reputado configurado o abandono unilateral da causa.
Inconformado, o defensor público protocolizou recurso de apelação, tendo-o feito quando já decorridos 20 dias úteis, a partir de sua intimação pessoal.
No que concerne à sentença terminativa proferida, ela está:
a)  correta, razão pela qual não merece ser provida a apelação do autor;
b)  errada, embora a apelação do autor não mereça ser conhecida, haja vista a sua intempestividade;
c)  errada, embora a apelação do autor não mereça ser conhecida, haja vista a falta de interesse recursal;
d)  errada, devendo ser dado provimento à apelação do autor, caso o juiz não se retrate de seu ato decisório;
e)  errada, devendo ser dado provimento à apelação do autor, não sendo possível ao juiz retratar-se de seu ato decisório.",D,direito processual civil,Da Sentença e Da Coisa Julgada (arts. 485 a 508)
#3518746,TJCE,FGV,2025,"No curso de um processo, depois de deferida a produção da prova pericial e de juntado aos autos o correspondente laudo, o Juiz da causa observou que a parte
autora carecia de interesse processual. Assim, o Magistrado, após ter ordenado a intimação das partes para que se manifestassem sobre o ponto, proferiu sentença por
meio da qual extinguia o feito sem resolução do mérito.
Inconformado, o autor, por meio de seu advogado, interpôs apelação, protocolizando a sua peça recursal 20 (vinte dias) úteis depois de sua intimação, o que foi
certificado pela serventia.
Tomando contato com as razões recursais do demandante, o Juiz, analisando melhor o caso, concluiu que, na realidade, não havia como se cogitar a falta de interesse de
agir.
Nesse cenário, é correto afirmar que o Juiz
a)  não poderia ter pronunciado a carência de ação, uma vez que a fase da instrução probatória já havia sido concluída.
b)  poderá se retratar da sentença e determinar o prosseguimento do feito, rumo à solução do mérito da causa.
c)  deverá pronunciar a intempestividade da apelação e ordenar à serventia que certifique o trânsito em julgado da sentença.
d)  deverá pronunciar a falta de interesse recursal e ordenar à serventia que certifique o trânsito em julgado da sentença.
e)  deverá ordenar a remessa dos autos ao órgão ad quem, a fim de que seja apreciado o recurso de apelação interposto.",E,direito processual civil,Da Sentença e Da Coisa Julgada (arts. 485 a 508)
