Tema da RG,Numero do processo,Relator,Data de julgamento,Ramo do direito,Resultado,Tese,Ementa,Legislação,Jurisprudência,Data de publicação,Órgão julgador
1327,ARE 1514806,MINISTRO PRESIDENTE,10/4/2024,"DIREITO ADMINISTRATIVO, DIREITO CONSTITUCIONAL, DIREITO DO TRABALHO, DIREITO FINANCEIRO",Infraconstitucional,É infraconstitucional e pressupõe o exame de matéria fática a controvérsia sobre a redução de vencimentos de policiais militares do Estado de Pernambuco após a edição da Lei Complementar estadual nº 169/2011,"O Senhor Ministro Luís Roberto Barroso (Presidente): Direito administrativo. Recurso Extraordinário com agravo. Irredutibilidade de vencimentos. fixação de jornada. Matéria fática e infraconstitucional. I. Caso em exame 1. Recurso extraordinário com agravo de acórdão do Tribunal de Justiça de Pernambuco que rejeitou pedido de majoração salarial de policial militar, em razão de alegado aumento de jornada de trabalho sem a correspondente compensação financeira proporcional ao aumento de carga horária. II. Questão em discussão 2. A questão em discussão consiste em saber se é devida compensação financeira aos Policiais Militares do Estado de Pernambuco após a edição da Lei Complementar estadual nº 169/2011, que fixou carga horária de 08 (oito) horas diárias ou 40 (quarenta horas) semanais de trabalho aos militares. III. Razões de decidir 3. A jurisprudência do STF afirma que o exame de efetiva mudança de jornada de trabalho e, consequentemente, de ofensa à garantia de irredutibilidade de vencimentos pressupõe a análise de matéria fática e de legislação infraconstitucional. 4. A ocorrência de ampliação de jornada de trabalho dos militares do Estado de Pernambuco sem a correspondente e proporcional majoração de salário demanda o exame de leis estaduais sobre carga horária de servidores, assim como de fatos e provas relativos à jornada exigida antes da edição da Lei Complementar nº 169/2011. Inexistência de matéria constitucional. Questão restrita à interpretação de norma infraconstitucional e de conjunto fático-probatório. Grande volume de ações a respeito. IV. Dispositivo e tese 5. Recurso extraordinário com agravo conhecido e desprovido. Tese de julgamento: “É infraconstitucional e pressupõe o exame de matéria fática a controvérsia sobre a redução de vencimentos de policiais militares do Estado de Pernambuco após a edição da Lei Complementar estadual nº 169/2011”.",,,10/9/2024,Tribunal Pleno
1329,RE 1508285,MINISTRO PRESIDENTE,10/4/2024,"DIREITO CONSTITUCIONAL, DIREITO PREVIDENCIÁRIO",Tese fixada,"com mais de 28 (vinte e oito) anos de contribuição, se mulher, e 33 (trinta e três) anos de contribuição, se homem","Direito constitucional e previdenciário. Recurso extraordinário. Complementação de contribuição previdenciária. Regra de transição da EC nº 103/2019. Repercussão geral. I. Caso em exame 1. Recurso extraordinário contra acórdão de Turma Recursal do Tribunal Regional Federal da 4ª Região que condenou o INSS a conceder benefício de aposentadoria, com fundamento no art. 17 da Emenda Constitucional nº 103/2019, mediante a complementação de contribuição previdenciária para enquadramento em regra de transição de tempo mínimo de contribuição. II. Questão em discussão 2. A questão em discussão diz respeito à possibilidade de recolhimento de contribuição previdenciária após a edição da EC nº 103/2019 para enquadramento em regra de transição do art. 17, que exige tempo mínimo de contribuição “até a data de entrada em vigor” da Emenda. III. Razões de decidir 3. A Emenda Constitucional nº 103/2019, que alterou o sistema de previdência social, garantiu em seu art. 3º, a concessão de benefício àqueles que tenham cumprido os requisitos para a aposentadoria ou pensão até a data de entrada em vigor da Emenda. Por seu turno, o art. 17 da EC nº 103/2019 fixou regra de transição para a concessão de aposentadoria aos segurados que, até a edição da Emenda, contassem “com mais de 28 (vinte e oito) anos de contribuição, se mulher, e 33 (trinta e três) anos de contribuição, se homem”. 4. Constitui questão constitucional relevante definir se as regras de transição do art. 17 da EC nº 103/2019 admitem a complementação de contribuição previdenciária em momento posterior a vigência da Emenda. Grande volume de ações a respeito. IV. Dispositivo 5. Repercussão geral reconhecida para a seguinte questão constitucional: saber se a complementação de contribuição previdenciária após a edição da EC nº 103/2019 autoriza a aplicação da regra de transição do art. 17, que exige tempo mínimo de contribuição na data de entrada em vigor da Emenda.",,,10/9/2024,Tribunal Pleno
1326,RE 1496204,MINISTRO PRESIDENTE,10/4/2024,"DIREITO ADMINISTRATIVO, DIREITO CONSTITUCIONAL",Tese fixada,A iniciativa legislativa para definição de obrigações de pequeno valor para pagamento de condenação judicial não é reservada ao chefe do Poder Executivo,"Direito constitucional e administrativo. Recurso extraordinário. Competência legislativa. Definição de obrigação de pequeno valor. RPV. Reafirmação de jurisprudência. I. Caso em exame 1. Trata-se de recurso extraordinário contra acórdão do Tribunal de Justiça do Distrito Federal e Territórios, que afirmou a inconstitucionalidade da Lei Distrital nº 6.618/2020, de iniciativa parlamentar, que alterou para 20 (vinte) salários-mínimos o teto das obrigações de pequeno valor. Isso sob o fundamento de reserva de iniciativa do Poder Executivo para projeto de lei que impacta o planejamento orçamentário. II. Questão em discussão 2. A questão em discussão consiste em saber se há reserva de iniciativa legislativa do chefe do Poder Executivo para a definição do limite para Requisição de Pequeno Valor (RPV). III. Razões de decidir 3. A jurisprudência do STF afirma que a iniciativa legislativa para dispor sobre obrigações de pequeno valor não é reservada ao chefe do Poder Executivo, uma vez que a matéria não tem natureza orçamentária, nem trata de organização ou funcionamento da Administração Pública. 4. No julgamento do RE 1.491.414, o STF afirmou a constitucionalidade da Lei distrital nº 6.618/2020, de iniciativa parlamentar, que alterou a definição de obrigação de pequeno valor no Distrito Federal. A simples criação de despesa para a Administração Pública não é suficiente para atrair as hipóteses de reserva de iniciativa legislativa do Poder Executivo. IV. Dispositivo e tese 5. Recurso extraordinário conhecido e provido. Tese de julgamento: “A iniciativa legislativa para definição de obrigações de pequeno valor para pagamento de condenação judicial não é reservada ao chefe do Poder Executivo”.",,,10/9/2024,Tribunal Pleno
1330,ARE 1499413,MINISTRO PRESIDENTE,10/4/2024,"DIREITO CONSTITUCIONAL, DIREITO DO TRABALHO",Infraconstitucional,É infraconstitucional e fática a controvérsia sobre a forma de cálculo de abono pecuniário de férias dos empregados da Empresa de Correios e Telégrafos - ECT,"Direito trabalhista. Agravo interno em recurso extraordinário com agravo. Cálculo de abono pecuniário de férias. Empregados da ECT. Matéria fática e infraconstitucional. I. Caso em exame 1. Agravo interno de decisão que negou seguimento a recurso extraordinário com agravo de acórdão do Tribunal Superior do Trabalho que condenou a Empresa Brasileira de Correios e Telégrafos - ECT a pagar abono pecuniário de férias, com a adoção de cálculo que a empregadora afirma ser equivocado. II. Questão em discussão 2. A questão em discussão consiste em saber se o cálculo de abono pecuniário de férias mais benéfico aos empregados da ECT deve ser preservado, a despeito de não ter fundamento em normas internas ou acordo coletivo. III. Razões de decidir 3. A jurisprudência do STF afirma a natureza infraconstitucional e fática de questão relativa à forma de cálculo de parcelas salariais. 4. A controvérsia sobre o cálculo de abono de férias realizado pela ECT e a possibilidade de sua modificação para correção de erro procedimental exigem o exame de matéria fática, assim como de legislação trabalhista e de cláusulas de acordo coletivo. Inexistência de matéria constitucional. Questão restrita à interpretação de legislação infraconstitucional e do conjunto fático-probatório. Grande volume de ações a respeito. IV. Dispositivo e tese 5. Agravo interno desprovido. Tese de julgamento: “É infraconstitucional e fática a controvérsia sobre a forma de cálculo de abono pecuniário de férias dos empregados da Empresa de Correios e Telégrafos - ECT”.",,,10/9/2024,Tribunal Pleno
863,RE 736090,DIAS TOFFOLI,10/3/2024,"DIREITO ADMINISTRATIVO, DIREITO TRIBUTÁRIO",Aguardando julgamento,,"Recurso extraordinário. Repercussão geral. Tema nº 863. Direito tributário. Limite das multas qualificadas em razão de sonegação, fraude ou conluio. Necessidade de observância dos princípios do não confisco, da razoabilidade e da proporcionalidade. Limite de 100% (cem por cento) do débito tributário ou, em caso de reincidência, de 150% (cento e cinquenta por cento) do débito tributário. 1. As multas qualificadas em razão de sonegação, fraude ou conluio visam a reprimir comportamentos com elevado grau de reprovabilidade. 2. São razoáveis e proporcionais as limitações para as multas previstas na Lei nº 9.430/96, atualizada pela Lei nº 14.689/23. No caso de sonegação, fraude ou conluio, a multa é de 100% do débito (art. 44, § 1º, inciso VI, da Lei nº 9.430/96, incluído pela Lei nº 14.689/23); ou de 150% do débito, nos casos em que for verificada a reincidência do sujeito passivo (art. 44, § 1º, inciso VII, da Lei nº 9.430/96, incluído pela Lei nº 14.689/23), como legalmente definida (vide § 1º-A do citado artigo). Necessidade de observância do § 1º-C do art. 44 da Lei nº 9.430/96, o qual trata de hipóteses de não aplicação da multa qualificada em razão de sonegação, fraude ou conluio. 3. Fixação da seguinte tese para o Tema nº 863: “Até que seja editada lei complementar federal sobre a matéria, a multa tributária qualificada em razão de sonegação, fraude ou conluio limita-se a 100% (cem por cento) do débito tributário, podendo ser de até 150% (cento e cinquenta por cento) do débito tributário, caso se verifique a reincidência definida no art. 44, § 1º-A, da Lei nº 9.430/96, incluído pela Lei nº 14.689/23, observando-se, ainda, o disposto no § 1º-C do citado artigo”. 4. Modulação dos efeitos da decisão, estabelecendo-se que ela passe a produzir efeitos a partir da edição da Lei nº 14.689/23, mantidos os patamares atualmente fixados pelos entes da federação até os limites da tese. Ficam ressalvados desses efeitos (i) as ações judiciais e os processos administrativos pendentes de conclusão até a referida data; (ii) os fatos geradores ocorridos até a referida data em relação aos quais não tenha havido o pagamento de multa abrangida pelo presente tema de repercussão geral. 5. Recurso extraordinário parcialmente provido.","Lei nº 9.430/96 - art. 44; §1º; inc. VI, Lei nº 9.430/96 - art. 44; §1º; inc. VII, Lei nº 9.430/96 - art. 44, Lei nº 9.430/96 - art. 44; §1º",Tema 863,11/29/2024,Tribunal Pleno
1087,ARE 1225185,GILMAR MENDES,10/3/2024,"DIREITO PENAL, DIREITO PROCESSUAL PENAL",Tese fixada,"É cabível recurso de apelação com base no artigo 593, III, d, do Código de Processo Penal, nas hipóteses em que a decisão do Tribunal do Júri, amparada em quesito genérico, for considerada pela acusação como manifestamente contrária à prova dos autos","DIREITO PROCESSUAL PENAL. RECURSO EXTRAORDINÁRIO. TRIBUNAL DO JÚRI. QUESITAÇÃO GENÉRICA. APELAÇÃO. CABIMENTO. ABSOLVIÇÃO POR CLEMÊNCIA. POSSIBILIDADE. TESE DEFENSIVA. COMPATIBILIDADE COM A CONSTITUIÇÃO. I. CASO EM EXAME 1. Recurso extraordinário em face de decisão do Superior Tribunal de Justiça que manteve acórdão exarado em apelação confirmatória de veredicto do Tribunal do Júri que absolveu o réu ao responder quesito genérico, acolhendo peito defensivo fundado na clemência. II. QUESTÃO EM DISCUSSÃO 2. Há duas questões em discussão: (i) definir se o recurso de apelação é cabível quando a absolvição do réu, em quesito genérico, for considerada manifestamente contrária à prova dos autos; e (ii) estabelecer se a clemência dos jurados, conforme alegada em plenário, pode justificar a decisão absolutória. III. RAZÕES DE DECIDIR 3. A Constituição assegura a soberania dos veredictos do Tribunal do Júri, garantia compatível com o manejo de recurso de apelação para controle mínimo da racionalidade da decisão, quando esta é manifestamente contrária às provas dos autos. 4. Havendo um mínimo lastro probatório, ainda que haja divergência entre as provas, deve prevalecer a decisão do júri. 5. O art. 483, §2º, do Código de Processo Penal, permite quesitação genérica que possibilita a absolvição do réu por razões jurídicas ou extralegais, como clemência ou compaixão, expressamente alegadas e devidamente registradas em ata de julgamento. 6. Não se podendo identificar a causa de exculpação ou então não havendo qualquer indício probatório que justifique plausivelmente uma das possibilidades de absolvição, ou ainda sendo aplicada a clemência em afronta aos preceitos constitucionais, aos precedentes vinculantes desta Suprema Corte e às circunstâncias fáticas dos autos, pode o Tribunal ad quem, prover o recurso da acusação, para determinar a realização de novo júri. IV. DISPOSITIVO E TESE 7. Recurso extraordinário parcialmente provido para determinar a remessa dos autos ao Tribunal de origem, para que examine a apelação e decida sobre a necessidade de novo julgamento pelo Tribunal do Júri. Tese de julgamento: 1. É cabível recurso de apelação com base no artigo 593, III, d, do Código de Processo Penal, nas hipóteses em que a decisão do Tribunal do Júri, amparada em quesito genérico, for considerada pela acusação como manifestamente contrária à prova dos autos. 2. O Tribunal de Apelação não determinará novo júri quando tiver ocorrido a apresentação, constante em ata, de tese conducente à clemência ao acusado, e esta for acolhida pelos jurados, desde que seja compatível com a Constituição, com os precedentes vinculantes do Supremo Tribunal Federal e com as circunstâncias fáticas dos autos. Dispositivos relevantes citados: CF/1988, art. 5º, XXXVIII, c; CPP, arts. 483, § 2º, e 593, III, d. Jurisprudência relevante citada: STF, HC 142621 AgR, Rel. Min. Alexandre de Moraes, Primeira Turma, j. 15.09.2017.","CPP - art. 483; §2º, CPP - art. 593; inc. III",,12/16/2024,Tribunal Pleno
1323,RE 1498128,MINISTRO PRESIDENTE,9/27/2024,"DIREITO ADMINISTRATIVO, DIREITO CONSTITUCIONAL",Tese fixada,A execução do serviço público de loteria por agentes privados depende de delegação estatal precedida de licitação,"Direito constitucional e administrativo. Recurso extraordinário. Delegação de serviço de loterias. Licitação. Reafirmação de jurisprudência. I. Caso em exame 1. Recurso extraordinário contra acórdão de Turma Recursal do Estado do Ceará que negou pedido para delegação de serviço de exploração de loterias. Isso porque o exercício da atividade por particular exige licitação, ainda que o serviço já tenha sido concedido a terceiros sem procedimento licitatório. II. Questão em discussão 2. A questão em discussão é saber se a existência de agentes privados explorando os serviços de loteria sem prévia licitação afasta a exigência de delegação estatal, autorizando o desempenho da atividade em regime de livre iniciativa. III. Razões de decidir 3. O STF, por ocasião do julgamento da ADPF nº 492/RJ e nº 493/RJ, afirmou que as loterias são um serviço público, cuja delegação a agente privado exige licitação. 4. A existência de agentes privados exercendo o serviço sem prévia licitação não altera a titularidade estatal da atividade nem a sua natureza de serviço público. O exercício por agentes privados pressupõe delegação estatal precedida de licitação. IV. Dispositivo e tese 5. Recurso extraordinário conhecido e desprovido. Tese de julgamento: “A execução do serviço público de loteria por agentes privados depende de delegação estatal precedida de licitação”.",,,10/1/2024,Tribunal Pleno
1325,ARE 1515052,MINISTRO PRESIDENTE,9/27/2024,"DIREITO ADMINISTRATIVO, DIREITO CIVIL, DIREITO CONSTITUCIONAL",Infraconstitucional,"É infraconstitucional e pressupõe o exame de matéria fática a controvérsia sobre a responsabilidade civil do Estado por exposição de agentes públicos a pesticida organoclorado DDT, a partir da ciência de toxidade do agente químico","Direito civil e administrativo. Recurso Extraordinário com agravo. Contaminação por pesticidas. Indenização. Prescrição. Matéria fática e infraconstitucional. I. Caso em exame 1. Recurso extraordinário com agravo de acórdão do Tribunal Regional Federal da 1ª Região, que condenou a Fundação Nacional de Saúde - FUNASA ao pagamento de indenização por cada ano de exposição do autor (agente de saúde pública) a inseticida organoclorado DDT sem equipamentos de proteção individual. II. Questão em discussão 2. A questão em discussão consiste em saber se a exposição de agentes públicos a pesticida organoclorado DDT, a partir da ciência de toxidade de agente químico, enseja a responsabilização civil do Estado. III. Razões de decidir 3. A jurisprudência do STF afirma que o exame de nexo de causalidade entre a conduta ativa ou omissiva do Estado e o evento danoso, assim como da efetiva existência de dano pressupõem a análise de matéria fática. Impossibilidade de análise em recurso extraordinário de relação causal entre a exposição de agentes de saúde a inseticida organoclorado DDT e os alegados danos sofridos. Grande volume de ações a respeito. 4. De igual forma, a determinação de termo inicial de prescrição para pretensão indenizatória exige o exame de circunstâncias fáticas e da legislação sobre prazo prescricional, assim como dos atos infraconstitucionais que aboliram o uso do pesticida DDT no Brasil. Inexistência de matéria constitucional. Questão restrita à interpretação de norma infraconstitucional e de conjunto fático-probatório. IV. Dispositivo e tese 5. Recurso extraordinário com agravo conhecido e desprovido. Tese de julgamento: “É infraconstitucional e pressupõe o exame de matéria fática a controvérsia sobre a responsabilidade civil do Estado por exposição de agentes públicos a pesticida organoclorado DDT, a partir da ciência de toxidade do agente químico”.",,,10/1/2024,Tribunal Pleno
1324,ARE 1502069,MINISTRO PRESIDENTE,9/27/2024,"DIREITO ADMINISTRATIVO, DIREITO CONSTITUCIONAL",,,"Direito constitucional e administrativo. Recurso extraordinário com agravo. Piso nacional da educação pública. Atualização de remuneração por portaria do MEC Vinculação de estados e municípios. Repercussão geral. I. Caso em exame 1. Recurso extraordinário com agravo contra acórdão de Turma Recursal do Estado de São Paulo que afirmou o direito de revisão de salário-base de professora municipal, com base no valor de atualização do piso nacional da educação fixado em Portaria do Ministério da Educação – MEC. II. Questão em discussão 2. A questão em discussão consiste em saber se o reajuste do valor do piso nacional da educação por Portarias do MEC deve ser estendido automaticamente às carreiras da educação pública estadual e municipal, independentemente de lei do respectivo ente federativo. III. Razões de decidir 3. O STF, na ADI 4.848, declarou a constitucionalidade do parágrafo único do art. 5º da Lei nº 11.738/2008, que dispõe sobre a atualização anual do piso nacional do magistério da educação básica, mediante Portaria do Ministério da Educação. 4. Na ADI 4.167, por sua vez, o STF definiu que a expressão piso não poderia ser interpretada como “remuneração global”, mas como vencimento-básico (salário-base). 5. A Súmula Vinculante nº 42, contudo, afirma a inconstitucionalidade de vinculação do reajuste de vencimentos de servidores estaduais ou municipais a índices federais de correção monetária. Em razão disso, o STF vem cassando decisões que reajustam o salário-base de profissionais da educação municipal com base em variação de valor fixada em Portarias do MEC. Grande volume de ações a respeito. 6. Constitui questão constitucional relevante definir se a atualização do valor do piso da educação pública por atos da Administração Federal deve ser estendida ao salário-base de profissionais da educação estadual e municipal, independentemente de lei do respectivo ente federativo. IV. Dispositivo 7. Repercussão geral reconhecida para a seguinte questão constitucional: saber se o índice de reajuste do valor do piso nacional da educação fixado por atos da Administração federal deve ser estendido automaticamente às carreiras da educação pública estadual e municipal, independentemente de lei do respectivo ente federativo.",Lei nº 11.738/2008 - art. 5º,Súmula Vinculante 42,10/2/2024,Tribunal Pleno
6,RE 566471,MARCO AURÉLIO,9/26/2024,"DIREITO ADMINISTRATIVO, DIREITO CIVIL, DIREITO CONSTITUCIONAL, DIREITO FINANCEIRO",Aguardando julgamento,,"Direito Constitucional. Recurso extraordinário. Repercussão geral. Dever do estado de fornecer medicamento não incorporado ao Sistema Único de Saúde a quem não possua condições financeiras de comprá-lo. Desprovimento. Fixação de tese de julgamento. I. Caso em exame 1. O recurso. Recurso extraordinário em que o Estado do Rio Grande do Norte, com fundamento nos princípios da reserva do possível e da separação de poderes, questiona decisão judicial que determinou o fornecimento de medicamento de alto custo não incorporado ao Sistema Único de Saúde – SUS. No curso do processo, o fármaco foi incorporado pelos órgãos técnicos de saúde. 2. Fato relevante. Embora o caso concreto refira-se especificamente a medicamento de alto custo, as discussões evoluíram para a análise da possibilidade de concessão judicial de medicamentos não incorporados ao SUS, independentemente do custo. 3. Conclusão do julgamento de mérito. Em 2020, o STF concluiu o julgamento de mérito e negou provimento ao recurso extraordinário, mas deliberou fixar a tese de repercussão geral posteriormente. Iniciada a votação quanto à tese, foi formulado pedido de vista pelo Min. Gilmar Mendes. 4. Análise conjunta com Tema 1234. Em 2022, foi reconhecida a repercussão geral da questão relativa à legitimidade passiva da União e à competência da Justiça Federal nas demandas sobre fornecimento de medicamentos não incorporados ao SUS (Tema 1234). Para solução consensual desse tema, foi criada Comissão Especial, composta por entes federativos e entidades envolvidas. Os debates resultaram em acordos sobre competência, custeio e ressarcimento em demandas que envolvam medicamentos não incorporados, entre outros temas. A análise conjunta do presente Temas 6 e do Tema 1.234 é, assim, fundamental para evitar soluções divergentes sobre matérias correlatas. II. Questão em discussão 5. A questão em discussão consiste em fixar a tese de julgamento relativa ao Tema 6 da repercussão geral, definindo se e sob quais condições o Poder Judiciário pode determinar a concessão de medicamento não incorporado ao SUS. III. Razões de decidir 6. Extrai-se dos debates durante o julgamento que a concessão judicial de medicamentos deve se limitar a casos excepcionais. Três premissas principais justificam essa conclusão: 6.1. Escassez de recursos e eficiência das políticas públicas. Como os recursos públicos são limitados, é necessário estabelecer políticas e parâmetros aplicáveis a todas as pessoas, sendo inviável ao poder público fornecer todos os medicamentos solicitados. A judicialização excessiva gera grande prejuízo para as políticas públicas de saúde, comprometendo a organização, a eficiência e a sustentabilidade do SUS. 6.2. Igualdade no acesso à saúde. A concessão de medicamentos por decisão judicial beneficia os litigantes individuais, mas produz efeitos sistêmicos que prejudicam a maioria da população que depende do SUS, de modo a afetar o princípio da universalidade e da igualdade no acesso à saúde. 6.3. Respeito à expertise técnica e medicina baseada em evidências. O Poder Judiciário deve ser autocontido e deferente às análises dos órgãos técnicos, como a Conitec, que possuem expertise para tomar decisões sobre a eficácia, segurança e custo-efetividade de um medicamento. A concessão judicial de medicamentos deve estar apoiada em avaliações técnicas à luz da medicina baseada em evidências. 7. A tese de julgamento consolida os critérios e parâmetros a serem observados tanto pelo autor da ação como pelo Poder Judiciário na propositura e análise dessas demandas. IV. Dispositivo e tese 8. Recurso extraordinário a que se nega provimento. Tese de julgamento: 1. A ausência de inclusão de medicamento nas listas de dispensação do Sistema Único de Saúde - SUS (RENAME, RESME, REMUME, entre outras) impede, como regra geral, o fornecimento do fármaco por decisão judicial, independentemente do custo. 2. É possível, excepcionalmente, a concessão judicial de medicamento registrado na ANVISA, mas não incorporado às listas de dispensação do Sistema Único de Saúde, desde que preenchidos, cumulativamente, os seguintes requisitos, cujo ônus probatório incumbe ao autor da ação: (a) negativa de fornecimento do medicamento na via administrativa, nos termos do item “4” do Tema 1.234 da repercussão geral; (b) ilegalidade do ato de não incorporação do medicamento pela Conitec, ausência de pedido de incorporação ou da mora na sua apreciação, tendo em vista os prazos e critérios previstos nos artigos 19-Q e 19-R da Lei nº 8.080/1990 e no Decreto nº 7.646/2011; (c) impossibilidade de substituição por outro medicamento constante das listas do SUS e dos protocolos clínicos e diretrizes terapêuticas; (d) comprovação, à luz da medicina baseada em evidências, da eficácia, acurácia, efetividade e segurança do fármaco, necessariamente respaldadas por evidências científicas de alto nível, ou seja, unicamente ensaios clínicos randomizados e revisão sistemática ou meta-análise; (e) imprescindibilidade clínica do tratamento, comprovada mediante laudo médico fundamentado, descrevendo inclusive qual o tratamento já realizado; e (f) incapacidade financeira de arcar com o custeio do medicamento. 3. Sob pena de nulidade da decisão judicial, nos termos do artigo 489, § 1º, incisos V e VI, e artigo 927, inciso III, § 1º, ambos do Código de Processo Civil, o Poder Judiciário, ao apreciar pedido de concessão de medicamentos não incorporados, deverá obrigatoriamente: (a) analisar o ato administrativo comissivo ou omissivo de não incorporação pela Conitec ou da negativa de fornecimento da via administrativa, à luz das circunstâncias do caso concreto e da legislação de regência, especialmente a política pública do SUS, não sendo possível a incursão no mérito do ato administrativo; (b) aferir a presença dos requisitos de dispensação do medicamento, previstos no item 2, a partir da prévia consulta ao Núcleo de Apoio Técnico do Poder Judiciário (NATJUS), sempre que disponível na respectiva jurisdição, ou a entes ou pessoas com expertise técnica na área, não podendo fundamentar a sua decisão unicamente em prescrição, relatório ou laudo médico juntado aos autos pelo autor da ação; e (c) no caso de deferimento judicial do fármaco, oficiar aos órgãos competentes para avaliarem a possibilidade de sua incorporação no âmbito do SUS. _ Atos normativos citados: Constituição Federal, arts. 2º, 5º, 6º, 196 e 198, §§ 1º e 2º; Lei nº 8.080/1990, arts. 19-Q e e 19-R; Decreto nº 7.646/2011. Jurisprudência citada: STA 175 (2010), Rel. Min. Gilmar Mendes; RE 657.718 (2020), Rel. Min. Marco Aurélio, Redator do acórdão Min. Roberto Barroso; RE 855.178 ED (2020), Rel. Min. Luiz Fux, Redator do acórdão Min. Edson Fachin; RE 1.165.959 (2021), Rel. Min. Marco Aurélio, Redator do acórdão Min. Alexandre de Moraes. RE 1.366.243 (2024), Rel. Min. Gilmar Mendes.","Lei nº 8.080/1990 - art. 19-Q, CPC - art. 927; §1º; inc. III","Tema 1234, Tema 6",11/28/2024,Tribunal Pleno
952,RE 979742,LUÍS ROBERTO BARROSO,9/25/2024,"DIREITO ADMINISTRATIVO, DIREITO CONSTITUCIONAL",Tese fixada,"1. Testemunhas de Jeová, quando maiores e capazes, têm o direito de recusar procedimento médico que envolva transfusão de sangue, com base na autonomia individual e na liberdade religiosa. 2. Como consequência, em respeito ao direito à vida e à saúde, fazem jus aos procedimentos alternativos disponíveis no Sistema Único de Saúde – SUS, podendo, se necessário, recorrer a tratamento fora de seu domicílio","Direito Constitucional e Administrativo. Recurso extraordinário. Repercussão geral. Tratamento alternativo à transfusão de sangue para Testemunhas de Jeová. Desprovimento. I. Caso em exame 1. O recurso. Recurso extraordinário contra decisão que determinou ao poder público o custeio de cirurgia fora do domicílio para paciente Testemunha de Jeová, em hospital credenciado pelo Sistema Único de Saúde – SUS que realiza o procedimento necessário sem transfusão de sangue. 2. Fato relevante. O paciente recusou, por convicção religiosa, a realização de cirurgia no seu município pela perspectiva de, em caso de necessidade, ter de se submeter a transfusão de sangue. Ele era maior, capaz e não corria risco iminente de vida. II. Questão em discussão 3. A questão em discussão consiste em saber se o direito à liberdade religiosa justifica o custeio, pelo poder público, de tratamento médico alternativo compatível com as convicções religiosas do paciente, inclusive despesas de locomoção para ele e um acompanhante, quando o tratamento não estiver disponível na rede pública de seu domicílio. III. Razões de decidir 4. O direito à recusa de transfusão de sangue por convicção religiosa tem fundamento nos princípios constitucionais da dignidade da pessoa humana e da liberdade de religião. A dignidade humana exige o respeito à autonomia individual na tomada de decisões sobre a saúde e o corpo. Já a garantia da liberdade religiosa impõe ao Estado a tarefa de proporcionar um ambiente institucional e jurídico adequado para que os indivíduos possam viver de acordo com os ritos, cultos e dogmas de sua fé, sem coerção ou discriminação. 5. A recusa de transfusão de sangue somente pode ser manifestada em relação ao próprio interessado, sem estender-se a terceiros, inclusive e notadamente filhos menores. Porém, havendo tratamento alternativo eficaz, conforme avaliação médica, os pais poderão optar por ele. 6. A Organização Mundial da Saúde – OMS recomenda a adoção dos procedimentos alternativos à transfusão de sangue. Em atenção a essa diretriz, outros recursos terapêuticos já são oferecidos pelo SUS. Apesar disso, ainda não estão disponíveis de forma ampla em todo o território nacional. Nesse contexto, o poder público deve adotar medidas para, progressivamente, tornar esses procedimentos disponíveis e capilarizados no país, de forma compatível com os princípios do acesso universal e igualitário às ações e serviços do SUS. 7. Em uma acomodação razoável entre os direitos à liberdade religiosa e à saúde, pacientes Testemunhas de Jeová fazem jus aos tratamentos alternativos já disponíveis no SUS, ainda quando não disponíveis em seu domicílio. Na hipótese em que os métodos de tratamento no local de residência não forem adequados, será cabível o tratamento fora do domicílio, conforme as normativas do Ministério da Saúde. IV. Dispositivo e tese 8. Recurso extraordinário a que se nega provimento. Tese de julgamento: “1. Testemunhas de Jeová, quando maiores e capazes, têm o direito de recusar procedimento médico que envolva transfusão de sangue, com base na autonomia individual e na liberdade religiosa. 2. Como consequência, em respeito ao direito à vida e à saúde, fazem jus aos procedimentos alternativos disponíveis no Sistema Único de Saúde – SUS, podendo, se necessário, recorrer a tratamento fora de seu domicílio. ”",,,11/26/2024,Tribunal Pleno
